source	russian	context	file	status
Quit	Выйти	offset=852044;length=4;object_path_id=4386;script=Unity.TextMeshPro:TMPro.TextMeshProUGUI;gameobject=txt;kind=tmp_m_text	DontSleepWithTheFishes_Data/level3	todo_needs_rebuild_or_runtime
Resume	Продолжить	offset=854156;length=6;object_path_id=4390;script=Unity.TextMeshPro:TMPro.TextMeshProUGUI;gameobject=txt;kind=tmp_m_text	DontSleepWithTheFishes_Data/level3	todo_needs_rebuild_or_runtime
Mouse Sensitivity	Чувствительность мыши	offset=858412;length=17;object_path_id=4398;script=Unity.TextMeshPro:TMPro.TextMeshProUGUI;gameobject=SettingName;kind=tmp_m_text	DontSleepWithTheFishes_Data/level3	todo_needs_rebuild_or_runtime
Restore Default Settings	Сбросить настройки	offset=860572;length=24;object_path_id=4402;script=Unity.TextMeshPro:TMPro.TextMeshProUGUI;gameobject=SettingName;kind=tmp_m_text	DontSleepWithTheFishes_Data/level3	todo_needs_rebuild_or_runtime
Fishnet	Сеть	offset=877104;length=7;object_path_id=4492;script=Assembly-CSharp:CursorInfoMaker;gameobject=net;kind=mono_string_candidate	DontSleepWithTheFishes_Data/level3	todo_needs_rebuild_or_runtime
Try Fishing	Попробовать рыбачить	offset=886560;length=11;object_path_id=4570;script=Assembly-CSharp:CursorInfoMaker;gameobject=doTask_fishing;kind=mono_string_candidate	DontSleepWithTheFishes_Data/level3	todo_needs_rebuild_or_runtime
Useful for fishing!	Пригодится для рыбалки!	offset=909196;length=19;object_path_id=4729;script=Assembly-CSharp:FishingController;gameobject=Task_Fishing;kind=mono_string_candidate	DontSleepWithTheFishes_Data/level3	todo_needs_rebuild_or_runtime
Torn Fishing Net	Порванная рыболовная сеть	offset=909612;length=16;object_path_id=4729;script=Assembly-CSharp:FishingController;gameobject=Task_Fishing;kind=mono_string_candidate	DontSleepWithTheFishes_Data/level3	todo_needs_rebuild_or_runtime
Torn Fishnet	Порванная сеть	offset=922208;length=12;object_path_id=4792;script=Assembly-CSharp:CursorInfoMaker;gameobject=net (broken);kind=mono_string_candidate	DontSleepWithTheFishes_Data/level3	todo_needs_rebuild_or_runtime
Fish Can	Банка рыбы	offset=2074656;length=8;object_path_id=9693;script=Assembly-CSharp:CursorInfoMaker;gameobject=food_fish (1);kind=mono_string_candidate	DontSleepWithTheFishes_Data/level4	todo_needs_rebuild_or_runtime
Fish Can	Банка рыбы	offset=2084912;length=8;object_path_id=9780;script=Assembly-CSharp:CursorInfoMaker;gameobject=food_fish (2);kind=mono_string_candidate	DontSleepWithTheFishes_Data/level4	todo_needs_rebuild_or_runtime
Fish Can	Банка рыбы	offset=2091984;length=8;object_path_id=9832;script=Assembly-CSharp:CursorInfoMaker;gameobject=food_fish (4);kind=mono_string_candidate	DontSleepWithTheFishes_Data/level4	todo_needs_rebuild_or_runtime
Torn Fishnet	Порванная сеть	offset=2094176;length=12;object_path_id=9848;script=Assembly-CSharp:CursorInfoMaker;gameobject=net (broken);kind=mono_string_candidate	DontSleepWithTheFishes_Data/level4	todo_needs_rebuild_or_runtime
Fishnet	Сеть	offset=2094496;length=7;object_path_id=9852;script=Assembly-CSharp:CursorInfoMaker;gameobject=net;kind=mono_string_candidate	DontSleepWithTheFishes_Data/level4	todo_needs_rebuild_or_runtime
Fish Can	Банка рыбы	offset=2100832;length=8;object_path_id=9908;script=Assembly-CSharp:CursorInfoMaker;gameobject=food_fish (3);kind=mono_string_candidate	DontSleepWithTheFishes_Data/level4	todo_needs_rebuild_or_runtime
Fish Can	Банка рыбы	offset=2101152;length=8;object_path_id=9911;script=Assembly-CSharp:CursorInfoMaker;gameobject=food_fish;kind=mono_string_candidate	DontSleepWithTheFishes_Data/level4	todo_needs_rebuild_or_runtime
Fish Can	Банка рыбы	offset=2105120;length=8;object_path_id=9944;script=Assembly-CSharp:CursorInfoMaker;gameobject=food_fish (5);kind=mono_string_candidate	DontSleepWithTheFishes_Data/level4	todo_needs_rebuild_or_runtime
Fish Can	Банка рыбы	offset=2121840;length=8;object_path_id=10070;script=Assembly-CSharp:CursorInfoMaker;gameobject=food_fish (6);kind=mono_string_candidate	DontSleepWithTheFishes_Data/level4	todo_needs_rebuild_or_runtime
Fish Can	Банка рыбы	offset=2145392;length=8;object_path_id=10245;script=Assembly-CSharp:CursorInfoMaker;gameobject=food_fish (7);kind=mono_string_candidate	DontSleepWithTheFishes_Data/level4	todo_needs_rebuild_or_runtime
