version	asset_file	object_type	path_id	object_name	field_path	source_text	normalized_source_text	category	status	translation_guess	context_before	context_after	notes
v1.1.3	level1	MonoBehaviour	1524	page_Title	raw_length_prefixed@174956	First steps!	first steps!	unknown	done	Первые шаги!			MonoBehaviour length-prefixed string; script=unknown:2177; length=12
v1.1.3	level1	MonoBehaviour	1525	title_howtplay	raw_length_prefixed@175484	How to Play?	how to play?	unknown	done	Как играть?			MonoBehaviour length-prefixed string; script=unknown:2177; length=12
v1.1.3	level1	MonoBehaviour	1526	newgame_title	raw_length_prefixed@176012	Locked - Play 'Adventure' first!	locked - play 'adventure' first!	unknown	done	Закрыто — сначала сыграйте в «Приключение»!			MonoBehaviour length-prefixed string; script=unknown:2177; length=32
v1.1.3	level1	MonoBehaviour	1527	Selected_Text	raw_length_prefixed@176556	Good Luck	good luck	unknown	done	Удачи			MonoBehaviour length-prefixed string; script=unknown:2177; length=9
v1.1.3	level1	MonoBehaviour	1528	subtitle	raw_length_prefixed@177084	Heavy Items	heavy items	unknown	done	Тяжелые предметы			MonoBehaviour length-prefixed string; script=unknown:2177; length=11
v1.1.3	level1	MonoBehaviour	1529	howtoplay_txt	raw_length_prefixed@177612	Time is running out! Gather whatever you can and toss it into your lifeboat, before the ship sinks. Every item counts! Escape by staying near the boat at the end! However, it can only carry one more person besides you.	time is running out! gather whatever you can and toss it into your lifeboat, before the ship sinks. every item counts! escape by staying near the boat at the end! however, it can only carry one more person besides you.	notification	done	Время на исходе! Соберите все, что сможете, и бросайте в спасательную шлюпку, пока корабль не затонул. Важен каждый предмет! Чтобы спастись, в конце оставайтесь рядом со шлюпкой. Но кроме вас она выдержит только еще одного человека.			MonoBehaviour length-prefixed string; script=unknown:2177; length=218
v1.1.3	level1	MonoBehaviour	1531	page_Title	raw_length_prefixed@178876	Step 3: Make Choices!	step 3: make choices!	unknown	done	Шаг 3: делайте выбор!			MonoBehaviour length-prefixed string; script=unknown:2177; length=21
v1.1.3	level1	MonoBehaviour	1532	Desc	raw_length_prefixed@179420	Paid back your debts.	paid back your debts.	unknown	done	Вы выплатили долги.			MonoBehaviour length-prefixed string; script=unknown:2177; length=21
v1.1.3	level1	MonoBehaviour	1535	extra_txt	raw_length_prefixed@181020	The same choice may lead to different outcomes if you try it again in another playthrough!	the same choice may lead to different outcomes if you try it again in another playthrough!	unknown	done	Один и тот же выбор может дать другой результат в новом прохождении!			MonoBehaviour length-prefixed string; script=unknown:2177; length=90
v1.1.3	level1	MonoBehaviour	1536	extras_on	raw_length_prefixed@181628	Customized Game!	customized game!	unknown	done	Своя игра!			MonoBehaviour length-prefixed string; script=unknown:2177; length=16
v1.1.3	level1	MonoBehaviour	1537	subtitle	raw_length_prefixed@182156	Instant Death	instant death	unknown	done	Мгновенная смерть			MonoBehaviour length-prefixed string; script=unknown:2177; length=13
v1.1.3	level1	MonoBehaviour	1539	Desc	raw_length_prefixed@183212	Rescued by air.	rescued by air.	unknown	done	Вас спасли с воздуха.			MonoBehaviour length-prefixed string; script=unknown:2177; length=15
v1.1.3	level1	MonoBehaviour	1540	txt	raw_length_prefixed@183740	Load Game	load game	unknown	done	Загрузить игру			MonoBehaviour length-prefixed string; script=unknown:2177; length=9
v1.1.3	level1	MonoBehaviour	1542	subtitle	raw_length_prefixed@184796	Double Hunger	double hunger	unknown	done	Двойной голод			MonoBehaviour length-prefixed string; script=unknown:2177; length=13
v1.1.3	level1	MonoBehaviour	1544	title_seed	raw_length_prefixed@185852	Use Custom Seed?	use custom seed?	unknown	done	Использовать свой сид?			MonoBehaviour length-prefixed string; script=unknown:2177; length=16
v1.1.3	level1	MonoBehaviour	1545	demotext	raw_length_prefixed@186380	(Development build)	(development build)	unknown	needs-context				MonoBehaviour length-prefixed string; script=unknown:2177; length=19
v1.1.3	level1	MonoBehaviour	1547	Placeholder	raw_length_prefixed@187452	Keep empty for random seed...	keep empty for random seed...	unknown	done	Оставьте пустым для случайного сида...			MonoBehaviour length-prefixed string; script=unknown:2177; length=29
v1.1.3	level1	MonoBehaviour	1548	howtoplay_txt	raw_length_prefixed@187996	If your night does get interrupted, use an item you brought to handle the situation. If you have no answer, you can try going back to sleep. Sometimes, that’s your only option.	if your night does get interrupted, use an item you brought to handle the situation. if you have no answer, you can try going back to sleep. sometimes, that's your only option.	notification	done	Если ночью вас что-то прервет, используйте взятый предмет, чтобы справиться с ситуацией. Если выхода нет, можно попробовать снова уснуть. Иногда это единственный вариант.			MonoBehaviour length-prefixed string; script=unknown:2177; length=178
v1.1.3	level1	MonoBehaviour	1556	txt	raw_length_prefixed@192396	Scenario Mode	scenario mode	unknown	needs-context				MonoBehaviour length-prefixed string; script=unknown:2177; length=13
v1.1.3	level1	MonoBehaviour	1557	subtitle	raw_length_prefixed@192924	Super Energy	super energy	unknown	done	Суперэнергия			MonoBehaviour length-prefixed string; script=unknown:2177; length=12
v1.1.3	level1	MonoBehaviour	1558	howtoplay_txt	raw_length_prefixed@193452	"Use the daytime to spend your energy on fishing, eating, doing small tasks, or chatting to your shipmate (if you brought one).
When you run out of energy, end the day and try to sleep hoping nothing disrupts your rest."	use the daytime to spend your energy on fishing, eating, doing small tasks, or chatting to your shipmate (if you brought one). when you run out of energy, end the day and try to sleep hoping nothing disrupts your rest.	ui	done	"Днем тратьте энергию на рыбалку, еду, мелкие дела или разговоры с попутчиком, если вы его взяли.
Когда энергия закончится, завершите день и попытайтесь поспать, надеясь, что ничто не нарушит отдых."			MonoBehaviour length-prefixed string; script=unknown:2177; length=218
v1.1.3	level1	MonoBehaviour	1559	page_Title	raw_length_prefixed@194188	Step 1: Grab and Run!	step 1: grab and run!	unknown	done	Шаг 1: хватайте и бегите!			MonoBehaviour length-prefixed string; script=unknown:2177; length=21
v1.1.3	level1	MonoBehaviour	1561	description	raw_length_prefixed@195260	"+Slower Hunger
+Health Regenerates"	+slower hunger +health regenerates	ui	done	"+Медленнее голод
+Здоровье восстанавливается"			MonoBehaviour length-prefixed string; script=unknown:2177; length=34
v1.1.3	level1	MonoBehaviour	1562	txt	raw_length_prefixed@195820	I understand!	i understand!	unknown	done	Понятно!			MonoBehaviour length-prefixed string; script=unknown:2177; length=13
v1.1.3	level1	MonoBehaviour	1564	Title	raw_length_prefixed@196876	True Ending	true ending	unknown	done	Истинная концовка			MonoBehaviour length-prefixed string; script=unknown:2177; length=11
v1.1.3	level1	MonoBehaviour	1565	Desc	raw_length_prefixed@197404	Taken aboard.	taken aboard.	unknown	done	Вас взяли на борт.			MonoBehaviour length-prefixed string; script=unknown:2177; length=13
v1.1.3	level1	MonoBehaviour	1566	title_cons	raw_length_prefixed@197932	Extra Difficulties	extra difficulties	unknown	done	Дополнительные сложности			MonoBehaviour length-prefixed string; script=unknown:2177; length=18
v1.1.3	level1	MonoBehaviour	1567	main_title	raw_length_prefixed@198476	Don't Sleep With the Fishes	don't sleep with the fishes	ui	done	Не спи с рыбами			MonoBehaviour length-prefixed string; script=unknown:2177; length=27
v1.1.3	level1	MonoBehaviour	1569	Desc	raw_length_prefixed@199548	By your own means.	by your own means.	unknown	done	Своими силами.			MonoBehaviour length-prefixed string; script=unknown:2177; length=18
v1.1.3	level1	MonoBehaviour	1570	page_Title	raw_length_prefixed@200092	Step 2: Survive!	step 2: survive!	unknown	done	Шаг 2: выживите!			MonoBehaviour length-prefixed string; script=unknown:2177; length=16
v1.1.3	level1	MonoBehaviour	1573	txt	raw_length_prefixed@201740	Settings	settings	ui	done	Опции			MonoBehaviour length-prefixed string; script=unknown:2177; length=8
v1.1.3	level1	MonoBehaviour	1576	Text (TMP)	raw_length_prefixed@203308	Close	close	ui	done	Закрыть			MonoBehaviour length-prefixed string; script=unknown:2177; length=5
v1.1.3	level1	MonoBehaviour	1580	Desc	raw_length_prefixed@205420	You died of starvation.	you died of starvation.	unknown	done	Вы умерли от голода.			MonoBehaviour length-prefixed string; script=unknown:2177; length=23
v1.1.3	level1	MonoBehaviour	1582	subtitle	raw_length_prefixed@206492	No Hunger	no hunger	unknown	done	Без голода			MonoBehaviour length-prefixed string; script=unknown:2177; length=9
v1.1.3	level1	MonoBehaviour	1583	howtoplay_alte	raw_length_prefixed@207020	Alternative to 'E': Left-Click or Right-Shift	alternative to 'e': left-click or right-shift	unknown	done	Альтернатива 'E': левая кнопка мыши или правый Shift			MonoBehaviour length-prefixed string; script=unknown:2177; length=45
v1.1.3	level1	MonoBehaviour	1586	Title	raw_length_prefixed@208892	Sleeping With The Fishes	sleeping with the fishes	ui	done	Сон с рыбами			MonoBehaviour length-prefixed string; script=unknown:2177; length=24
v1.1.3	level1	MonoBehaviour	1589	runs_text	raw_length_prefixed@210492	"Runs: 4
Record: 13 Days"	runs: 4 record: 13 days	unknown	done	"Забеги: 4
Рекорд: 13 дней"			MonoBehaviour length-prefixed string; script=unknown:2177; length=23
v1.1.3	level1	MonoBehaviour	1591	subtitle	raw_length_prefixed@211564	Eat for Energy	eat for energy	unknown	done	Ешьте ради энергии			MonoBehaviour length-prefixed string; script=unknown:2177; length=14
v1.1.3	level1	MonoBehaviour	1592	Desc	raw_length_prefixed@212092	You sank with Dorothy.	you sank with dorothy.	unknown	done	Вы затонули вместе с Дороти.			MonoBehaviour length-prefixed string; script=unknown:2177; length=22
v1.1.3	level1	MonoBehaviour	1594	title_howtplay	raw_length_prefixed@213164	How to Play?	how to play?	unknown	done	Как играть?			MonoBehaviour length-prefixed string; script=unknown:2177; length=12
v1.1.3	level1	MonoBehaviour	1597	Title	raw_length_prefixed@214748	Sleeping With The Fishes	sleeping with the fishes	ui	done	Сон с рыбами			MonoBehaviour length-prefixed string; script=unknown:2177; length=24
v1.1.3	level1	MonoBehaviour	1599	Desc	raw_length_prefixed@215820	Claimed by the sea.	claimed by the sea.	unknown	done	Море забрало вас.			MonoBehaviour length-prefixed string; script=unknown:2177; length=19
v1.1.3	level1	MonoBehaviour	1600	newgame_title	raw_length_prefixed@216364	SELECT DIFFICULTY	select difficulty	unknown	done	ВЫБОР СЛОЖНОСТИ			MonoBehaviour length-prefixed string; script=unknown:2177; length=17
v1.1.3	level1	MonoBehaviour	1609	reset_counter	raw_length_prefixed@221292	Reverts automatically in: 10	reverts automatically in: 10	unknown	done	Автооткат через: 10			MonoBehaviour length-prefixed string; script=unknown:2177; length=28
v1.1.3	level1	MonoBehaviour	1610	txt	raw_length_prefixed@221836	Restore Defaults	restore defaults	unknown	needs-context				MonoBehaviour length-prefixed string; script=unknown:2177; length=16
v1.1.3	level1	MonoBehaviour	1611	SettingName	raw_length_prefixed@222364	Volume SFX	volume sfx	unknown	done	Звуки			MonoBehaviour length-prefixed string; script=unknown:2177; length=10
v1.1.3	level1	MonoBehaviour	1614	txt	raw_length_prefixed@223948	Back to Menu	back to menu	unknown	done	В меню			MonoBehaviour length-prefixed string; script=unknown:2177; length=12
v1.1.3	level1	MonoBehaviour	1615	keep_res_title	raw_length_prefixed@224476	Keep new resolution?	keep new resolution?	unknown	done	Сохранить новое разрешение?			MonoBehaviour length-prefixed string; script=unknown:2177; length=20
v1.1.3	level1	MonoBehaviour	1616	help	raw_length_prefixed@225020	"kill
getfish
superhelp"	kill getfish superhelp	unknown	needs-context				MonoBehaviour length-prefixed string; script=unknown:2177; length=22
v1.1.3	level1	MonoBehaviour	1617	txt	raw_length_prefixed@225564	Settings	settings	ui	done	Опции			MonoBehaviour length-prefixed string; script=unknown:2177; length=8
v1.1.3	level1	MonoBehaviour	1618	SettingDesc	raw_length_prefixed@226092	(Removes the requirement of holding mouse button.)	(removes the requirement of holding mouse button.)	unknown	done	Без удержания мыши.			MonoBehaviour length-prefixed string; script=unknown:2177; length=50
v1.1.3	level1	MonoBehaviour	1622	SettingName	raw_length_prefixed@228556	Volume Music	volume music	unknown	done	Музыка			MonoBehaviour length-prefixed string; script=unknown:2177; length=12
v1.1.3	level1	MonoBehaviour	1624	save_tip	raw_length_prefixed@229612	The Game is saved automatically every morning.	the game is saved automatically every morning.	unknown	done	Игра автоматически сохраняется каждое утро.			MonoBehaviour length-prefixed string; script=unknown:2177; length=46
v1.1.3	level1	MonoBehaviour	1625	PausedTitle	raw_length_prefixed@230172	Paused	paused	unknown	done	Пауза			MonoBehaviour length-prefixed string; script=unknown:2177; length=6
v1.1.3	level1	MonoBehaviour	1626	SettingName	raw_length_prefixed@230700	Mouse Sensitivity	mouse sensitivity	unknown	done	Чувств. мыши			MonoBehaviour length-prefixed string; script=unknown:2177; length=17
v1.1.3	level1	MonoBehaviour	1627	SettingName	raw_length_prefixed@231244	Volume Master	volume master	unknown	done	Общая громкость			MonoBehaviour length-prefixed string; script=unknown:2177; length=13
v1.1.3	level1	MonoBehaviour	1628	Text (TMP)	raw_length_prefixed@231772	Enter Action Code	enter action code	ui	done	Введите код действия			MonoBehaviour length-prefixed string; script=unknown:2177; length=17
v1.1.3	level1	MonoBehaviour	1633	SettingName	raw_length_prefixed@234428	Restore Default Settings	restore default settings	ui	done	Сбросить настройки			MonoBehaviour length-prefixed string; script=unknown:2177; length=24
v1.1.3	level1	MonoBehaviour	1634	txt	raw_length_prefixed@234972	Accept	accept	unknown	done	Принять			MonoBehaviour length-prefixed string; script=unknown:2177; length=6
v1.1.3	level1	MonoBehaviour	1636	NightResulttxt	raw_length_prefixed@236028	Forced Night Result	forced night result	result/search	done	Принудительный ночной результат			MonoBehaviour length-prefixed string; script=unknown:2177; length=19
v1.1.3	level1	MonoBehaviour	1638	SettingName	raw_length_prefixed@237100	Screen Resolution	screen resolution	unknown	done	Разрешение экрана			MonoBehaviour length-prefixed string; script=unknown:2177; length=17
v1.1.3	level1	MonoBehaviour	1642	Text (TMP)	raw_length_prefixed@239228	Day 0	day 0	ui	done	День 0			MonoBehaviour length-prefixed string; script=unknown:2177; length=5
v1.1.3	level1	MonoBehaviour	1643	SettingName	raw_length_prefixed@239756	Instant Clicking	instant clicking	unknown	done	Клик			MonoBehaviour length-prefixed string; script=unknown:2177; length=16
v1.1.3	level1	MonoBehaviour	1644	SettingDesc	raw_length_prefixed@240284	(While ON: Press 'F' to Fast-Forward time during the beginning of night events.)	(while on: press 'f' to fast-forward time during the beginning of night events.)	unknown	needs-context				MonoBehaviour length-prefixed string; script=unknown:2177; length=80
v1.1.3	level1	MonoBehaviour	1647	settings_subtitle	raw_length_prefixed@241932	Settings	settings	ui	done	Опции			MonoBehaviour length-prefixed string; script=unknown:2177; length=8
v1.1.3	level1	MonoBehaviour	1680	Medal_1 (1)	raw_length_prefixed@247876	Make yourself visible...	make yourself visible...	unknown	needs-context				MonoBehaviour length-prefixed string; script=unknown:471; length=24
v1.1.3	level1	MonoBehaviour	1716	Medal_1 (3)	raw_length_prefixed@254280	Make too many friends...	make too many friends...	unknown	needs-context				MonoBehaviour length-prefixed string; script=unknown:471; length=24
v1.1.3	level1	MonoBehaviour	1727	Medal_1 (2)	raw_length_prefixed@256160	Wait for rescue...	wait for rescue...	unknown	needs-context				MonoBehaviour length-prefixed string; script=unknown:471; length=18
v1.1.3	level1	MonoBehaviour	1737	EventSystem	raw_length_prefixed@257888	Cancel	cancel	unknown	done	Отмена			MonoBehaviour length-prefixed string; script=unknown:897; length=6
v1.1.3	level1	MonoBehaviour	1754	Medal_1 (7)	raw_length_prefixed@260644	Make bad choices...	make bad choices...	unknown	needs-context				MonoBehaviour length-prefixed string; script=unknown:471; length=19
v1.1.3	level1	MonoBehaviour	1826	Medal_1 (5)	raw_length_prefixed@273200	Have bad time management...	have bad time management...	unknown	needs-context				MonoBehaviour length-prefixed string; script=unknown:471; length=27
v1.1.3	level1	MonoBehaviour	1834	Medal_1 (6)	raw_length_prefixed@274684	Be a bad fisherman...	be a bad fisherman...	unknown	needs-context				MonoBehaviour length-prefixed string; script=unknown:471; length=21
v1.1.3	level1	MonoBehaviour	1838	Medal_1 (4)	raw_length_prefixed@275244	Get kidnapped...	get kidnapped...	unknown	needs-context				MonoBehaviour length-prefixed string; script=unknown:471; length=16
v1.1.3	level1	MonoBehaviour	1881	Medal_1 (9)	raw_length_prefixed@282396	Pay back your debts...	pay back your debts...	unknown	needs-context				MonoBehaviour length-prefixed string; script=unknown:471; length=22
v1.1.3	level1	MonoBehaviour	1900	NewGameButton	raw_length_prefixed@286028	ClickedNewGame	clickednewgame	unknown	needs-context				MonoBehaviour length-prefixed string; script=unknown:890; length=14
v1.1.3	level1	MonoBehaviour	1934	Medal_1	raw_length_prefixed@292240	Bring exploration tools...	bring exploration tools...	unknown	needs-context				MonoBehaviour length-prefixed string; script=unknown:471; length=26
v1.1.3	level1	MonoBehaviour	1980	Settings	raw_length_prefixed@303048	OpenSettings	opensettings	ui	todo				MonoBehaviour length-prefixed string; script=unknown:890; length=12
v1.1.3	level1	MonoBehaviour	1996	Slider	raw_length_prefixed@306680	UpdateMousesens	updatemousesens	unknown	needs-context				MonoBehaviour length-prefixed string; script=unknown:1093; length=15
v1.1.3	level1	MonoBehaviour	1998	Toggle	raw_length_prefixed@307304	UpdateInstantClick	updateinstantclick	unknown	needs-context				MonoBehaviour length-prefixed string; script=unknown:1416; length=18
v1.1.3	level1	MonoBehaviour	2021	UniStorm URP System	raw_length_prefixed@311316	FPS Player	fps player	unknown	needs-context			Main Camera	MonoBehaviour length-prefixed string; script=unknown:728; length=10
v1.1.3	level1	MonoBehaviour	2021	UniStorm URP System	raw_length_prefixed@311348	Main Camera	main camera	unknown	needs-context		FPS Player		MonoBehaviour length-prefixed string; script=unknown:728; length=11
v1.1.3	level1	MonoBehaviour	2074	GameController	raw_length_prefixed@334316	Dead by the Sea.	dead by the sea.	unknown	needs-context			Your friend is sleeping with the fishes. | You lost an item to the sea. | Something broke during the night.	MonoBehaviour length-prefixed string; script=unknown:1543; length=16
v1.1.3	level1	MonoBehaviour	2074	GameController	raw_length_prefixed@334888	Your friend is sleeping with the fishes.	your friend is sleeping with the fishes.	ui	todo		Dead by the Sea.	You lost an item to the sea. | Something broke during the night. | You did not sleep very well.	MonoBehaviour length-prefixed string; script=unknown:1543; length=40
v1.1.3	level1	MonoBehaviour	2074	GameController	raw_length_prefixed@334932	You lost an item to the sea.	you lost an item to the sea.	notification	todo		Dead by the Sea. | Your friend is sleeping with the fishes.	Something broke during the night. | You did not sleep very well. | You feel weak.	MonoBehaviour length-prefixed string; script=unknown:1543; length=28
v1.1.3	level1	MonoBehaviour	2074	GameController	raw_length_prefixed@334964	Something broke during the night.	something broke during the night.	unknown	done	"Что-то сломалось ночью."	Dead by the Sea. | Your friend is sleeping with the fishes. | You lost an item to the sea.	You did not sleep very well. | You feel weak. | Help may be on the way...	MonoBehaviour length-prefixed string; script=unknown:1543; length=33
v1.1.3	level1	MonoBehaviour	2074	GameController	raw_length_prefixed@335004	You did not sleep very well.	you did not sleep very well.	ui	todo		Your friend is sleeping with the fishes. | You lost an item to the sea. | Something broke during the night.	You feel weak. | Help may be on the way...	MonoBehaviour length-prefixed string; script=unknown:1543; length=28
v1.1.3	level1	MonoBehaviour	2074	GameController	raw_length_prefixed@335036	You feel weak.	you feel weak.	unknown	needs-context		You lost an item to the sea. | Something broke during the night. | You did not sleep very well.	Help may be on the way...	MonoBehaviour length-prefixed string; script=unknown:1543; length=14
v1.1.3	level1	MonoBehaviour	2074	GameController	raw_length_prefixed@335056	Help may be on the way...	help may be on the way...	unknown	needs-context		Something broke during the night. | You did not sleep very well. | You feel weak.		MonoBehaviour length-prefixed string; script=unknown:1543; length=25
v1.1.3	level1	raw_bytes			raw_ascii@52404	Library/unity default resources	library/unity default resources	unknown	needs-context			LoreNoClick | Directional Light | ScenarioMode	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level1	raw_bytes			raw_ascii@55024	LoreNoClick	lorenoclick	unknown	needs-context		Library/unity default resources	Directional Light | ScenarioMode | Text (TMP)	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level1	raw_bytes			raw_ascii@56400	Directional Light	directional light	unknown	needs-context		Library/unity default resources | LoreNoClick	ScenarioMode | Text (TMP) | Text (TMP)	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level1	raw_bytes			raw_ascii@57292	ScenarioMode	scenariomode	unknown	needs-context		Library/unity default resources | LoreNoClick | Directional Light	Text (TMP) | Text (TMP) | Point Light (1)	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level1	raw_bytes			raw_ascii@58912	Text (TMP)	text (tmp)	unknown	needs-context		LoreNoClick | Directional Light | ScenarioMode	Text (TMP) | Point Light (1) | ClickToContinue	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level1	raw_bytes			raw_ascii@59504	Text (TMP)	text (tmp)	unknown	needs-context		Directional Light | ScenarioMode | Text (TMP)	Point Light (1) | ClickToContinue | Text (TMP)	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level1	raw_bytes			raw_ascii@69040	Point Light (1)	point light (1)	unknown	needs-context		ScenarioMode | Text (TMP) | Text (TMP)	ClickToContinue | Text (TMP) | Text (TMP)	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level1	raw_bytes			raw_ascii@70336	ClickToContinue	clicktocontinue	ui	todo		Text (TMP) | Text (TMP) | Point Light (1)	Text (TMP) | Text (TMP) | Settings	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level1	raw_bytes			raw_ascii@70416	Text (TMP)	text (tmp)	unknown	needs-context		Text (TMP) | Point Light (1) | ClickToContinue	Text (TMP) | Settings | Text (TMP)	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level1	raw_bytes			raw_ascii@70624	Text (TMP)	text (tmp)	unknown	needs-context		Point Light (1) | ClickToContinue | Text (TMP)	Settings | Text (TMP) | Directional Light	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level1	raw_bytes			raw_ascii@70844	Settings	settings	ui	done	Опции	ClickToContinue | Text (TMP) | Text (TMP)	Text (TMP) | Directional Light | use	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level1	raw_bytes			raw_ascii@71008	Text (TMP)	text (tmp)	unknown	needs-context		Text (TMP) | Text (TMP) | Settings	Directional Light | use | Point Light	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level1	raw_bytes			raw_ascii@71808	Directional Light	directional light	unknown	needs-context		Text (TMP) | Settings | Text (TMP)	use | Point Light | Text (TMP)	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level1	raw_bytes			raw_ascii@73180	use	use	unknown	needs-context		Settings | Text (TMP) | Directional Light	Point Light | Text (TMP) | Text Area	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level1	raw_bytes			raw_ascii@73488	Point Light	point light	unknown	needs-context		Text (TMP) | Directional Light | use	Text (TMP) | Text Area | Point Light	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level1	raw_bytes			raw_ascii@74128	Text (TMP)	text (tmp)	unknown	needs-context		Directional Light | use | Point Light	Text Area | Point Light | Text (TMP)	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level1	raw_bytes			raw_ascii@74804	Text Area	text area	unknown	needs-context		use | Point Light | Text (TMP)	Point Light | Text (TMP) | Text Area	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level1	raw_bytes			raw_ascii@75472	Point Light	point light	unknown	needs-context		Point Light | Text (TMP) | Text Area	Text (TMP) | Text Area | Fill Area	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level1	raw_bytes			raw_ascii@75616	Text (TMP)	text (tmp)	unknown	needs-context		Text (TMP) | Text Area | Point Light	Text Area | Fill Area | Handle Slide Area	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level1	raw_bytes			raw_ascii@76100	Text Area	text area	unknown	needs-context		Text Area | Point Light | Text (TMP)	Fill Area | Handle Slide Area | Handle Slide Area	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level1	raw_bytes			raw_ascii@76952	Fill Area	fill area	unknown	needs-context		Point Light | Text (TMP) | Text Area	Handle Slide Area | Handle Slide Area | Fill Area	raw byte fallback candidate; inspect neighbouring Unity object if promoted
