block	category	source_text	current_translation	recommended_translation	status	source_location	object_context	neighbouring_strings	layout_risk	where_to_fix	notes
OptionsMenu	ui	Sprite Assets/			needs-context	:	type=MonoBehaviour; name=TMP Settings; script=Unity.TextMeshPro:TMPro.TMP_Settings; dump=resources.assets/MonoBehaviour/1933__TMP_Settings.json	TMP Settings | TMP Settings || Color Gradient Presets/	medium: verify compact fit in runtime	review block context before source_queue change	complete readable Unity text context; MonoBehaviour length-prefixed string; script=unknown:596; length=14
OptionsMenu	unknown	UseDuctTape			needs-context	:	type=raw_bytes	Text (TMP) | Text (TMP) | scubaTaskCamera || SettingsFade | mixamorig:LeftForeArm | mixamorig:Spine	medium: verify compact fit in runtime	review block context before source_queue change	unclassified candidate; Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level3::raw_ascii@194232:; level4::raw_ascii@336472:; v1.1.3 locations=level3::raw_ascii@195416:; level4::raw_ascii@364616:. Use source text plus neighbouring object context, not path_id/list index.
OptionsMenu	unknown	Y F jad			needs-context	:	type=raw_bytes	SettingsCanvas | xOS/2c | F had || 0b01aYN | Y7m3 | 8o9V	medium: verify compact fit in runtime	review block context before source_queue change	raw byte fallback needs complete structured source confirmation; raw byte fallback candidate; inspect neighbouring Unity object if promoted
MainMenu	unknown	Back to Menu	В меню		done	:	type=MonoBehaviour; name=txt		low/medium: verify in runtime	review block context before source_queue change	unclassified candidate; MonoBehaviour length-prefixed string; script=unknown:2177; length=12
HealthStatusHUD	runtime-screenshot	I don't feel good	Мне нехорошо	Мне нехорошо	done	:	category=runtime-screenshot		low/medium: verify in runtime	translations/source_queue.tsv	manual runtime screenshot seed
HealthStatusHUD	runtime-screenshot	I have some pain	Мне больно	Мне больно	done	:	category=runtime-screenshot		low/medium: verify in runtime	translations/source_queue.tsv	manual runtime screenshot seed
HealthStatusHUD	runtime-screenshot	I'm dying...	Я умираю...	Я умираю...	done	:	category=runtime-screenshot		low/medium: verify in runtime	translations/source_queue.tsv	manual runtime screenshot seed
HungerStatusHUD	ui	Hungry	Голод	Голод	done	:	type=MonoBehaviour; name=Text (TMP)		low/medium: verify in runtime	translations/source_queue.tsv	player-facing category but context still needs review; MonoBehaviour length-prefixed string; script=unknown:2177; length=6
HungerStatusHUD	runtime-screenshot	I'm starving	Я умираю от голода	Я умираю от голода	done	:	category=runtime-screenshot		low/medium: verify in runtime	translations/source_queue.tsv	manual runtime screenshot seed
HungerStatusHUD	runtime-screenshot	Starving	Голод	Голод	done	:	category=runtime-screenshot		low/medium: verify in runtime	translations/source_queue.tsv	manual runtime screenshot seed
FriendSupportPanel	runtime-screenshot	Bored	Скучает	Скучает	done	:	category=runtime-screenshot		low/medium: verify in runtime	translations/source_queue.tsv	manual runtime screenshot seed
FriendSupportPanel	runtime-screenshot	Depressed	Подавлен	Подавлен	done	:	category=runtime-screenshot		low/medium: verify in runtime	translations/source_queue.tsv	manual runtime screenshot seed
FriendSupportPanel	runtime-screenshot	Happy	Счастлив	Счастлив	done	:	category=runtime-screenshot		low/medium: verify in runtime	translations/source_queue.tsv	manual runtime screenshot seed
FriendSupportPanel	runtime-screenshot	Makes repairing less demanding today.	Ремонт сегодня проще.	Ремонт сегодня проще.	done	:	category=runtime-screenshot		low/medium: verify in runtime	translations/source_queue.tsv	manual runtime screenshot seed
FriendSupportPanel	runtime-screenshot	Miserable	В отчаянии	В отчаянии	done	:	category=runtime-screenshot		low/medium: verify in runtime	translations/source_queue.tsv	manual runtime screenshot seed
FriendSupportPanel	runtime-screenshot	Row does not feel well...	Роу нездоровится...	Роу нездоровится...	done	:	category=runtime-screenshot		low/medium: verify in runtime	translations/source_queue.tsv	manual runtime screenshot seed
FriendSupportPanel	runtime-confirmed	Support?	Помочь?	Помочь?	done	:	type=manual		low/medium: verify in runtime	translations/source_queue.tsv	complete screenshot/high-confidence source text; manual evidence seed
FriendSupportPanel	result/search	FoundFlower			ignore-technical	:	type=raw_bytes	AllVisualItems | FriendManageUI | RandomDayBox || OptionMode | bait (2) N | umbrella (broken)	low/medium: verify in runtime	review block context before source_queue change	internal Unity/helper/source name; raw byte fallback candidate; inspect neighbouring Unity object if promoted
FriendSupportPanel	unknown	FriendManageUI			needs-context	:	type=raw_bytes	umbrella N | ItemText | AllVisualItems || RandomDayBox | FoundFlower | OptionMode	low/medium: verify in runtime	review block context before source_queue change	raw byte fallback needs complete structured source confirmation; raw byte fallback candidate; inspect neighbouring Unity object if promoted
FriendSupportPanel	ui	Healthy			needs-context	:	type=MonoBehaviour; name=FriendManageUI; script=Assembly-CSharp:FriendHud; gameobject=FriendManageUI; dump=level3/MonoBehaviour/4679__FriendManageUI.json	Hungry | Hungry	low/medium: verify in runtime	review block context before source_queue change	player-facing category but context still needs review; MonoBehaviour length-prefixed string; script=unknown:2132; length=7
FriendSupportPanel	unknown	OptionMode			needs-context	:	type=raw_bytes	FriendManageUI | RandomDayBox | FoundFlower || bait (2) N | umbrella (broken) | Cancel	low/medium: verify in runtime	review block context before source_queue change	raw byte fallback needs complete structured source confirmation; raw byte fallback candidate; inspect neighbouring Unity object if promoted
FriendSupportPanel	unknown	RandomDayBox			needs-context	:	type=raw_bytes	ItemText | AllVisualItems | FriendManageUI || FoundFlower | OptionMode | bait (2) N	low/medium: verify in runtime	review block context before source_queue change	raw byte fallback needs complete structured source confirmation; raw byte fallback candidate; inspect neighbouring Unity object if promoted
ItemCard	notification	Broken Compass	Компас сломан	Компас сломан	done	:	type=MonoBehaviour; name=Task_Fishing; script=Assembly-CSharp:FishingController; gameobject=Task_Fishing; dump=level3/MonoBehaviour/4764__Task_Fishing.json	Useful for fishing! | Wet Duct Tape | Seems useable! || Looks reparable! | Torn Fishing Net | Looks reparable!	medium: verify compact fit in runtime	translations/source_queue.tsv	player-facing category but context still needs review; Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level3:4729:raw_length_prefixed@909448:Task_Fishing; level3:4771:raw_length_prefixed@918976:compass (broken); level3::raw_ascii@909448:; level3::raw_ascii@918976:; level4:10051:raw_length_prefixed@2118832:compass (broken); +2 more; v1.1.3 locations=level3:4764:raw_length_prefixed@914808:Task_Fishing; level3:4806:raw_length_prefixed@924416:compass (broken); level3::raw_ascii@914808:; level3::raw_ascii@924416:; level4:10810:raw_length_prefixed@2225312:compass (broken); +2 more. Use source text plus neighbouring object context, not path_id/list index.
ItemCard	notification	Broken Scuba Set	Акваланг сломан	Акваланг сломан	done	:	type=MonoBehaviour; name=scuba_set (broken); script=Assembly-CSharp:CursorInfoMaker; gameobject=scuba_set (broken); dump=level3/MonoBehaviour/4832__scuba_set_broken.json		medium: verify compact fit in runtime	translations/source_queue.tsv	player-facing category but context still needs review; Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level3:4797:raw_length_prefixed@923072:scuba_set (broken); level3::raw_ascii@923072:; level4:9766:raw_length_prefixed@2083104:scuba_set (broken); translations/source_queue.tsv:::; patches/xunity_autotranslator/BepInEx/Translation/ru/Text/_AutoGeneratedTranslations.txt:::; v1.1.3 locations=level3:4832:raw_length_prefixed@928512:scuba_set (broken); level3::raw_ascii@928512:; level4:10518:raw_length_prefixed@2187920:scuba_set (broken); translations/source_queue.tsv:::; patches/xunity_autotranslator/BepInEx/Translation/ru/Text/_AutoGeneratedTranslations.txt:::. Use source text plus neighbouring object context, not path_id/list index.
ItemCard	item	Details are smudged.	Детали размазаны.	Детали размазаны.	done	:	type=MonoBehaviour; name=Task_Fishing; script=Assembly-CSharp:FishingController; gameobject=Task_Fishing; dump=level3/MonoBehaviour/4764__Task_Fishing.json	Energy Bar | Looks tasty! | Soaked but readable. || It's somewhat faded. | Still has a card. | Barely working.	medium: verify compact fit in runtime	translations/source_queue.tsv	player-facing category but context still needs review; Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level3:4729:raw_length_prefixed@910216:Task_Fishing; v1.1.3 locations=level3:4764:raw_length_prefixed@915576:Task_Fishing. Use source text plus neighbouring object context, not path_id/list index.
ItemCard	item	Looks reparable!	Можно починить.	Можно починить.	done	:	type=MonoBehaviour; name=Task_Fishing; script=Assembly-CSharp:FishingController; gameobject=Task_Fishing; dump=level3/MonoBehaviour/4764__Task_Fishing.json	Wet Duct Tape | Seems useable! | Broken Compass || Torn Fishing Net | Looks reparable! | Energy Bar	medium: verify compact fit in runtime	translations/source_queue.tsv	player-facing category but context still needs review; Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level3:4729:raw_length_prefixed@909476:Task_Fishing; level3:4729:raw_length_prefixed@909640:Task_Fishing; v1.1.3 locations=level3:4764:raw_length_prefixed@914836:Task_Fishing; level3:4764:raw_length_prefixed@915000:Task_Fishing. Use source text plus neighbouring object context, not path_id/list index.
ItemCard	item	Looks tasty!	Выглядит вкусно.	Выглядит вкусно.	done	:	type=MonoBehaviour; name=Task_Fishing; script=Assembly-CSharp:FishingController; gameobject=Task_Fishing; dump=level3/MonoBehaviour/4764__Task_Fishing.json	Torn Fishing Net | Looks reparable! | Energy Bar || Soaked but readable. | Details are smudged. | It's somewhat faded.	medium: verify compact fit in runtime	translations/source_queue.tsv	player-facing category but context still needs review; Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level3:4729:raw_length_prefixed@909800:Task_Fishing; v1.1.3 locations=level3:4764:raw_length_prefixed@915160:Task_Fishing. Use source text plus neighbouring object context, not path_id/list index.
ItemCard	item	Soaked but readable.	Намокло, но читаемо.	Намокло, но читаемо.	done	:	type=MonoBehaviour; name=Task_Fishing; script=Assembly-CSharp:FishingController; gameobject=Task_Fishing; dump=level3/MonoBehaviour/4764__Task_Fishing.json	Looks reparable! | Energy Bar | Looks tasty! || Details are smudged. | It's somewhat faded. | Still has a card.	medium: verify compact fit in runtime	translations/source_queue.tsv	player-facing category but context still needs review; Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level3:4729:raw_length_prefixed@910052:Task_Fishing; v1.1.3 locations=level3:4764:raw_length_prefixed@915412:Task_Fishing. Use source text plus neighbouring object context, not path_id/list index.
ItemCard	unknown	Torn Umbrella	Рваный зонт	Рваный зонт	done	:	type=MonoBehaviour; name=umbrella (broken)		medium: verify compact fit in runtime	translations/source_queue.tsv	unclassified candidate; MonoBehaviour length-prefixed string; script=unknown:1567; length=13
BrokenItemActionPrompt	runtime-confirmed	Click to Cancel!	Нажмите, чтобы отменить!	Нажмите, чтобы отменить!	done	:	type=manual		medium: verify compact fit in runtime	translations/source_queue.tsv	complete screenshot/high-confidence source text; manual evidence seed
BrokenItemActionPrompt	runtime-screenshot	Fix by hand	Починить вручную	Починить вручную	done	:	category=runtime-screenshot		medium: verify compact fit in runtime	translations/source_queue.tsv	manual runtime screenshot seed
BrokenItemActionPrompt	unknown	Fix with tape!	Починить скотчем!	Починить скотчем!	done	:	type=MonoBehaviour; name=click_to_fix; script=Unity.TextMeshPro:TMPro.TextMeshProUGUI; gameobject=click_to_fix; dump=level3/MonoBehaviour/4336__click_to_fix.json		medium: verify compact fit in runtime	translations/source_queue.tsv	complete readable Unity text context; Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level3:4304:raw_length_prefixed@807596:click_to_fix; level3::raw_ascii@807596:; translations/source_queue.tsv:::; patches/xunity_autotranslator/BepInEx/Translation/ru/Text/_AutoGeneratedTranslations.txt:::; v1.1.3 locations=level3:4336:raw_length_prefixed@811308:click_to_fix; level3::raw_ascii@811308:; translations/source_queue.tsv:::; patches/xunity_autotranslator/BepInEx/Translation/ru/Text/_AutoGeneratedTranslations.txt:::. Use source text plus neighbouring object context, not path_id/list index.
SearchResultPaper	dynamic/runtime	<b>Red Snapper</b> <i>(+1 Food!)</i>	<b>Луциан</b> <i>(+1 еда!)</i>		done	:	type=binary_string	nrek | You hurt yourself while searching. | nrek || nrek | Full already! | nrek	low/medium: verify in runtime	review block context before source_queue change	unclassified candidate; binary string candidate for weight/fishing diagnostic
SearchResultPaper	event	Deep Red	Глубокий Красный		done	:	type=TextAsset; name=journals	I equipped my diving gear to investigate. | Below, I heard a deep rumble, followed by the very thing I was searching for. | It was searching for me, too. || 259 | bloodwater_scuba_food | The air smelled putrid, and when I looked around… the sea was red. Deep red. Like, actu...	low/medium: verify in runtime	review block context before source_queue change	complete readable Unity text context; TextAsset payload/string-table cell
SearchResultPaper	event	I fear I just lost my only chance at escape.<br>An actual helicopter was searching near the boat for only a short time. I tried everything to get its attention, but in the end, I was just out of sight.<br>They’ll probably pronounce me dead.	Боюсь, я только что упустил свой единственный шанс спастись.<br>Настоящий вертолёт недолго прочёсывал район возле лодки. Я сделал всё, чтобы привлечь его внимание, но в итоге оказался вне поля зрения.<br>Наверное, меня объявят погибшим.		done	:	type=TextAsset; name=journals	Night Trader | 283 | helicopter_tried_to_warn || I fear I just lost my only chance at escape. | An actual helicopter was searching near the boat for only a short time. I tried everyth... | They’ll probably pronounce me dead.	low/medium: verify in runtime	review block context before source_queue change	complete readable Unity text context; TextAsset payload/string-table cell
SearchResultPaper	result/search	Sea Search	Поиск в море		done	:	type=MonoBehaviour; name=scuba_set; script=Assembly-CSharp:CursorInfoMaker; gameobject=scuba_set; dump=level3/MonoBehaviour/4688__scuba_set.json		low/medium: verify in runtime	review block context before source_queue change	player-facing category but context still needs review; Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level3:4653:raw_length_prefixed@897536:scuba_set; v1.1.3 locations=level3:4688:raw_length_prefixed@902896:scuba_set. Use source text plus neighbouring object context, not path_id/list index.
SearchResultPaper	result/search	Search Results	Результаты		done	:	type=MonoBehaviour; name=Title		low/medium: verify in runtime	review block context before source_queue change	player-facing category but context still needs review; MonoBehaviour length-prefixed string; script=unknown:2177; length=14
SearchResultPaper	event	The air smelled putrid, and when I looked around… the sea was red. Deep red. Like, actual blood red.<br>I equipped my diving gear to investigate.<br>Below, I heard a deep rumble, followed by the very thing I was searching for.<br>It was searching for me, too.	В воздухе пахло гнилью, а когда я осмотрелся... море было красным. Густо-красным. Будто кровавым.<br>Я надел дыхательное снаряжение и нырнул проверить.<br>Внизу раздался глубокий треск, а затем появилось именно то, что я искал.<br>И оно тоже искало меня.		done	:	type=TextAsset; name=journals	Red | 268 | bloodwater_scuba_attack || The air smelled putrid, and when I looked around… the sea was red. Deep red. Like, actu... | I equipped my diving gear to investigate. | Below, I heard a deep rumble, followed by the very thing I was searching for.	low/medium: verify in runtime	review block context before source_queue change	complete readable Unity text context; TextAsset payload/string-table cell
SearchResultPaper	result/search	You hurt yourself while searching.	Вы поранились во время поиска.		done	:	type=MonoBehaviour; name=ItemText; script=Unity.TextMeshPro:TMPro.TextMeshProUGUI; gameobject=ItemText; dump=level3/MonoBehaviour/4367__ItemText.json		low/medium: verify in runtime	review block context before source_queue change	complete readable Unity text context; Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level3:4335:raw_length_prefixed@824172:ItemText; v1.1.3 locations=level3:4367:raw_length_prefixed@827884:ItemText. Use source text plus neighbouring object context, not path_id/list index.
SearchResultPaper	result/search	Your search did not yield results.	Ничего не найдено.		done	:	type=manual		low/medium: verify in runtime	review block context before source_queue change	player-facing category but context still needs review; Known wording fix: replace current Поиск ничего... / Поиск ничего не дал.
SearchResultPaper	unknown	FishedInfoHolder			ignore-technical	:	type=raw_bytes	friendIcon (1) | ClickToContinue | Text (TMP) || Energy3 | ScubaSearchHud | energyicon (1)	low/medium: verify in runtime	review block context before source_queue change	internal Unity/helper/source name; Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level3::raw_ascii@152716:; v1.1.3 locations=level3::raw_ascii@153900:. Use source text plus neighbouring object context, not path_id/list index.
SearchResultPaper	result/search	RollFriendSearch			ignore-technical	:	type=raw_bytes	KA4R | DD A | DD0A || EndNightEvent | s0Y | DD A	low/medium: verify in runtime	review block context before source_queue change	demoted by workset classifier; raw byte fallback candidate; inspect neighbouring Unity object if promoted
SearchResultPaper	unknown	ScubaGoggles			ignore-technical	:	type=raw_bytes	Energy3 | ScubaSearchHud | energyicon (1) || Sleep Button | Particle System | Continue	low/medium: verify in runtime	review block context before source_queue change	internal Unity/helper/source name; Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level3::raw_ascii@159536:; v1.1.3 locations=level3::raw_ascii@160720:. Use source text plus neighbouring object context, not path_id/list index.
SearchResultPaper	result/search	ScubaSearchHud			ignore-technical	:	type=raw_bytes	Text (TMP) | FishedInfoHolder | Energy3 || energyicon (1) | ScubaGoggles | Sleep Button	low/medium: verify in runtime	review block context before source_queue change	internal Unity/helper/source name; Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level3::raw_ascii@153652:; v1.1.3 locations=level3::raw_ascii@154836:. Use source text plus neighbouring object context, not path_id/list index.
SearchResultPaper	result/search	SearchAccepted			ignore-technical	:	type=MonoBehaviour; name=Yes; script=UnityEngine.UI:UnityEngine.UI.Button; gameobject=Yes; dump=level3/MonoBehaviour/4505__Yes.json		low/medium: verify in runtime	review block context before source_queue change	internal Unity/helper/source name; MonoBehaviour length-prefixed string; script=unknown:890; length=14
SearchResultPaper	result/search	SearchDenied			ignore-technical	:	type=MonoBehaviour; name=No; script=UnityEngine.UI:UnityEngine.UI.Button; gameobject=No; dump=level3/MonoBehaviour/4509__No.json		low/medium: verify in runtime	review block context before source_queue change	internal Unity/helper/source name; MonoBehaviour length-prefixed string; script=unknown:890; length=12
SearchResultPaper	unknown	?DD0A			needs-context	:	type=raw_bytes	RollFriendSearch | EndNightEvent | DD A || ?DD8A | ww3A | RollFriendSearch	low/medium: verify in runtime	review block context before source_queue change	unclassified candidate; raw byte fallback candidate; inspect neighbouring Unity object if promoted
SearchResultPaper	event	An actual helicopter was searching near the boat for only a short time. I tried everything to get its attention, but in the end, I was just out of sight.			needs-context	:	type=TextAsset; name=journals; dump=resources.assets/TextAsset/158__journals.txt	helicopter_tried_to_warn | I fear I just lost my only chance at escape.<br>An actual helicopter was searching near... | I fear I just lost my only chance at escape. || They’ll probably pronounce me dead. | S.O.S | 240	low/medium: verify in runtime	review block context before source_queue change	complete readable Unity text context; TextAsset payload/string-table cell
