version	asset_file	object_type	path_id	object_name	field_path	source_text	normalized_source_text	category	status	translation_guess	context_before	context_after	notes
v1.1.3	level1	raw_bytes			raw_ascii@79768	Handle Slide Area	handle slide area	unknown	needs-context		Accept | Fill Area | SettingsFade	Text (TMP) | Text (TMP) | Text Area	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level1	raw_bytes			raw_ascii@85064	Handle Slide Area	handle slide area	unknown	needs-context		Sliding Area | Fill Area | Settings	Item | Item Checkmark | InputField (TMP)	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level1	raw_bytes			raw_ascii@87352	Handle Slide Area	handle slide area	unknown	needs-context		Restore | PausedTitle | Text (TMP)	A13cA | HC33UB | o6D	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level1	MonoBehaviour	1826	Medal_1 (5)	raw_length_prefixed@273200	Have bad time management...	have bad time management...	unknown	needs-context				MonoBehaviour length-prefixed string; script=unknown:471; length=27
v1.1.3	level1	raw_bytes			raw_ascii@273200	Have bad time management...	have bad time management...	unknown	needs-context		Wait for rescue... | Cancel | Make bad choices...	Be a bad fisherman... | Get kidnapped... | Pay back your debts...	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level1	MonoBehaviour	2074	GameController	raw_length_prefixed@335056	Help may be on the way...	help may be on the way...	unknown	needs-context		Something broke during the night. | You did not sleep very well. | You feel weak.		MonoBehaviour length-prefixed string; script=unknown:1543; length=25
v1.1.3	level1	raw_bytes			raw_ascii@335056	Help may be on the way...	help may be on the way...	unknown	needs-context		Something broke during the night. | You did not sleep very well. | You feel weak.		raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level1	raw_bytes			raw_ascii@85836	InputField (TMP)	inputfield (tmp)	unknown	needs-context		Handle Slide Area | Item | Item Checkmark	Restore | PausedTitle | Text (TMP)	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level1	raw_bytes			raw_ascii@85316	Item	item	unknown	needs-context		Fill Area | Settings | Handle Slide Area	Item Checkmark | InputField (TMP) | Restore	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level1	MonoBehaviour	1616	help	raw_length_prefixed@225020	"kill
getfish
superhelp"	kill getfish superhelp	unknown	needs-context				MonoBehaviour length-prefixed string; script=unknown:2177; length=22
v1.1.3	level1	raw_bytes			raw_ascii@52404	Library/unity default resources	library/unity default resources	unknown	needs-context			LoreNoClick | Directional Light | ScenarioMode	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level1	raw_bytes			raw_ascii@55024	LoreNoClick	lorenoclick	unknown	needs-context		Library/unity default resources	Directional Light | ScenarioMode | Text (TMP)	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level1	MonoBehaviour	2021	UniStorm URP System	raw_length_prefixed@311348	Main Camera	main camera	unknown	needs-context		FPS Player		MonoBehaviour length-prefixed string; script=unknown:728; length=11
v1.1.3	level1	raw_bytes			raw_ascii@311348	Main Camera	main camera	unknown	needs-context		UpdateMousesens | UpdateInstantClick | FPS Player	A3rp | A3rp | A3rp	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level1	MonoBehaviour	1754	Medal_1 (7)	raw_length_prefixed@260644	Make bad choices...	make bad choices...	unknown	needs-context				MonoBehaviour length-prefixed string; script=unknown:471; length=19
v1.1.3	level1	raw_bytes			raw_ascii@260644	Make bad choices...	make bad choices...	unknown	needs-context		Make too many friends... | Wait for rescue... | Cancel	Have bad time management... | Be a bad fisherman... | Get kidnapped...	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level1	MonoBehaviour	1716	Medal_1 (3)	raw_length_prefixed@254280	Make too many friends...	make too many friends...	unknown	needs-context				MonoBehaviour length-prefixed string; script=unknown:471; length=24
v1.1.3	level1	raw_bytes			raw_ascii@254280	Make too many friends...	make too many friends...	unknown	needs-context		(While ON: Press 'F' to Fast-Forward time during the beginning of night events.) | Settings | Make yourself visible...	Wait for rescue... | Cancel | Make bad choices...	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level1	MonoBehaviour	1680	Medal_1 (1)	raw_length_prefixed@247876	Make yourself visible...	make yourself visible...	unknown	needs-context				MonoBehaviour length-prefixed string; script=unknown:471; length=24
v1.1.3	level1	raw_bytes			raw_ascii@247876	Make yourself visible...	make yourself visible...	unknown	needs-context		Instant Clicking | (While ON: Press 'F' to Fast-Forward time during the beginning of night events.) | Settings	Make too many friends... | Wait for rescue... | Cancel	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level1	raw_bytes			raw_ascii@86960	PausedTitle	pausedtitle	unknown	needs-context		Item Checkmark | InputField (TMP) | Restore	Text (TMP) | Handle Slide Area | A13cA	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level1	MonoBehaviour	1881	Medal_1 (9)	raw_length_prefixed@282396	Pay back your debts...	pay back your debts...	unknown	needs-context				MonoBehaviour length-prefixed string; script=unknown:471; length=22
v1.1.3	level1	raw_bytes			raw_ascii@282396	Pay back your debts...	pay back your debts...	unknown	needs-context		Have bad time management... | Be a bad fisherman... | Get kidnapped...	ClickedNewGame | Bring exploration tools... | OpenSettings	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level1	raw_bytes			raw_ascii@73488	Point Light	point light	unknown	needs-context		Text (TMP) | Directional Light | use	Text (TMP) | Text Area | Point Light	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level1	raw_bytes			raw_ascii@75472	Point Light	point light	unknown	needs-context		Point Light | Text (TMP) | Text Area	Text (TMP) | Text Area | Fill Area	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level1	raw_bytes			raw_ascii@69040	Point Light (1)	point light (1)	unknown	needs-context		ScenarioMode | Text (TMP) | Text (TMP)	ClickToContinue | Text (TMP) | Text (TMP)	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level1	raw_bytes			raw_ascii@210500	Record: 13 Days	record: 13 days	unknown	needs-context		Alternative to 'E': Left-Click or Right-Shift | You | Sleeping With The Fishes	Eat for Energy | You sank with Dorothy. | How to Play?	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level1	GameObject	492	Restore	m_Name	Restore	restore	unknown	needs-context				UnityPy typetree string
v1.1.3	level1	raw_bytes			raw_ascii@86524	Restore	restore	unknown	needs-context		Item | Item Checkmark | InputField (TMP)	PausedTitle | Text (TMP) | Handle Slide Area	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level1	MonoBehaviour	1610	txt	raw_length_prefixed@221836	Restore Defaults	restore defaults	unknown	needs-context				MonoBehaviour length-prefixed string; script=unknown:2177; length=16
v1.1.3	level1	raw_bytes			raw_ascii@221836	Restore Defaults	restore defaults	unknown	needs-context		Claimed by the sea. | SELECT DIFFICULTY | Reverts automatically in: 10	Volume SFX | Back to Menu | Keep new resolution?	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level1	raw_bytes			raw_ascii@188155	s your only option.	s your only option.	unknown	needs-context		(Development build) | Keep empty for random seed... | If your night does get interrupted, use an item you brought to handle the situation. If...	Scenario Mode | Super Energy | Use the daytime to spend your energy on fishing, eating, doing small tasks, or chatting...	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level1	MonoBehaviour	1556	txt	raw_length_prefixed@192396	Scenario Mode	scenario mode	unknown	needs-context				MonoBehaviour length-prefixed string; script=unknown:2177; length=13
v1.1.3	level1	raw_bytes			raw_ascii@192396	Scenario Mode	scenario mode	unknown	needs-context		Keep empty for random seed... | If your night does get interrupted, use an item you brought to handle the situation. If... | s your only option.	Super Energy | Use the daytime to spend your energy on fishing, eating, doing small tasks, or chatting... | When you run out of energy, end the day and try to sleep hoping nothing disrupts your r...	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level1	raw_bytes			raw_ascii@57292	ScenarioMode	scenariomode	unknown	needs-context		Library/unity default resources | LoreNoClick | Directional Light	Text (TMP) | Text (TMP) | Point Light (1)	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level1	raw_bytes			raw_ascii@83656	Sliding Area	sliding area	unknown	needs-context		DayGameMusic | Item Label | Fill Area	Fill Area | Settings | Handle Slide Area	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level1	raw_bytes			raw_ascii@58912	Text (TMP)	text (tmp)	unknown	needs-context		LoreNoClick | Directional Light | ScenarioMode	Text (TMP) | Point Light (1) | ClickToContinue	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level1	raw_bytes			raw_ascii@59504	Text (TMP)	text (tmp)	unknown	needs-context		Directional Light | ScenarioMode | Text (TMP)	Point Light (1) | ClickToContinue | Text (TMP)	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level1	raw_bytes			raw_ascii@70416	Text (TMP)	text (tmp)	unknown	needs-context		Text (TMP) | Point Light (1) | ClickToContinue	Text (TMP) | Settings | Text (TMP)	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level1	raw_bytes			raw_ascii@70624	Text (TMP)	text (tmp)	unknown	needs-context		Point Light (1) | ClickToContinue | Text (TMP)	Settings | Text (TMP) | Directional Light	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level1	raw_bytes			raw_ascii@71008	Text (TMP)	text (tmp)	unknown	needs-context		Text (TMP) | Text (TMP) | Settings	Directional Light | use | Point Light	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level1	raw_bytes			raw_ascii@74128	Text (TMP)	text (tmp)	unknown	needs-context		Directional Light | use | Point Light	Text Area | Point Light | Text (TMP)	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level1	raw_bytes			raw_ascii@75616	Text (TMP)	text (tmp)	unknown	needs-context		Text (TMP) | Text Area | Point Light	Text Area | Fill Area | Handle Slide Area	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level1	raw_bytes			raw_ascii@79904	Text (TMP)	text (tmp)	unknown	needs-context		Fill Area | SettingsFade | Handle Slide Area	Text (TMP) | Text Area | UniStorm URP System	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level1	raw_bytes			raw_ascii@80352	Text (TMP)	text (tmp)	unknown	needs-context		SettingsFade | Handle Slide Area | Text (TMP)	Text Area | UniStorm URP System | UniStorm Volumetric Clouds	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level1	raw_bytes			raw_ascii@87248	Text (TMP)	text (tmp)	unknown	needs-context		InputField (TMP) | Restore | PausedTitle	Handle Slide Area | A13cA | HC33UB	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level1	raw_bytes			raw_ascii@74804	Text Area	text area	unknown	needs-context		use | Point Light | Text (TMP)	Point Light | Text (TMP) | Text Area	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level1	raw_bytes			raw_ascii@76100	Text Area	text area	unknown	needs-context		Text Area | Point Light | Text (TMP)	Fill Area | Handle Slide Area | Handle Slide Area	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level1	raw_bytes			raw_ascii@81428	Text Area	text area	unknown	needs-context		Handle Slide Area | Text (TMP) | Text (TMP)	UniStorm URP System | UniStorm Volumetric Clouds | Clouds Shadows	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level1	raw_bytes			raw_ascii@82324	UniStorm Moon	unistorm moon	unknown	needs-context		Clouds Shadows | Celestial Axis | UniStorm Stars	UniStorm Windzone | UniStorm Sun | Item Background	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level1	raw_bytes			raw_ascii@82260	UniStorm Stars	unistorm stars	unknown	needs-context		UniStorm Volumetric Clouds | Clouds Shadows | Celestial Axis	UniStorm Moon | UniStorm Windzone | UniStorm Sun	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level1	raw_bytes			raw_ascii@82464	UniStorm Sun	unistorm sun	unknown	needs-context		UniStorm Stars | UniStorm Moon | UniStorm Windzone	Item Background | DayGameMusic | Item Label	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level1	raw_bytes			raw_ascii@81972	UniStorm URP System	unistorm urp system	unknown	needs-context		Text (TMP) | Text (TMP) | Text Area	UniStorm Volumetric Clouds | Clouds Shadows | Celestial Axis	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level1	raw_bytes			raw_ascii@82060	UniStorm Volumetric Clouds	unistorm volumetric clouds	unknown	needs-context		Text (TMP) | Text Area | UniStorm URP System	Clouds Shadows | Celestial Axis | UniStorm Stars	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level1	raw_bytes			raw_ascii@82388	UniStorm Windzone	unistorm windzone	unknown	needs-context		Celestial Axis | UniStorm Stars | UniStorm Moon	UniStorm Sun | Item Background | DayGameMusic	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level1	MonoBehaviour	1998	Toggle	raw_length_prefixed@307304	UpdateInstantClick	updateinstantclick	unknown	needs-context				MonoBehaviour length-prefixed string; script=unknown:1416; length=18
v1.1.3	level1	raw_bytes			raw_ascii@307304	UpdateInstantClick	updateinstantclick	unknown	needs-context		Bring exploration tools... | OpenSettings | UpdateMousesens	FPS Player | Main Camera | A3rp	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level1	MonoBehaviour	1996	Slider	raw_length_prefixed@306680	UpdateMousesens	updatemousesens	unknown	needs-context				MonoBehaviour length-prefixed string; script=unknown:1093; length=15
v1.1.3	level1	raw_bytes			raw_ascii@306680	UpdateMousesens	updatemousesens	unknown	needs-context		ClickedNewGame | Bring exploration tools... | OpenSettings	UpdateInstantClick | FPS Player | Main Camera	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level1	GameObject	296	use	m_Name	use	use	unknown	needs-context				UnityPy typetree string
v1.1.3	level1	raw_bytes			raw_ascii@73180	use	use	unknown	needs-context		Settings | Text (TMP) | Directional Light	Point Light | Text (TMP) | Text Area	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level1	raw_bytes			raw_ascii@193452	Use the daytime to spend your energy on fishing, eating, doing small tasks, or chatting to your shipmate (if you brought one).	use the daytime to spend your energy on fishing, eating, doing small tasks, or chatting to your shipmate (if you brought one).	unknown	needs-context		s your only option. | Scenario Mode | Super Energy	When you run out of energy, end the day and try to sleep hoping nothing disrupts your r... | Step 1: Grab and Run! | +Slower Hunger	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level1	MonoBehaviour	1727	Medal_1 (2)	raw_length_prefixed@256160	Wait for rescue...	wait for rescue...	unknown	needs-context				MonoBehaviour length-prefixed string; script=unknown:471; length=18
v1.1.3	level1	raw_bytes			raw_ascii@256160	Wait for rescue...	wait for rescue...	unknown	needs-context		Settings | Make yourself visible... | Make too many friends...	Cancel | Make bad choices... | Have bad time management...	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level1	raw_bytes			raw_ascii@207580	You	you	unknown	needs-context		You died of starvation. | No Hunger | Alternative to 'E': Left-Click or Right-Shift	Sleeping With The Fishes | Record: 13 Days | Eat for Energy	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level1	MonoBehaviour	2074	GameController	raw_length_prefixed@335036	You feel weak.	you feel weak.	unknown	needs-context		You lost an item to the sea. | Something broke during the night. | You did not sleep very well.	Help may be on the way...	MonoBehaviour length-prefixed string; script=unknown:1543; length=14
v1.1.3	level1	raw_bytes			raw_ascii@335036	You feel weak.	you feel weak.	unknown	needs-context		You lost an item to the sea.! | Something broke during the night. | You did not sleep very well.	Help may be on the way...	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level2	MonoBehaviour	7192	SettingDesc	raw_length_prefixed@1131020	(While ON: Press 'F' to Fast-Forward time during the beginning of night events.)	(while on: press 'f' to fast-forward time during the beginning of night events.)	unknown	needs-context				MonoBehaviour length-prefixed string; script=unknown:2177; length=80
v1.1.3	level2	raw_bytes			raw_ascii@200008	AllPickupAbles	allpickupables	unknown	needs-context		mixamorig:LeftHandThumb2 | mixamorig:LeftForeArm | mixamorig:Spine2	mixamorig:LeftShoulder | mixamorig:RightFoot | mixamorig:Head	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level2	raw_bytes			raw_ascii@245432	AllVisualItems	allvisualitems	unknown	needs-context		ducttape (2) N | mixamorig:RightUpLeg | bait (2) N	mixamorig:LeftHandIndex2 | mixamorig:LeftShoulder | mixamorig:RightHandIndex3	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level2	raw_bytes			raw_ascii@327432	Celestial Axis	celestial axis	unknown	needs-context		UniStorm URP System | UniStorm Volumetric Clouds | Clouds Shadows	UniStorm Stars | UniStorm Moon | UniStorm Windzone	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level2	raw_bytes			raw_ascii@207280	clickToSkipText	clicktoskiptext	unknown	needs-context		mixamorig:Spine | ducttape N | mixamorig:LeftForeArm	mixamorig:Spine | mixamorig:RightShoulder | mixamorig:RightHandIndex1	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level2	raw_bytes			raw_ascii@327376	Clouds Shadows	clouds shadows	unknown	needs-context		InputField (TMP) | UniStorm URP System | UniStorm Volumetric Clouds	Celestial Axis | UniStorm Stars | UniStorm Moon	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level2	MonoBehaviour	7712	GameController	raw_length_prefixed@1209484	Dead by the Sea.	dead by the sea.	unknown	needs-context			Your friend is sleeping with the fishes. | You lost an item to the sea. | Something broke during the night.	MonoBehaviour length-prefixed string; script=unknown:1543; length=16
v1.1.3	level2	raw_bytes			raw_ascii@205712	Directional Light	directional light	unknown	needs-context		mixamorig:RightHandThumb1 | mixamorig:RightShoulder | mixamorig:LeftFoot	mixamorig:LeftFoot | mixamorig:LeftHandThumb4 | mixamorig:Spine2	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level2	raw_bytes			raw_ascii@216996	ducttape (1) N	ducttape (1) n	unknown	needs-context		mixamorig:RightUpLeg | mixamorig:RightToeBase | mixamorig:RightHandThumb1	mixamorig:Head | mixamorig:RightLeg | mixamorig:RightHandThumb2	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level2	raw_bytes			raw_ascii@244804	ducttape (2) N	ducttape (2) n	unknown	needs-context		mixamorig:LeftUpLeg | mixamorig:LeftHandIndex3 | mixamorig:LeftHandIndex1	mixamorig:RightUpLeg | bait (2) N | AllVisualItems	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level2	raw_bytes			raw_ascii@281332	ducttape (3) N	ducttape (3) n	unknown	needs-context		mixamorig:RightHandIndex3 | mixamorig:RightShoulder | mixamorig:Neck	mixamorig:RightToeBase | mixamorig:RightHandIndex4 | mixamorig:RightHandThumb3	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level2	raw_bytes			raw_ascii@198564	ducttape (4) N	ducttape (4) n	unknown	needs-context		mixamorig:LeftHandThumb3 | mixamorig:RightLeg | mixamorig:RightToeBase	mixamorig:LeftHandThumb2 | mixamorig:LeftShoulder | mixamorig:LeftToeBase	raw byte fallback candidate; inspect neighbouring Unity object if promoted
