priority	cluster_id	category	source_text	current_translation	recommended_translation	status	source_location	object_context	neighbouring_strings	where_to_fix	risk	notes
2	level3:4764	item	Can of Worms	Банка червей		suspicious-mapping	level3:path_id=4764:raw_length_prefixed@914532	type=MonoBehaviour; name=Task_Fishing; script=Assembly-CSharp:FishingController; gameobject=Task_Fishing; dump=level3/MonoBehaviour/4764__Task_Fishing.json	Worthless junk... | Fishlet | Way too small... || Useful for fishing! | Wet Duct Tape | Seems useable!	translations/source_queue.tsv, then rebuild XUnity dictionary	high: serialized location moved between versions	Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level3:4729:raw_length_prefixed@909172:Task_Fishing; v1.1.3 locations=level3:4764:raw_length_prefixed@914532:Task_Fishing. Use source text plus neighbouring object context, not path_id/list index.
2	level3:4764	item	Clownfish	Рыба-клоун		suspicious-mapping	level3:path_id=4764:raw_length_prefixed@916760	type=MonoBehaviour; name=Task_Fishing; script=Assembly-CSharp:FishingController; gameobject=Task_Fishing; dump=level3/MonoBehaviour/4764__Task_Fishing.json	Still has a card. | Barely working. | Red Snapper || Swordfish	diagnostic only: choose XUnity regex or runtime plugin strategy; do not add exact numeric rows or bare kg	high: dynamic runtime formatting and false replacement risk	Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level3:4729:raw_length_prefixed@911400:Task_Fishing; level3::raw_ascii@911400:; translations/source_queue.tsv:::; patches/xunity_autotranslator/BepInEx/Translation/ru/Text/_AutoGeneratedTranslations.txt:::; v1.1.3 locations=level3:4764:raw_length_prefixed@916760:Task_Fishing; level3::raw_ascii@916760:; translations/source_queue.tsv:::; patches/xunity_autotranslator/BepInEx/Translation/ru/Text/_AutoGeneratedTranslations.txt:::. Use source text plus neighbouring object context, not path_id/list index.
2	level3:4764	item	Details are smudged.	Детали размазаны.		suspicious-mapping	level3:path_id=4764:raw_length_prefixed@915576	type=MonoBehaviour; name=Task_Fishing; script=Assembly-CSharp:FishingController; gameobject=Task_Fishing; dump=level3/MonoBehaviour/4764__Task_Fishing.json	Energy Bar | Looks tasty! | Soaked but readable. || It's somewhat faded. | Still has a card. | Barely working.	translations/source_queue.tsv, then rebuild XUnity dictionary	high: serialized location moved between versions	Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level3:4729:raw_length_prefixed@910216:Task_Fishing; v1.1.3 locations=level3:4764:raw_length_prefixed@915576:Task_Fishing. Use source text plus neighbouring object context, not path_id/list index.
2	level3:4764	item	Fishlet	Рыбешка		suspicious-mapping	level3:path_id=4764:raw_length_prefixed@914400	type=MonoBehaviour; name=Task_Fishing; script=Assembly-CSharp:FishingController; gameobject=Task_Fishing; dump=level3/MonoBehaviour/4764__Task_Fishing.json	Worthless junk... | Plastic Bottle | Worthless junk... || Way too small... | Can of Worms | Useful for fishing!	translations/source_queue.tsv, then rebuild XUnity dictionary	high: serialized location moved between versions	Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level3:4729:raw_length_prefixed@909040:Task_Fishing; level3::raw_ascii@909040:; translations/source_queue.tsv:::; patches/xunity_autotranslator/BepInEx/Translation/ru/Text/_AutoGeneratedTranslations.txt:::; v1.1.3 locations=level3:4764:raw_length_prefixed@914400:Task_Fishing; level3::raw_ascii@914400:; translations/source_queue.tsv:::; patches/xunity_autotranslator/BepInEx/Translation/ru/Text/_AutoGeneratedTranslations.txt:::. Use source text plus neighbouring object context, not path_id/list index.
2	level3:4764	item	It's somewhat faded.	Немного выцвело.		suspicious-mapping	level3:path_id=4764:raw_length_prefixed@915736	type=MonoBehaviour; name=Task_Fishing; script=Assembly-CSharp:FishingController; gameobject=Task_Fishing; dump=level3/MonoBehaviour/4764__Task_Fishing.json	Looks tasty! | Soaked but readable. | Details are smudged. || Still has a card. | Barely working. | Red Snapper	translations/source_queue.tsv, then rebuild XUnity dictionary	high: serialized location moved between versions	Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level3:4729:raw_length_prefixed@910376:Task_Fishing; v1.1.3 locations=level3:4764:raw_length_prefixed@915736:Task_Fishing. Use source text plus neighbouring object context, not path_id/list index.
2	level3:4764	item	Looks reparable!	Похоже, можно починить!		suspicious-mapping	level3:path_id=4764:raw_length_prefixed@914836	type=MonoBehaviour; name=Task_Fishing; script=Assembly-CSharp:FishingController; gameobject=Task_Fishing; dump=level3/MonoBehaviour/4764__Task_Fishing.json	Wet Duct Tape | Seems useable! | Broken Compass || Torn Fishing Net | Looks reparable! | Energy Bar	translations/source_queue.tsv, then rebuild XUnity dictionary	high: serialized location moved between versions	Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level3:4729:raw_length_prefixed@909476:Task_Fishing; level3:4729:raw_length_prefixed@909640:Task_Fishing; v1.1.3 locations=level3:4764:raw_length_prefixed@914836:Task_Fishing; level3:4764:raw_length_prefixed@915000:Task_Fishing. Use source text plus neighbouring object context, not path_id/list index.
2	level3:4764	item	Looks tasty!	Выглядит вкусно!		suspicious-mapping	level3:path_id=4764:raw_length_prefixed@915160	type=MonoBehaviour; name=Task_Fishing; script=Assembly-CSharp:FishingController; gameobject=Task_Fishing; dump=level3/MonoBehaviour/4764__Task_Fishing.json	Torn Fishing Net | Looks reparable! | Energy Bar || Soaked but readable. | Details are smudged. | It's somewhat faded.	translations/source_queue.tsv, then rebuild XUnity dictionary	high: serialized location moved between versions	Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level3:4729:raw_length_prefixed@909800:Task_Fishing; v1.1.3 locations=level3:4764:raw_length_prefixed@915160:Task_Fishing. Use source text plus neighbouring object context, not path_id/list index.
2	level3:4764	item	Plastic Bottle	Бутылка		suspicious-mapping	level3:path_id=4764:raw_length_prefixed@914256	type=MonoBehaviour; name=Task_Fishing; script=Assembly-CSharp:FishingController; gameobject=Task_Fishing; dump=level3/MonoBehaviour/4764__Task_Fishing.json	Worthless junk... | Worthless junk... || Worthless junk... | Fishlet | Way too small...	translations/source_queue.tsv, then rebuild XUnity dictionary	high: serialized location moved between versions	Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level3:4729:raw_length_prefixed@908896:Task_Fishing; v1.1.3 locations=level3:4764:raw_length_prefixed@914256:Task_Fishing. Use source text plus neighbouring object context, not path_id/list index.
2	level3:4764	item	Red Snapper	Луциан		suspicious-mapping	level3:path_id=4764:raw_length_prefixed@916524	type=MonoBehaviour; name=Task_Fishing; script=Assembly-CSharp:FishingController; gameobject=Task_Fishing; dump=level3/MonoBehaviour/4764__Task_Fishing.json	It's somewhat faded. | Still has a card. | Barely working. || Clownfish | Swordfish	diagnostic only: choose XUnity regex or runtime plugin strategy; do not add exact numeric rows or bare kg	high: dynamic runtime formatting and false replacement risk	Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level3:4729:raw_length_prefixed@911164:Task_Fishing; v1.1.3 locations=level3:4764:raw_length_prefixed@916524:Task_Fishing. Use source text plus neighbouring object context, not path_id/list index.
2	level3:4764	item	Seems useable!	Похоже, можно использовать!		suspicious-mapping	level3:path_id=4764:raw_length_prefixed@914700	type=MonoBehaviour; name=Task_Fishing; script=Assembly-CSharp:FishingController; gameobject=Task_Fishing; dump=level3/MonoBehaviour/4764__Task_Fishing.json	Can of Worms | Useful for fishing! | Wet Duct Tape || Broken Compass | Looks reparable! | Torn Fishing Net	translations/source_queue.tsv, then rebuild XUnity dictionary	high: serialized location moved between versions	Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level3:4729:raw_length_prefixed@909340:Task_Fishing; v1.1.3 locations=level3:4764:raw_length_prefixed@914700:Task_Fishing. Use source text plus neighbouring object context, not path_id/list index.
2	level3:4764	item	Soaked but readable.	Промокло, но читается.		suspicious-mapping	level3:path_id=4764:raw_length_prefixed@915412	type=MonoBehaviour; name=Task_Fishing; script=Assembly-CSharp:FishingController; gameobject=Task_Fishing; dump=level3/MonoBehaviour/4764__Task_Fishing.json	Looks reparable! | Energy Bar | Looks tasty! || Details are smudged. | It's somewhat faded. | Still has a card.	translations/source_queue.tsv, then rebuild XUnity dictionary	high: serialized location moved between versions	Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level3:4729:raw_length_prefixed@910052:Task_Fishing; v1.1.3 locations=level3:4764:raw_length_prefixed@915412:Task_Fishing. Use source text plus neighbouring object context, not path_id/list index.
2	level3:4764	item	Still has a card.	Внутри еще есть карточка.		suspicious-mapping	level3:path_id=4764:raw_length_prefixed@915896	type=MonoBehaviour; name=Task_Fishing; script=Assembly-CSharp:FishingController; gameobject=Task_Fishing; dump=level3/MonoBehaviour/4764__Task_Fishing.json	Soaked but readable. | Details are smudged. | It's somewhat faded. || Barely working. | Red Snapper | Clownfish	translations/source_queue.tsv, then rebuild XUnity dictionary	high: serialized location moved between versions	Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level3:4729:raw_length_prefixed@910536:Task_Fishing; v1.1.3 locations=level3:4764:raw_length_prefixed@915896:Task_Fishing. Use source text plus neighbouring object context, not path_id/list index.
2	level3:4764	item	Swordfish	Рыба-меч		suspicious-mapping	level3:path_id=4764:raw_length_prefixed@916880	type=MonoBehaviour; name=Task_Fishing; script=Assembly-CSharp:FishingController; gameobject=Task_Fishing; dump=level3/MonoBehaviour/4764__Task_Fishing.json	Barely working. | Red Snapper | Clownfish	diagnostic only: choose XUnity regex or runtime plugin strategy; do not add exact numeric rows or bare kg	high: dynamic runtime formatting and false replacement risk	Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level3:4729:raw_length_prefixed@911520:Task_Fishing; level3::raw_ascii@911520:; translations/source_queue.tsv:::; patches/xunity_autotranslator/BepInEx/Translation/ru/Text/_AutoGeneratedTranslations.txt:::; v1.1.3 locations=level3:4764:raw_length_prefixed@916880:Task_Fishing; level3::raw_ascii@916880:; translations/source_queue.tsv:::; patches/xunity_autotranslator/BepInEx/Translation/ru/Text/_AutoGeneratedTranslations.txt:::. Use source text plus neighbouring object context, not path_id/list index.
2	level3:4764	item	Torn Fishing Net	Рваная рыболовная сеть		suspicious-mapping	level3:path_id=4764:raw_length_prefixed@914972	type=MonoBehaviour; name=Task_Fishing; script=Assembly-CSharp:FishingController; gameobject=Task_Fishing; dump=level3/MonoBehaviour/4764__Task_Fishing.json	Seems useable! | Broken Compass | Looks reparable! || Looks reparable! | Energy Bar | Looks tasty!	translations/source_queue.tsv, then rebuild XUnity dictionary	high: serialized location moved between versions	Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level3:4729:raw_length_prefixed@909612:Task_Fishing; level3::raw_ascii@909612:; translations/source_queue.tsv:::; translations/ru.tsv:::; patches/xunity_autotranslator/BepInEx/Translation/ru/Text/_AutoGeneratedTranslations.txt:::; v1.1.3 locations=level3:4764:raw_length_prefixed@914972:Task_Fishing; level3::raw_ascii@914972:; translations/source_queue.tsv:::; translations/ru.tsv:::; patches/xunity_autotranslator/BepInEx/Translation/ru/Text/_AutoGeneratedTranslations.txt:::. Use source text plus neighbouring object context, not path_id/list index.
2	level3:4764	item	Useful for fishing!	Для рыбалки.		suspicious-mapping	level3:path_id=4764:raw_length_prefixed@914556	type=MonoBehaviour; name=Task_Fishing; script=Assembly-CSharp:FishingController; gameobject=Task_Fishing; dump=level3/MonoBehaviour/4764__Task_Fishing.json	Fishlet | Way too small... | Can of Worms || Wet Duct Tape | Seems useable! | Broken Compass	translations/source_queue.tsv, then rebuild XUnity dictionary	high: serialized location moved between versions	Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level3:4729:raw_length_prefixed@909196:Task_Fishing; level3::raw_ascii@909196:; translations/source_queue.tsv:::; translations/ru.tsv:::; patches/xunity_autotranslator/BepInEx/Translation/ru/Text/_AutoGeneratedTranslations.txt:::; v1.1.3 locations=level3:4764:raw_length_prefixed@914556:Task_Fishing; level3::raw_ascii@914556:; translations/source_queue.tsv:::; translations/ru.tsv:::; patches/xunity_autotranslator/BepInEx/Translation/ru/Text/_AutoGeneratedTranslations.txt:::. Use source text plus neighbouring object context, not path_id/list index.
2	level3:4764	item	Way too small...	Слишком мелко...		suspicious-mapping	level3:path_id=4764:raw_length_prefixed@914420	type=MonoBehaviour; name=Task_Fishing; script=Assembly-CSharp:FishingController; gameobject=Task_Fishing; dump=level3/MonoBehaviour/4764__Task_Fishing.json	Plastic Bottle | Worthless junk... | Fishlet || Can of Worms | Useful for fishing! | Wet Duct Tape	translations/source_queue.tsv, then rebuild XUnity dictionary	high: serialized location moved between versions	Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level3:4729:raw_length_prefixed@909060:Task_Fishing; v1.1.3 locations=level3:4764:raw_length_prefixed@914420:Task_Fishing. Use source text plus neighbouring object context, not path_id/list index.
2	level3:4764	item	Wet Duct Tape	Мокрый скотч		suspicious-mapping	level3:path_id=4764:raw_length_prefixed@914672	type=MonoBehaviour; name=Task_Fishing; script=Assembly-CSharp:FishingController; gameobject=Task_Fishing; dump=level3/MonoBehaviour/4764__Task_Fishing.json	Way too small... | Can of Worms | Useful for fishing! || Seems useable! | Broken Compass | Looks reparable!	translations/source_queue.tsv, then rebuild XUnity dictionary	high: serialized location moved between versions	Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level3:4729:raw_length_prefixed@909312:Task_Fishing; level3::raw_ascii@909312:; translations/source_queue.tsv:::; patches/xunity_autotranslator/BepInEx/Translation/ru/Text/_AutoGeneratedTranslations.txt:::; v1.1.3 locations=level3:4764:raw_length_prefixed@914672:Task_Fishing; level3::raw_ascii@914672:; translations/source_queue.tsv:::; patches/xunity_autotranslator/BepInEx/Translation/ru/Text/_AutoGeneratedTranslations.txt:::. Use source text plus neighbouring object context, not path_id/list index.
2	level3:4764	item	Worthless junk...	Бесполезный мусор...		suspicious-mapping	level3:path_id=4764:raw_length_prefixed@914016	type=MonoBehaviour; name=Task_Fishing; script=Assembly-CSharp:FishingController; gameobject=Task_Fishing; dump=level3/MonoBehaviour/4764__Task_Fishing.json	Worthless junk... | Plastic Bottle | Worthless junk...	translations/source_queue.tsv, then rebuild XUnity dictionary	high: serialized location moved between versions	Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level3:4729:raw_length_prefixed@908656:Task_Fishing; level3:4729:raw_length_prefixed@908784:Task_Fishing; level3:4729:raw_length_prefixed@908924:Task_Fishing; v1.1.3 locations=level3:4764:raw_length_prefixed@914016:Task_Fishing; level3:4764:raw_length_prefixed@914144:Task_Fishing; level3:4764:raw_length_prefixed@914284:Task_Fishing. Use source text plus neighbouring object context, not path_id/list index.
2	level3:4827	item	Torn Fishnet	Рваная сеть		suspicious-mapping	level3:path_id=4827:raw_length_prefixed@927648	type=MonoBehaviour; name=net (broken); script=Assembly-CSharp:CursorInfoMaker; gameobject=net (broken); dump=level3/MonoBehaviour/4827__net_broken.json		translations/source_queue.tsv, then rebuild XUnity dictionary	high: serialized location moved between versions	Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level3:4792:raw_length_prefixed@922208:net (broken); level3::raw_ascii@922208:; level4:9848:raw_length_prefixed@2094176:net (broken); translations/source_queue.tsv:::; translations/ru.tsv:::; +1 more; v1.1.3 locations=level3:4827:raw_length_prefixed@927648:net (broken); level3::raw_ascii@927648:; level4:10603:raw_length_prefixed@2199744:net (broken); translations/source_queue.tsv:::; translations/ru.tsv:::; +1 more. Use source text plus neighbouring object context, not path_id/list index.
2	level3:4832	notification	Broken Scuba Set	Сломанный акваланг		needs-context	level3:path_id=4832:raw_length_prefixed@928512	type=MonoBehaviour; name=scuba_set (broken); script=Assembly-CSharp:CursorInfoMaker; gameobject=scuba_set (broken); dump=level3/MonoBehaviour/4832__scuba_set_broken.json		translations/source_queue.tsv, then rebuild XUnity dictionary	medium: visible layout/clipping risk	Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level3:4797:raw_length_prefixed@923072:scuba_set (broken); level3::raw_ascii@923072:; level4:9766:raw_length_prefixed@2083104:scuba_set (broken); translations/source_queue.tsv:::; patches/xunity_autotranslator/BepInEx/Translation/ru/Text/_AutoGeneratedTranslations.txt:::; v1.1.3 locations=level3:4832:raw_length_prefixed@928512:scuba_set (broken); level3::raw_ascii@928512:; level4:10518:raw_length_prefixed@2187920:scuba_set (broken); translations/source_queue.tsv:::; patches/xunity_autotranslator/BepInEx/Translation/ru/Text/_AutoGeneratedTranslations.txt:::. Use source text plus neighbouring object context, not path_id/list index.
2	level3:697	item	energyicon (2)			suspicious-mapping	level3:path_id=697:m_Name	type=GameObject; name=energyicon (2); dump=level3/GameObject/697__energyicon_2.json		add/update source-text entry in translations/source_queue.tsv	high: serialized location moved between versions	Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level3:697:m_Name:energyicon (2); level3:810:m_Name:energyicon (2); level3::raw_ascii@168496:; level3::raw_ascii@175632:; v1.1.3 locations=level3:697:m_Name:energyicon (2); level3:810:m_Name:energyicon (2); level3::raw_ascii@169680:; level3::raw_ascii@176816:. Use source text plus neighbouring object context, not path_id/list index.
2	level3:70	item	energyicon (1)			suspicious-mapping	level3:path_id=70:m_Name	type=GameObject; name=energyicon (1); dump=level3/GameObject/70__energyicon_1.json		add/update source-text entry in translations/source_queue.tsv	high: serialized location moved between versions	Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level3:70:m_Name:energyicon (1); level3:536:m_Name:energyicon (1); level3::raw_ascii@127920:; level3::raw_ascii@158064:; v1.1.3 locations=level3:70:m_Name:energyicon (1); level3:536:m_Name:energyicon (1); level3::raw_ascii@129104:; level3::raw_ascii@159248:. Use source text plus neighbouring object context, not path_id/list index.
2	level3:717	notification	hookgun (broken)			needs-context	level3:path_id=717:m_Name	type=GameObject; name=hookgun (broken); dump=level3/GameObject/717__hookgun_broken.json		add/update source-text entry in translations/source_queue.tsv	medium: visible layout/clipping risk	Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level3:717:m_Name:hookgun (broken); level4:2079:m_Name:hookgun (broken); v1.1.3 locations=level3:717:m_Name:hookgun (broken); level4:2350:m_Name:hookgun (broken). Use source text plus neighbouring object context, not path_id/list index.
2	level3:758	item	Energy			suspicious-mapping	level3:path_id=758:m_Name	type=GameObject; name=Energy; dump=level3/GameObject/758__Energy.json		add/update source-text entry in translations/source_queue.tsv	high: serialized location moved between versions	Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level3:758:m_Name:Energy; level3::raw_ascii@172244:; v1.1.3 locations=level3:758:m_Name:Energy; level3::raw_ascii@173428:. Use source text plus neighbouring object context, not path_id/list index.
2	level3:931	notification	compass (broken)			needs-context	level3:path_id=931:m_Name	type=GameObject; name=compass (broken); dump=level3/GameObject/931__compass_broken.json		add/update source-text entry in translations/source_queue.tsv	medium: visible layout/clipping risk	Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level3:931:m_Name:compass (broken); level4:1573:m_Name:compass (broken); v1.1.3 locations=level3:931:m_Name:compass (broken); level4:1783:m_Name:compass (broken). Use source text plus neighbouring object context, not path_id/list index.
2	level3:973	notification	net (broken)			needs-context	level3:path_id=973:m_Name	type=GameObject; name=net (broken); dump=level3/GameObject/973__net_broken.json		add/update source-text entry in translations/source_queue.tsv	medium: visible layout/clipping risk	Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level3:973:m_Name:net (broken); level4:794:m_Name:net (broken); v1.1.3 locations=level3:973:m_Name:net (broken); level4:901:m_Name:net (broken). Use source text plus neighbouring object context, not path_id/list index.
2	level3:984	notification	scuba_set (broken)			needs-context	level3:path_id=984:m_Name	type=GameObject; name=scuba_set (broken); dump=level3/GameObject/984__scuba_set_broken.json		add/update source-text entry in translations/source_queue.tsv	medium: visible layout/clipping risk	Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level3:984:m_Name:scuba_set (broken); level4:469:m_Name:scuba_set (broken); v1.1.3 locations=level3:984:m_Name:scuba_set (broken); level4:534:m_Name:scuba_set (broken). Use source text plus neighbouring object context, not path_id/list index.
2	level3:no_path	unknown	ChestModel			needs-context	level3:raw_ascii@182024	type=raw_bytes	flaregun N | FRIEND | Text (TMP) || ItemSlot1 | FishOnHookCanvas | Energy3	needs context before choosing dictionary/runtime/plugin fix	low/medium: verify in clean v1.1.3	Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level3::raw_ascii@180840:; level3::raw_ascii@196504:; level4::raw_ascii@294840:; level4::raw_ascii@362984:; level4::raw_ascii@372744:; +1 more; v1.1.3 locations=level3::raw_ascii@182024:; level3::raw_ascii@197800:; level4::raw_ascii@318328:; level4::raw_ascii@394440:; level4::raw_ascii@405256:; +1 more. Use source text plus neighbouring object context, not path_id/list index.
2	level3:no_path	notification	compass (broken) N			needs-context	level3:raw_ascii@184920	type=raw_bytes	Energy3 | ItemSlot2 | ItemsHolder || ItemsHolder | Energy3 | Energy1	add/update source-text entry in translations/source_queue.tsv	medium: visible layout/clipping risk	Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level3::raw_ascii@183736:; level4::raw_ascii@356456:; v1.1.3 locations=level3::raw_ascii@184920:; level4::raw_ascii@387080:. Use source text plus neighbouring object context, not path_id/list index.
2	level3:no_path	unknown	ConfirmScubaSet			needs-context	level3:raw_ascii@142860	type=raw_bytes	anchor (broken) | flashlight (broken) | Energy3 || bait (1) N | CloseButton | Text (TMP)	needs context before choosing dictionary/runtime/plugin fix	low/medium: verify in clean v1.1.3	Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level3::raw_ascii@141676:; v1.1.3 locations=level3::raw_ascii@142860:. Use source text plus neighbouring object context, not path_id/list index.
2	level3:no_path	unknown	Energy1			needs-context	level3:raw_ascii@177196	type=raw_bytes	Point Light (2) | energyicon (2) | bait N || Particle System | Foods | JournalButton	needs context before choosing dictionary/runtime/plugin fix	low/medium: verify in clean v1.1.3	Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level3::raw_ascii@176012:; level3::raw_ascii@186236:; level4::raw_ascii@369568:; level4::raw_ascii@374220:; v1.1.3 locations=level3::raw_ascii@177196:; level3::raw_ascii@187420:; level4::raw_ascii@401744:; level4::raw_ascii@406972:. Use source text plus neighbouring object context, not path_id/list index.
2	level3:no_path	unknown	Energy2			needs-context	level3:raw_ascii@125548	type=raw_bytes	U8S | Library/unity default resources | Cats N || bucket (broken) | LootBoxChest | energyicon (1)	needs context before choosing dictionary/runtime/plugin fix	low/medium: verify in clean v1.1.3	Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level3::raw_ascii@124364:; level3::raw_ascii@174316:; level4::raw_ascii@254672:; level4::raw_ascii@404780:; v1.1.3 locations=level3::raw_ascii@125548:; level3::raw_ascii@175500:; level4::raw_ascii@273376:; level4::raw_ascii@441036:. Use source text plus neighbouring object context, not path_id/list index.
2	level3:no_path	unknown	Energy3			needs-context	level3:raw_ascii@142220	type=raw_bytes	Text (TMP) | anchor (broken) | flashlight (broken) || ConfirmScubaSet | bait (1) N | CloseButton	needs context before choosing dictionary/runtime/plugin fix	low/medium: verify in clean v1.1.3	Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level3::raw_ascii@141036:; level3::raw_ascii@152924:; level3::raw_ascii@182604:; level3::raw_ascii@185532:; level4::raw_ascii@317120:; +1 more; v1.1.3 locations=level3::raw_ascii@142220:; level3::raw_ascii@154108:; level3::raw_ascii@183788:; level3::raw_ascii@186716:; level4::raw_ascii@343120:; +1 more. Use source text plus neighbouring object context, not path_id/list index.
2	level3:no_path	unknown	EnergyCostShower			needs-context	level3:raw_ascii@149252	type=raw_bytes	ClickToContinue | ItemText | paperEnd || AlreadyHealthytext | Particle System | Point Light	needs context before choosing dictionary/runtime/plugin fix	low/medium: verify in clean v1.1.3	Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level3::raw_ascii@148068:; level4::raw_ascii@401956:; v1.1.3 locations=level3::raw_ascii@149252:; level4::raw_ascii@437780:. Use source text plus neighbouring object context, not path_id/list index.
2	level3:no_path	unknown	fish N			needs-context	level3:raw_ascii@144588	type=raw_bytes	CloseButton | Text (TMP) | telescope (broken) || ItemText | ItemsHolder | ClickToContinue	needs context before choosing dictionary/runtime/plugin fix	low/medium: verify in clean v1.1.3	Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level3::raw_ascii@143404:; v1.1.3 locations=level3::raw_ascii@144588:. Use source text plus neighbouring object context, not path_id/list index.
2	level3:no_path	unknown	FishedVisuals			needs-context	level3:raw_ascii@188728	type=raw_bytes	Energy1 | net (broken) N | Text (TMP) || friendIcon (2) | Cats (2) N | Cats (1) N	needs context before choosing dictionary/runtime/plugin fix	low/medium: verify in clean v1.1.3	Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level3::raw_ascii@187544:; v1.1.3 locations=level3::raw_ascii@188728:. Use source text plus neighbouring object context, not path_id/list index.
2	level3:no_path	unknown	FishOnHookCanvas			needs-context	level3:raw_ascii@183484	type=raw_bytes	Text (TMP) | ChestModel | ItemSlot1 || Energy3 | ItemSlot2 | ItemsHolder	needs context before choosing dictionary/runtime/plugin fix	low/medium: verify in clean v1.1.3	Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level3::raw_ascii@182300:; v1.1.3 locations=level3::raw_ascii@183484:. Use source text plus neighbouring object context, not path_id/list index.
2	level3:no_path	notification	hookgun (broken) N			needs-context	level3:raw_ascii@170904	type=raw_bytes	Text (TMP) | energyicon (2) | Text (TMP) || Text (TMP) | Text (TMP) | Energy	add/update source-text entry in translations/source_queue.tsv	medium: visible layout/clipping risk	Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level3::raw_ascii@169720:; level4::raw_ascii@389944:; v1.1.3 locations=level3::raw_ascii@170904:; level4::raw_ascii@424024:. Use source text plus neighbouring object context, not path_id/list index.
2	level3:no_path	unknown	ItemAndText			needs-context	level3:raw_ascii@191076	type=raw_bytes	friendIcon (2) | Cats (2) N | Cats (1) N || TalkDialog | friendIcon | Point Light (1)	needs context before choosing dictionary/runtime/plugin fix	low/medium: verify in clean v1.1.3	Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level3::raw_ascii@189892:; v1.1.3 locations=level3::raw_ascii@191076:. Use source text plus neighbouring object context, not path_id/list index.
2	level3:no_path	unknown	ItemsHolder			needs-context	level3:raw_ascii@145260	type=raw_bytes	telescope (broken) | fish N | ItemText || ClickToContinue | ItemText | paperEnd	needs context before choosing dictionary/runtime/plugin fix	low/medium: verify in clean v1.1.3	Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level3::raw_ascii@144076:; level3::raw_ascii@183644:; level3::raw_ascii@184252:; v1.1.3 locations=level3::raw_ascii@145260:; level3::raw_ascii@184828:; level3::raw_ascii@185436:. Use source text plus neighbouring object context, not path_id/list index.
2	level3:no_path	unknown	ItemSlot1			needs-context	level3:raw_ascii@182224	type=raw_bytes	FRIEND | Text (TMP) | ChestModel || FishOnHookCanvas | Energy3 | ItemSlot2	needs context before choosing dictionary/runtime/plugin fix	low/medium: verify in clean v1.1.3	Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level3::raw_ascii@181040:; v1.1.3 locations=level3::raw_ascii@182224:. Use source text plus neighbouring object context, not path_id/list index.
2	level3:no_path	unknown	ItemSlot2			needs-context	level3:raw_ascii@183936	type=raw_bytes	ItemSlot1 | FishOnHookCanvas | Energy3 || ItemsHolder | compass (broken) N | ItemsHolder	needs context before choosing dictionary/runtime/plugin fix	low/medium: verify in clean v1.1.3	Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level3::raw_ascii@182752:; v1.1.3 locations=level3::raw_ascii@183936:. Use source text plus neighbouring object context, not path_id/list index.
