observed_string	cluster	action	source_location	final_russian	screenshot_context_notes	needs_runtime_log_verification
Trash	fishing_junk_result	added	queue:manual_runtime; kind=manual_runtime; context=observed QA screenshot exact runtime string; cluster=fishing_junk_result	Мусор	short fishing/junk label	no
Starving	friend_status_card	nearby_candidate_not_added	level3:byte 895328; object_path_id=4644; gameobject=FriendManageUI; kind=mono_string_candidate | level3:byte 895340; object_path_id=4644; gameobject=FriendManageUI; kind=mono_string_candidate		nearby same-cluster string; review only, not automatically changed	no
Hungry	friend_status_card	nearby_already_covered	level3:byte 831644; object_path_id=4349; gameobject=Text (TMP); kind=tmp_m_text | level3:byte 895352; object_path_id=4644; gameobject=FriendManageUI; kind=mono_string_candidate | level3:byte 895364; object_path_id=4644; gameobject=FriendManageUI; kind=mono_string_candidate | neighborhood:level3; object_path_id=4349; offset=831644; reason=nearby_byte_offset;same_gameobject_name;same_kind_nearby_offset		nearby same-cluster string; review only, not automatically changed	no
Full	friend_status_card	nearby_candidate_not_added	level3:byte 895388; object_path_id=4644; gameobject=FriendManageUI; kind=mono_string_candidate		nearby same-cluster string; review only, not automatically changed	no
Dying	friend_status_card	nearby_candidate_not_added	level3:byte 895400; object_path_id=4644; gameobject=FriendManageUI; kind=mono_string_candidate | level3:byte 895412; object_path_id=4644; gameobject=FriendManageUI; kind=mono_string_candidate		nearby same-cluster string; review only, not automatically changed	no
Sick	friend_status_card	nearby_already_covered	level3:byte 811852; object_path_id=4312; gameobject=Text (TMP); kind=tmp_m_text | level3:byte 895424; object_path_id=4644; gameobject=FriendManageUI; kind=mono_string_candidate | level3:byte 895432; object_path_id=4644; gameobject=FriendManageUI; kind=mono_string_candidate | neighborhood:level3; object_path_id=4312; offset=811852; reason=same_gameobject_name		nearby same-cluster string; review only, not automatically changed	no
Healthy	friend_status_card	nearby_candidate_not_added	level3:byte 895452; object_path_id=4644; gameobject=FriendManageUI; kind=mono_string_candidate		nearby same-cluster string; review only, not automatically changed	no
Miserable	friend_status_card	nearby_candidate_not_added	level3:byte 895468; object_path_id=4644; gameobject=FriendManageUI; kind=mono_string_candidate | level3:byte 895484; object_path_id=4644; gameobject=FriendManageUI; kind=mono_string_candidate		nearby same-cluster string; review only, not automatically changed	no
Depressed	friend_status_card	nearby_candidate_not_added	level3:byte 895500; object_path_id=4644; gameobject=FriendManageUI; kind=mono_string_candidate		nearby same-cluster string; review only, not automatically changed	no
Lonely	friend_status_card	nearby_already_covered	level3:byte 809196; object_path_id=4307; gameobject=Text (TMP); kind=tmp_m_text | level3:byte 895516; object_path_id=4644; gameobject=FriendManageUI; kind=mono_string_candidate | neighborhood:level3; object_path_id=4307; offset=809196; reason=same_gameobject_name | neighborhood:level3; object_path_id=4307; offset=809196; reason=nearby_byte_offset;same_kind_nearby_offset		nearby same-cluster string; review only, not automatically changed	no
Bored	friend_status_card	nearby_candidate_not_added	level3:byte 895528; object_path_id=4644; gameobject=FriendManageUI; kind=mono_string_candidate		nearby same-cluster string; review only, not automatically changed	no
Happy	friend_status_card	nearby_already_covered	level3:byte 895540; object_path_id=4644; gameobject=FriendManageUI; kind=mono_string_candidate | neighborhood:level3; object_path_id=4644; offset=byte 895540; reason=same_field_path_prefix | neighborhood:level3; object_path_id=4644; offset=byte 895540 (utf-8); reason=same_field_path_prefix | neighborhood:level4; object_path_id=196; offset=byte 266207 (utf-8); reason=same_field_path_prefix		nearby same-cluster string; review only, not automatically changed	no
FriendHud, Assembly-CSharp	friend_status_card	nearby_in_queue_only	level3:byte 901880; object_path_id=4688; gameobject=Button_Eat; kind=mono_string_candidate | level3:byte 921208; object_path_id=4783; gameobject=Button_Heal; kind=mono_string_candidate | neighborhood:level3; object_path_id=4688; offset=901880; reason=nearby_byte_offset;same_kind_nearby_offset		nearby same-cluster string; review only, not automatically changed	no
SleepingUnwell	friend_status_card	nearby_candidate_not_added	sharedassets1.assets:byte 7320960; object_path_id=505; gameobject=; kind=mono_string_candidate		nearby same-cluster string; review only, not automatically changed	no
Heal?	friend_action_prompts	nearby_already_covered	level3:byte 802252; object_path_id=4294; gameobject=text_use; kind=tmp_m_text		nearby same-cluster string; review only, not automatically changed	no
Boost eating?	friend_action_prompts	nearby_already_covered	level3:byte 806540; object_path_id=4302; gameobject=text_use; kind=tmp_m_text | neighborhood:level3; object_path_id=4302; offset=806540; reason=nearby_byte_offset;same_kind_nearby_offset		nearby same-cluster string; review only, not automatically changed	no
Talk?	friend_action_prompts	nearby_already_covered	level3:byte 816172; object_path_id=4320; gameobject=text_use; kind=tmp_m_text | neighborhood:level3; object_path_id=4320; offset=byte 816172; reason=same_field_path_prefix | neighborhood:level3; object_path_id=4320; offset=816172; reason=nearby_byte_offset;same_kind_nearby_offset		nearby same-cluster string; review only, not automatically changed	no
Feed?	friend_action_prompts	nearby_already_covered	level3:byte 836156; object_path_id=4357; gameobject=text_use; kind=tmp_m_text | neighborhood:level3; object_path_id=4357; offset=836156; reason=nearby_byte_offset;same_kind_nearby_offset		nearby same-cluster string; review only, not automatically changed	no
Starving	friend_action_prompts	nearby_candidate_not_added	level3:byte 895328; object_path_id=4644; gameobject=FriendManageUI; kind=mono_string_candidate | level3:byte 895340; object_path_id=4644; gameobject=FriendManageUI; kind=mono_string_candidate		nearby same-cluster string; review only, not automatically changed	no
Hungry	friend_action_prompts	nearby_already_covered	level3:byte 831644; object_path_id=4349; gameobject=Text (TMP); kind=tmp_m_text | level3:byte 895352; object_path_id=4644; gameobject=FriendManageUI; kind=mono_string_candidate | level3:byte 895364; object_path_id=4644; gameobject=FriendManageUI; kind=mono_string_candidate | neighborhood:level3; object_path_id=4349; offset=831644; reason=nearby_byte_offset;same_gameobject_name;same_kind_nearby_offset		nearby same-cluster string; review only, not automatically changed	no
Full	friend_action_prompts	nearby_candidate_not_added	level3:byte 895388; object_path_id=4644; gameobject=FriendManageUI; kind=mono_string_candidate		nearby same-cluster string; review only, not automatically changed	no
Dying	friend_action_prompts	nearby_candidate_not_added	level3:byte 895400; object_path_id=4644; gameobject=FriendManageUI; kind=mono_string_candidate | level3:byte 895412; object_path_id=4644; gameobject=FriendManageUI; kind=mono_string_candidate		nearby same-cluster string; review only, not automatically changed	no
Sick	friend_action_prompts	nearby_already_covered	level3:byte 811852; object_path_id=4312; gameobject=Text (TMP); kind=tmp_m_text | level3:byte 895424; object_path_id=4644; gameobject=FriendManageUI; kind=mono_string_candidate | level3:byte 895432; object_path_id=4644; gameobject=FriendManageUI; kind=mono_string_candidate | neighborhood:level3; object_path_id=4312; offset=811852; reason=same_gameobject_name		nearby same-cluster string; review only, not automatically changed	no
Healthy	friend_action_prompts	nearby_candidate_not_added	level3:byte 895452; object_path_id=4644; gameobject=FriendManageUI; kind=mono_string_candidate		nearby same-cluster string; review only, not automatically changed	no
Miserable	friend_action_prompts	nearby_candidate_not_added	level3:byte 895468; object_path_id=4644; gameobject=FriendManageUI; kind=mono_string_candidate | level3:byte 895484; object_path_id=4644; gameobject=FriendManageUI; kind=mono_string_candidate		nearby same-cluster string; review only, not automatically changed	no
Depressed	friend_action_prompts	nearby_candidate_not_added	level3:byte 895500; object_path_id=4644; gameobject=FriendManageUI; kind=mono_string_candidate		nearby same-cluster string; review only, not automatically changed	no
Lonely	friend_action_prompts	nearby_already_covered	level3:byte 809196; object_path_id=4307; gameobject=Text (TMP); kind=tmp_m_text | level3:byte 895516; object_path_id=4644; gameobject=FriendManageUI; kind=mono_string_candidate | neighborhood:level3; object_path_id=4307; offset=809196; reason=same_gameobject_name | neighborhood:level3; object_path_id=4307; offset=809196; reason=nearby_byte_offset;same_kind_nearby_offset		nearby same-cluster string; review only, not automatically changed	no
Bored	friend_action_prompts	nearby_candidate_not_added	level3:byte 895528; object_path_id=4644; gameobject=FriendManageUI; kind=mono_string_candidate		nearby same-cluster string; review only, not automatically changed	no
Happy	friend_action_prompts	nearby_already_covered	level3:byte 895540; object_path_id=4644; gameobject=FriendManageUI; kind=mono_string_candidate | neighborhood:level3; object_path_id=4644; offset=byte 895540; reason=same_field_path_prefix | neighborhood:level3; object_path_id=4644; offset=byte 895540 (utf-8); reason=same_field_path_prefix | neighborhood:level4; object_path_id=196; offset=byte 266207 (utf-8); reason=same_field_path_prefix		nearby same-cluster string; review only, not automatically changed	no
I am fully rested!	top_hud_status	nearby_already_covered	level3:byte 802780; object_path_id=4295; gameobject=mood_info; kind=tmp_m_text		nearby same-cluster string; review only, not automatically changed	no
Frederik does not feel well...	top_hud_status	nearby_already_covered	level3:byte 805996; object_path_id=4301; gameobject=friendtootired_txt; kind=tmp_m_text | neighborhood:level3; object_path_id=4301; offset=805996; reason=nearby_byte_offset;same_kind_nearby_offset		nearby same-cluster string; review only, not automatically changed	no
Already healthy!	top_hud_status	nearby_already_covered	level3:byte 815644; object_path_id=4319; gameobject=AlreadyHealthytext; kind=tmp_m_text | neighborhood:level3; object_path_id=4319; offset=815644; reason=nearby_byte_offset;same_kind_nearby_offset		nearby same-cluster string; review only, not automatically changed	no
I feel healthy!	top_hud_status	nearby_already_covered	level3:byte 834572; object_path_id=4354; gameobject=mood_info; kind=tmp_m_text | neighborhood:level3; object_path_id=4354; offset=byte 834572; reason=same_field_path_prefix | neighborhood:level3; object_path_id=4354; offset=834572; reason=nearby_byte_offset;same_kind_nearby_offset		nearby same-cluster string; review only, not automatically changed	no
Healthy	top_hud_status	nearby_candidate_not_added	level3:byte 895452; object_path_id=4644; gameobject=FriendManageUI; kind=mono_string_candidate		nearby same-cluster string; review only, not automatically changed	no
Get the Crate!	floating_crate_event	nearby_already_covered	level3:byte 803324; object_path_id=4296; gameobject=myself_txt; kind=tmp_m_text		nearby same-cluster string; review only, not automatically changed	no
Drifting Crate	floating_crate_event	nearby_already_covered	level3:byte 906512; object_path_id=4723; gameobject=crateToClick_2; kind=mono_string_candidate | level3:byte 968944; object_path_id=4975; gameobject=crateToClick; kind=mono_string_candidate | neighborhood:level3; object_path_id=4723; offset=906512; reason=nearby_byte_offset;same_kind_nearby_offset		nearby same-cluster string; review only, not automatically changed	no
Fishlet	floating_crate_event	nearby_already_covered	level3:byte 909040; object_path_id=4729; gameobject=Task_Fishing; kind=mono_string_candidate | neighborhood:level3; object_path_id=4729; offset=909040; reason=nearby_byte_offset;same_kind_nearby_offset		nearby same-cluster string; review only, not automatically changed	no
Harpoon Gun	fishing_result	nearby_already_covered	level2:byte 1151684; object_path_id=7379; gameobject=hookgun; kind=mono_string_candidate | level2:byte 1154132; object_path_id=7411; gameobject=hookgun (1); kind=mono_string_candidate | level2:byte 1162388; object_path_id=7512; gameobject=hookgun (2); kind=mono_string_candidate | level3:byte 922368; object_path_id=4794; gameobject=hookgun; kind=mono_string_candidate		nearby same-cluster string; review only, not automatically changed	no
<b>Weight:</b> 0.5kg	fishing_result	nearby_already_covered	level3:byte 810780; object_path_id=4310; gameobject=bottom; kind=tmp_m_text | neighborhood:level3; object_path_id=; offset=; reason=same_source_queue_kind:tmp_m_text | neighborhood:level3; object_path_id=4310; offset=810780; reason=seed_match		nearby same-cluster string; review only, not automatically changed	yes
<b>Red Snapper</b> <i>(+1 Food!)</i>	fishing_result	nearby_already_covered	level3:byte 824732; object_path_id=4336; gameobject=top; kind=tmp_m_text | neighborhood:level3; object_path_id=4336; offset=824732; reason=nearby_byte_offset;same_kind_nearby_offset		nearby same-cluster string; review only, not automatically changed	no
Broken Harpoon Gun	fishing_result	nearby_already_covered	level3:byte 900208; object_path_id=4674; gameobject=hookgun (broken); kind=mono_string_candidate | level4:byte 2137216; object_path_id=10183; gameobject=hookgun (broken); kind=mono_string_candidate | neighborhood:level3; object_path_id=4674; offset=900208; reason=nearby_byte_offset;same_kind_nearby_offset		nearby same-cluster string; review only, not automatically changed	no
Cod	fishing_result	nearby_already_covered	level3:byte 907972; object_path_id=4729; gameobject=Task_Fishing; kind=mono_string_candidate | neighborhood:level3; object_path_id=4729; offset=907972; reason=nearby_byte_offset;same_kind_nearby_offset		nearby same-cluster string; review only, not automatically changed	no
Flounder	fishing_result	nearby_already_covered	level3:byte 908084; object_path_id=4729; gameobject=Task_Fishing; kind=mono_string_candidate | neighborhood:level3; object_path_id=4729; offset=908084; reason=nearby_byte_offset;same_kind_nearby_offset		nearby same-cluster string; review only, not automatically changed	no
Salmon	fishing_result	nearby_already_covered	level3:byte 908196; object_path_id=4729; gameobject=Task_Fishing; kind=mono_string_candidate | neighborhood:level3; object_path_id=4729; offset=908196; reason=nearby_byte_offset;same_kind_nearby_offset		nearby same-cluster string; review only, not automatically changed	no
Tuna	fishing_result	nearby_already_covered	level3:byte 908308; object_path_id=4729; gameobject=Task_Fishing; kind=mono_string_candidate | neighborhood:level3; object_path_id=4729; offset=908308; reason=nearby_byte_offset;same_kind_nearby_offset		nearby same-cluster string; review only, not automatically changed	no
Crab	fishing_result	nearby_already_covered	level3:byte 908416; object_path_id=4729; gameobject=Task_Fishing; kind=mono_string_candidate | neighborhood:level3; object_path_id=4729; offset=908416; reason=nearby_byte_offset;same_kind_nearby_offset		nearby same-cluster string; review only, not automatically changed	no
Squid	fishing_result	nearby_already_covered	level3:byte 908524; object_path_id=4729; gameobject=Task_Fishing; kind=mono_string_candidate | neighborhood:level3; object_path_id=4729; offset=908524; reason=nearby_byte_offset;same_kind_nearby_offset		nearby same-cluster string; review only, not automatically changed	no
Seaweed	fishing_result	nearby_already_covered	level3:byte 908636; object_path_id=4729; gameobject=Task_Fishing; kind=mono_string_candidate | neighborhood:level3; object_path_id=4729; offset=908636; reason=nearby_byte_offset;same_kind_nearby_offset		nearby same-cluster string; review only, not automatically changed	no
Worthless junk...	fishing_result	nearby_already_covered	level3:byte 908656; object_path_id=4729; gameobject=Task_Fishing; kind=mono_string_candidate | level3:byte 908784; object_path_id=4729; gameobject=Task_Fishing; kind=mono_string_candidate | level3:byte 908924; object_path_id=4729; gameobject=Task_Fishing; kind=mono_string_candidate | neighborhood:level3; object_path_id=4729; offset=908656; reason=nearby_byte_offset;same_kind_nearby_offset		nearby same-cluster string; review only, not automatically changed	no
Boot	fishing_result	nearby_already_covered	level3:byte 908768; object_path_id=4729; gameobject=Task_Fishing; kind=mono_string_candidate | neighborhood:level3; object_path_id=4729; offset=908768; reason=nearby_byte_offset;same_kind_nearby_offset		nearby same-cluster string; review only, not automatically changed	no
Fishlet	fishing_result	nearby_already_covered	level3:byte 909040; object_path_id=4729; gameobject=Task_Fishing; kind=mono_string_candidate | neighborhood:level3; object_path_id=4729; offset=909040; reason=nearby_byte_offset;same_kind_nearby_offset		nearby same-cluster string; review only, not automatically changed	no
Way too small...	fishing_result	nearby_already_covered	level3:byte 909060; object_path_id=4729; gameobject=Task_Fishing; kind=mono_string_candidate | neighborhood:level3; object_path_id=4729; offset=909060; reason=nearby_byte_offset;same_kind_nearby_offset		nearby same-cluster string; review only, not automatically changed	no
Can of Worms	fishing_result	nearby_already_covered	level3:byte 909172; object_path_id=4729; gameobject=Task_Fishing; kind=mono_string_candidate | neighborhood:level3; object_path_id=4729; offset=909172; reason=nearby_byte_offset;same_kind_nearby_offset		nearby same-cluster string; review only, not automatically changed	no
Useful for fishing!	fishing_result	nearby_already_covered	level3:byte 909196; object_path_id=4729; gameobject=Task_Fishing; kind=mono_string_candidate | neighborhood:level3; object_path_id=4729; offset=909196; reason=nearby_byte_offset;same_kind_nearby_offset		nearby same-cluster string; review only, not automatically changed	no
Wet Duct Tape	fishing_result	nearby_already_covered	level3:byte 909312; object_path_id=4729; gameobject=Task_Fishing; kind=mono_string_candidate | neighborhood:level3; object_path_id=4729; offset=909312; reason=nearby_byte_offset;same_kind_nearby_offset		nearby same-cluster string; review only, not automatically changed	no
Seems useable!	fishing_result	nearby_already_covered	level3:byte 909340; object_path_id=4729; gameobject=Task_Fishing; kind=mono_string_candidate | neighborhood:level3; object_path_id=4729; offset=909340; reason=nearby_byte_offset;same_kind_nearby_offset		nearby same-cluster string; review only, not automatically changed	no
Broken Compass	fishing_result	nearby_already_covered	level3:byte 909448; object_path_id=4729; gameobject=Task_Fishing; kind=mono_string_candidate | level3:byte 918976; object_path_id=4771; gameobject=compass (broken); kind=mono_string_candidate | level4:byte 2118832; object_path_id=10051; gameobject=compass (broken); kind=mono_string_candidate | neighborhood:level3; object_path_id=4729; offset=909448; reason=nearby_byte_offset;same_kind_nearby_offset		nearby same-cluster string; review only, not automatically changed	no
Looks reparable!	fishing_result	nearby_already_covered	level3:byte 909476; object_path_id=4729; gameobject=Task_Fishing; kind=mono_string_candidate | level3:byte 909640; object_path_id=4729; gameobject=Task_Fishing; kind=mono_string_candidate | neighborhood:level3; object_path_id=4729; offset=909476; reason=nearby_byte_offset;same_kind_nearby_offset | neighborhood:level3; object_path_id=4729; offset=909640; reason=nearby_byte_offset;same_kind_nearby_offset		nearby same-cluster string; review only, not automatically changed	no
Torn Fishing Net	fishing_result	nearby_already_covered	level3:byte 909612; object_path_id=4729; gameobject=Task_Fishing; kind=mono_string_candidate | neighborhood:level3; object_path_id=4729; offset=909612; reason=nearby_byte_offset;same_kind_nearby_offset		nearby same-cluster string; review only, not automatically changed	no
Energy Bar	fishing_result	nearby_already_covered	level3:byte 881952; object_path_id=4530; gameobject=energy_bar; kind=mono_string_candidate | level3:byte 909776; object_path_id=4729; gameobject=Task_Fishing; kind=mono_string_candidate | level4:byte 2114448; object_path_id=10015; gameobject=energy_bar; kind=mono_string_candidate | neighborhood:level3; object_path_id=4530; offset=881952; reason=nearby_byte_offset;same_kind_nearby_offset		nearby same-cluster string; review only, not automatically changed	no
Looks tasty!	fishing_result	nearby_already_covered	level3:byte 909800; object_path_id=4729; gameobject=Task_Fishing; kind=mono_string_candidate | neighborhood:level3; object_path_id=4729; offset=909800; reason=nearby_byte_offset;same_kind_nearby_offset		nearby same-cluster string; review only, not automatically changed	no
A note...?	fishing_result	nearby_already_covered	level3:byte 910028; object_path_id=4729; gameobject=Task_Fishing; kind=mono_string_candidate | neighborhood:level3; object_path_id=4729; offset=910028; reason=nearby_byte_offset;same_kind_nearby_offset		nearby same-cluster string; review only, not automatically changed	no
Soaked but readable.	fishing_result	nearby_already_covered	level3:byte 910052; object_path_id=4729; gameobject=Task_Fishing; kind=mono_string_candidate | neighborhood:level3; object_path_id=4729; offset=910052; reason=nearby_byte_offset;same_kind_nearby_offset		nearby same-cluster string; review only, not automatically changed	no
Newspaper...?	fishing_result	nearby_already_covered	level3:byte 910188; object_path_id=4729; gameobject=Task_Fishing; kind=mono_string_candidate | neighborhood:level3; object_path_id=4729; offset=910188; reason=nearby_byte_offset;same_kind_nearby_offset		nearby same-cluster string; review only, not automatically changed	no
Details are smudged.	fishing_result	nearby_already_covered	level3:byte 910216; object_path_id=4729; gameobject=Task_Fishing; kind=mono_string_candidate | neighborhood:level3; object_path_id=4729; offset=910216; reason=nearby_byte_offset;same_kind_nearby_offset		nearby same-cluster string; review only, not automatically changed	no
A photo...?	fishing_result	nearby_already_covered	level3:byte 910352; object_path_id=4729; gameobject=Task_Fishing; kind=mono_string_candidate | neighborhood:level3; object_path_id=4729; offset=910352; reason=nearby_byte_offset;same_kind_nearby_offset		nearby same-cluster string; review only, not automatically changed	no
It's somewhat faded.	fishing_result	nearby_already_covered	level3:byte 910376; object_path_id=4729; gameobject=Task_Fishing; kind=mono_string_candidate | neighborhood:level3; object_path_id=4729; offset=910376; reason=nearby_byte_offset;same_kind_nearby_offset		nearby same-cluster string; review only, not automatically changed	no
A wallet...?	fishing_result	nearby_already_covered	level3:byte 910512; object_path_id=4729; gameobject=Task_Fishing; kind=mono_string_candidate | neighborhood:level3; object_path_id=4729; offset=910512; reason=nearby_byte_offset;same_kind_nearby_offset		nearby same-cluster string; review only, not automatically changed	no
Still has a card.	fishing_result	nearby_already_covered	level3:byte 910536; object_path_id=4729; gameobject=Task_Fishing; kind=mono_string_candidate | neighborhood:level3; object_path_id=4729; offset=910536; reason=nearby_byte_offset;same_kind_nearby_offset		nearby same-cluster string; review only, not automatically changed	no
A tape record...?	fishing_result	nearby_already_covered	level3:byte 910668; object_path_id=4729; gameobject=Task_Fishing; kind=mono_string_candidate | neighborhood:level3; object_path_id=4729; offset=910668; reason=nearby_byte_offset;same_kind_nearby_offset		nearby same-cluster string; review only, not automatically changed	no
Barely working.	fishing_result	nearby_already_covered	level3:byte 910700; object_path_id=4729; gameobject=Task_Fishing; kind=mono_string_candidate | neighborhood:level3; object_path_id=4729; offset=910700; reason=nearby_byte_offset;same_kind_nearby_offset		nearby same-cluster string; review only, not automatically changed	no
Sardine	fishing_result	nearby_already_covered	level3:byte 910828; object_path_id=4729; gameobject=Task_Fishing; kind=mono_string_candidate | neighborhood:level3; object_path_id=4729; offset=910828; reason=nearby_byte_offset;same_kind_nearby_offset		nearby same-cluster string; review only, not automatically changed	no
Bass	fishing_result	nearby_already_covered	level3:byte 910940; object_path_id=4729; gameobject=Task_Fishing; kind=mono_string_candidate | neighborhood:level3; object_path_id=4729; offset=910940; reason=nearby_byte_offset;same_kind_nearby_offset		nearby same-cluster string; review only, not automatically changed	no
Herring	fishing_result	nearby_already_covered	level3:byte 911048; object_path_id=4729; gameobject=Task_Fishing; kind=mono_string_candidate | neighborhood:level3; object_path_id=4729; offset=911048; reason=nearby_byte_offset;same_kind_nearby_offset		nearby same-cluster string; review only, not automatically changed	no
Red Snapper	fishing_result	nearby_already_covered	level3:byte 911164; object_path_id=4729; gameobject=Task_Fishing; kind=mono_string_candidate | neighborhood:level3; object_path_id=4729; offset=911164; reason=nearby_byte_offset;same_kind_nearby_offset | visual_cleanup_candidates:nearby_byte_offset;same_kind_nearby_offset		nearby same-cluster string; review only, not automatically changed	no
Mackerel	fishing_result	nearby_already_covered	level3:byte 911284; object_path_id=4729; gameobject=Task_Fishing; kind=mono_string_candidate | neighborhood:level3; object_path_id=4729; offset=911284; reason=nearby_byte_offset;same_kind_nearby_offset		nearby same-cluster string; review only, not automatically changed	no
Clownfish	fishing_result	nearby_already_covered	level3:byte 911400; object_path_id=4729; gameobject=Task_Fishing; kind=mono_string_candidate | neighborhood:level3; object_path_id=4729; offset=911400; reason=nearby_byte_offset;same_kind_nearby_offset		nearby same-cluster string; review only, not automatically changed	no
Swordfish	fishing_result	nearby_already_covered	level3:byte 911520; object_path_id=4729; gameobject=Task_Fishing; kind=mono_string_candidate | neighborhood:level3; object_path_id=4729; offset=911520; reason=nearby_byte_offset;same_kind_nearby_offset		nearby same-cluster string; review only, not automatically changed	no
