source	file	byte_offset	length	object_path_id	script	gameobject_path_id	gameobject_name	kind
#2	level1	190492	2	1522	Unity.TextMeshPro:TMPro.TextMeshProUGUI	202	page_num_txt	tmp_m_text
"+Slower Hunger
+Health Regenerates"	level1	191020	34	1523	Unity.TextMeshPro:TMPro.TextMeshProUGUI	209	description	tmp_m_text
I understand!	level1	191580	13	1524	Unity.TextMeshPro:TMPro.TextMeshProUGUI	214	txt	tmp_m_text
Next	level1	192108	4	1525	Unity.TextMeshPro:TMPro.TextMeshProUGUI	215	txt	tmp_m_text
True Ending	level1	192636	11	1526	Unity.TextMeshPro:TMPro.TextMeshProUGUI	216	Title	tmp_m_text
Taken aboard.	level1	193164	13	1527	Unity.TextMeshPro:TMPro.TextMeshProUGUI	217	Desc	tmp_m_text
Extra Difficulties	level1	193692	18	1528	Unity.TextMeshPro:TMPro.TextMeshProUGUI	221	title_cons	tmp_m_text
Don't Sleep With the Fishes	level1	194236	27	1529	Unity.TextMeshPro:TMPro.TextMeshProUGUI	227	main_title	tmp_m_text
Select?	level1	194780	7	1530	Unity.TextMeshPro:TMPro.TextMeshProUGUI	230	Selected_Text	tmp_m_text
By your own means.	level1	195308	18	1531	Unity.TextMeshPro:TMPro.TextMeshProUGUI	233	Desc	tmp_m_text
Step 2: Survive!	level1	195852	16	1532	Unity.TextMeshPro:TMPro.TextMeshProUGUI	241	page_Title	tmp_m_text
#3	level1	196380	2	1533	Unity.TextMeshPro:TMPro.TextMeshProUGUI	242	page_num_txt	tmp_m_text
"CONTROLS:
Look: Mouse | Move: 'W', 'A', 'S', 'D' | Grab/Throw: 'E'"	level1	196908	66	1534	Unity.TextMeshPro:TMPro.TextMeshProUGUI	244	howtoplay_extra	tmp_m_text
Settings	level1	197500	8	1535	Unity.TextMeshPro:TMPro.TextMeshProUGUI	254	txt	tmp_m_text
Lore	level1	198540	4	1537	Unity.TextMeshPro:TMPro.TextMeshProUGUI	258	Text (TMP)	tmp_m_text
Close	level1	199068	5	1538	Unity.TextMeshPro:TMPro.TextMeshProUGUI	261	Text (TMP)	tmp_m_text
Calm	level1	199596	4	1539	Unity.TextMeshPro:TMPro.TextMeshProUGUI	263	txt	tmp_m_text
Badges	level1	200124	6	1540	Unity.TextMeshPro:TMPro.TextMeshProUGUI	266	Text (TMP)	tmp_m_text
Previous	level1	200652	8	1541	Unity.TextMeshPro:TMPro.TextMeshProUGUI	270	txt	tmp_m_text
You died of starvation.	level1	201180	23	1542	Unity.TextMeshPro:TMPro.TextMeshProUGUI	272	Desc	tmp_m_text
Survived	level1	201724	8	1543	Unity.TextMeshPro:TMPro.TextMeshProUGUI	275	Title	tmp_m_text
No Hunger	level1	202252	9	1544	Unity.TextMeshPro:TMPro.TextMeshProUGUI	279	subtitle	tmp_m_text
Alternative to 'E': Left-Click or Right-Shift	level1	202780	45	1545	Unity.TextMeshPro:TMPro.TextMeshProUGUI	286	howtoplay_alte	tmp_m_text
You’re the <color=yellow>captain</color> of a ship on a covert delivery mission with a small crew. Without warning, something strikes the vessel, causing severe damage. You wait for the emergency horns. When they sound, you know you need to evacuate immediately.	level1	203340	264	1546	Unity.TextMeshPro:TMPro.TextMeshProUGUI	287	howtoplay_txt	tmp_m_text
#1	level1	204124	2	1547	Unity.TextMeshPro:TMPro.TextMeshProUGUI	289	page_num_txt	tmp_m_text
Sleeping With The Fishes	level1	204652	24	1548	Unity.TextMeshPro:TMPro.TextMeshProUGUI	293	Title	tmp_m_text
Previous	level1	205196	8	1549	Unity.TextMeshPro:TMPro.TextMeshProUGUI	295	txt	tmp_m_text
Select?	level1	205724	7	1550	Unity.TextMeshPro:TMPro.TextMeshProUGUI	304	Selected_Text	tmp_m_text
"Runs: 4
Record: 13 Days"	level1	206252	23	1551	Unity.TextMeshPro:TMPro.TextMeshProUGUI	305	runs_text	tmp_m_text
Survived	level1	206796	8	1552	Unity.TextMeshPro:TMPro.TextMeshProUGUI	308	Title	tmp_m_text
Eat for Energy	level1	207324	14	1553	Unity.TextMeshPro:TMPro.TextMeshProUGUI	310	subtitle	tmp_m_text
You sank with Dorothy.	level1	207852	22	1554	Unity.TextMeshPro:TMPro.TextMeshProUGUI	311	Desc	tmp_m_text
Previous	level1	208396	8	1555	Unity.TextMeshPro:TMPro.TextMeshProUGUI	312	Text (TMP)	tmp_m_text
How to Play?	level1	208924	12	1556	Unity.TextMeshPro:TMPro.TextMeshProUGUI	313	title_howtplay	tmp_m_text
Quit	level1	209452	4	1557	Unity.TextMeshPro:TMPro.TextMeshProUGUI	315	txt	tmp_m_text
Next	level1	209980	4	1558	Unity.TextMeshPro:TMPro.TextMeshProUGUI	317	txt	tmp_m_text
Sleeping With The Fishes	level1	210508	24	1559	Unity.TextMeshPro:TMPro.TextMeshProUGUI	319	Title	tmp_m_text
Next	level1	211052	4	1560	Unity.TextMeshPro:TMPro.TextMeshProUGUI	324	txt	tmp_m_text
Claimed by the sea.	level1	211580	19	1561	Unity.TextMeshPro:TMPro.TextMeshProUGUI	325	Desc	tmp_m_text
SELECT DIFFICULTY	level1	212124	17	1562	Unity.TextMeshPro:TMPro.TextMeshProUGUI	329	newgame_title	tmp_m_text
OK	level1	212668	2	1563	Unity.TextMeshPro:TMPro.TextMeshProUGUI	333	Text (TMP)	tmp_m_text
"CONTROLS:
Look: Mouse | Move: 'W', 'A', 'S', 'D' | Grab/Throw: 'E'"	level1	213196	66	1564	Unity.TextMeshPro:TMPro.TextMeshProUGUI	334	howtoplay_extra	tmp_m_text
100%	level1	213788	4	1565	Unity.TextMeshPro:TMPro.TextMeshProUGUI	459	SettingPercent	tmp_m_text
100%	level1	214316	4	1566	Unity.TextMeshPro:TMPro.TextMeshProUGUI	341	SettingPercent	tmp_m_text
1920x1080	level1	214844	9	1567	Unity.TextMeshPro:TMPro.TextMeshProUGUI	433	Item Label	tmp_m_text
| Created by: Taiki <i>(DopplerGhost)</i> | Special Thanks to: TakDor, Merlidan, Drael, and you! |	level1	215372	98	1568	Unity.TextMeshPro:TMPro.TextMeshProUGUI	426	SettingName	tmp_m_text
Quit	level1	215996	4	1569	Unity.TextMeshPro:TMPro.TextMeshProUGUI	380	txt	tmp_m_text
Reverts automatically in: 10	level1	216524	28	1570	Unity.TextMeshPro:TMPro.TextMeshProUGUI	377	reset_counter	tmp_m_text
Volume SFX	level1	217068	10	1571	Unity.TextMeshPro:TMPro.TextMeshProUGUI	381	SettingName	tmp_m_text
1920x1080	level1	217596	9	1572	Unity.TextMeshPro:TMPro.TextMeshProUGUI	369	Label	tmp_m_text
50%	level1	218124	3	1573	Unity.TextMeshPro:TMPro.TextMeshProUGUI	454	SettingPercent	tmp_m_text
Back to Menu	level1	218652	12	1574	Unity.TextMeshPro:TMPro.TextMeshProUGUI	390	txt	tmp_m_text
Keep new resolution?	level1	219180	20	1575	Unity.TextMeshPro:TMPro.TextMeshProUGUI	368	keep_res_title	tmp_m_text
"kill
getfish
superhelp"	level1	219724	22	1576	Unity.TextMeshPro:TMPro.TextMeshProUGUI	383	help	tmp_m_text
Settings	level1	220268	8	1577	Unity.TextMeshPro:TMPro.TextMeshProUGUI	358	txt	tmp_m_text
(Removes the requirement of holding mouse button.)	level1	220796	50	1578	Unity.TextMeshPro:TMPro.TextMeshProUGUI	432	SettingDesc	tmp_m_text
Enter text...	level1	221372	13	1579	Unity.TextMeshPro:TMPro.TextMeshProUGUI	471	Placeholder	tmp_m_text
"itemgive-itemid-n
itemremove-itemid-n
itembreak-itemid
itemfix-itemid
damage-n
danger-n
dangerset-n
energy-n
hitfriendenergy-n
friendsick-n
curefriend
feedfriend
killfriend
addhappen-happenid,h,h…
adddistance-n
endgame-reason
itemremoverandom
itembreakrandom
notice-message
hitbait-n
"	level1	221900	305	1580	Unity.TextMeshPro:TMPro.TextMeshProUGUI	478	help	tmp_m_text
Brightness	level1	222732	10	1581	Unity.TextMeshPro:TMPro.TextMeshProUGUI	337	SettingName	tmp_m_text
Volume Music	level1	223260	12	1582	Unity.TextMeshPro:TMPro.TextMeshProUGUI	403	SettingName	tmp_m_text
v0.3.5	level1	223788	6	1583	Unity.TextMeshPro:TMPro.TextMeshProUGUI	407	versiontext	tmp_m_text
The Game is saved automatically every morning.	level1	224316	46	1584	Unity.TextMeshPro:TMPro.TextMeshProUGUI	343	save_tip	tmp_m_text
Paused	level1	224876	6	1585	Unity.TextMeshPro:TMPro.TextMeshProUGUI	485	PausedTitle	tmp_m_text
Mouse Sensitivity	level1	225404	17	1586	Unity.TextMeshPro:TMPro.TextMeshProUGUI	463	SettingName	tmp_m_text
Volume Master	level1	225948	13	1587	Unity.TextMeshPro:TMPro.TextMeshProUGUI	434	SettingName	tmp_m_text
Enter Action Code	level1	226476	17	1588	Unity.TextMeshPro:TMPro.TextMeshProUGUI	489	Text (TMP)	tmp_m_text
100%	level1	227020	4	1589	Unity.TextMeshPro:TMPro.TextMeshProUGUI	470	SettingPercent	tmp_m_text
Yes	level1	227548	3	1590	Unity.TextMeshPro:TMPro.TextMeshProUGUI	487	button_txt	tmp_m_text
seed: 212832382	level1	228076	15	1591	Unity.TextMeshPro:TMPro.TextMeshProUGUI	460	save_tip	tmp_m_text
Restore Default Settings	level1	229132	24	1593	Unity.TextMeshPro:TMPro.TextMeshProUGUI	431	SettingName	tmp_m_text
Accept	level1	229676	6	1594	Unity.TextMeshPro:TMPro.TextMeshProUGUI	435	txt	tmp_m_text
Forced Night Result	level1	230204	19	1595	Unity.TextMeshPro:TMPro.TextMeshProUGUI	359	NightResulttxt	tmp_m_text
Enter text...	level1	230748	13	1596	Unity.TextMeshPro:TMPro.TextMeshProUGUI	412	Placeholder	tmp_m_text
Screen Resolution	level1	231276	17	1597	Unity.TextMeshPro:TMPro.TextMeshProUGUI	444	SettingName	tmp_m_text
Resume	level1	231820	6	1598	Unity.TextMeshPro:TMPro.TextMeshProUGUI	393	txt	tmp_m_text
50%	level1	232876	3	1600	Unity.TextMeshPro:TMPro.TextMeshProUGUI	467	SettingPercent	tmp_m_text
Day 0	level1	233404	5	1601	Unity.TextMeshPro:TMPro.TextMeshProUGUI	394	Text (TMP)	tmp_m_text
Instant Clicking	level1	233932	16	1602	Unity.TextMeshPro:TMPro.TextMeshProUGUI	356	SettingName	tmp_m_text
Run	level1	234460	3	1603	Unity.TextMeshPro:TMPro.TextMeshProUGUI	398	Text (TMP)	tmp_m_text
No	level1	234988	2	1604	Unity.TextMeshPro:TMPro.TextMeshProUGUI	370	button_txt	tmp_m_text
Settings	level1	235516	8	1605	Unity.TextMeshPro:TMPro.TextMeshProUGUI	371	settings_subtitle	tmp_m_text
Normal	level1	236472	6	1608	UnityEngine.UI:UnityEngine.UI.Button	3	LoadGameButton	mono_string_candidate
Highlighted	level1	236484	11	1608	UnityEngine.UI:UnityEngine.UI.Button	3	LoadGameButton	mono_string_candidate
Pressed	level1	236500	7	1608	UnityEngine.UI:UnityEngine.UI.Button	3	LoadGameButton	mono_string_candidate
Selected	level1	236512	8	1608	UnityEngine.UI:UnityEngine.UI.Button	3	LoadGameButton	mono_string_candidate
Disabled	level1	236524	8	1608	UnityEngine.UI:UnityEngine.UI.Button	3	LoadGameButton	mono_string_candidate
MenuController, Assembly-CSharp	level1	236568	31	1608	UnityEngine.UI:UnityEngine.UI.Button	3	LoadGameButton	mono_string_candidate
LoadGame	level1	236604	8	1608	UnityEngine.UI:UnityEngine.UI.Button	3	LoadGameButton	mono_string_candidate
UnityEngine.Object, UnityEngine	level1	236632	31	1608	UnityEngine.UI:UnityEngine.UI.Button	3	LoadGameButton	mono_string_candidate
Normal	level1	237368	6	1612	UnityEngine.UI:UnityEngine.UI.Button	12	Button_MENU_Close	mono_string_candidate
Highlighted	level1	237380	11	1612	UnityEngine.UI:UnityEngine.UI.Button	12	Button_MENU_Close	mono_string_candidate
Pressed	level1	237396	7	1612	UnityEngine.UI:UnityEngine.UI.Button	12	Button_MENU_Close	mono_string_candidate
Selected	level1	237408	8	1612	UnityEngine.UI:UnityEngine.UI.Button	12	Button_MENU_Close	mono_string_candidate
Disabled	level1	237420	8	1612	UnityEngine.UI:UnityEngine.UI.Button	12	Button_MENU_Close	mono_string_candidate
LoreScreen, Assembly-CSharp	level1	237464	27	1612	UnityEngine.UI:UnityEngine.UI.Button	12	Button_MENU_Close	mono_string_candidate
UnityEngine.Object, UnityEngine	level1	237536	31	1612	UnityEngine.UI:UnityEngine.UI.Button	12	Button_MENU_Close	mono_string_candidate
Normal	level1	238792	6	1621	UnityEngine.UI:UnityEngine.UI.Button	22	NEXT_button	mono_string_candidate
Highlighted	level1	238804	11	1621	UnityEngine.UI:UnityEngine.UI.Button	22	NEXT_button	mono_string_candidate
Pressed	level1	238820	7	1621	UnityEngine.UI:UnityEngine.UI.Button	22	NEXT_button	mono_string_candidate
Selected	level1	238832	8	1621	UnityEngine.UI:UnityEngine.UI.Button	22	NEXT_button	mono_string_candidate
Disabled	level1	238844	8	1621	UnityEngine.UI:UnityEngine.UI.Button	22	NEXT_button	mono_string_candidate
Tutorial_Screen, Assembly-CSharp	level1	238888	32	1621	UnityEngine.UI:UnityEngine.UI.Button	22	NEXT_button	mono_string_candidate
UnityEngine.Object, UnityEngine	level1	238952	31	1621	UnityEngine.UI:UnityEngine.UI.Button	22	NEXT_button	mono_string_candidate
Normal	level1	240552	6	1633	UnityEngine.UI:UnityEngine.UI.Button	33	Normal	mono_string_candidate
Highlighted	level1	240564	11	1633	UnityEngine.UI:UnityEngine.UI.Button	33	Normal	mono_string_candidate
Pressed	level1	240580	7	1633	UnityEngine.UI:UnityEngine.UI.Button	33	Normal	mono_string_candidate
Selected	level1	240592	8	1633	UnityEngine.UI:UnityEngine.UI.Button	33	Normal	mono_string_candidate
Disabled	level1	240604	8	1633	UnityEngine.UI:UnityEngine.UI.Button	33	Normal	mono_string_candidate
MenuController, Assembly-CSharp	level1	240648	31	1633	UnityEngine.UI:UnityEngine.UI.Button	33	Normal	mono_string_candidate
ClickDifficultyButton	level1	240684	21	1633	UnityEngine.UI:UnityEngine.UI.Button	33	Normal	mono_string_candidate
UnityEngine.Object, UnityEngine	level1	240728	31	1633	UnityEngine.UI:UnityEngine.UI.Button	33	Normal	mono_string_candidate
Make yourself visible...	level1	241460	24	1638	Assembly-CSharp:MedalHolder	37	Medal_1 (1)	mono_string_candidate
Normal	level1	242552	6	1646	UnityEngine.UI:UnityEngine.UI.Button	50	OPENBUTTON	mono_string_candidate
Highlighted	level1	242564	11	1646	UnityEngine.UI:UnityEngine.UI.Button	50	OPENBUTTON	mono_string_candidate
Pressed	level1	242580	7	1646	UnityEngine.UI:UnityEngine.UI.Button	50	OPENBUTTON	mono_string_candidate
Selected	level1	242592	8	1646	UnityEngine.UI:UnityEngine.UI.Button	50	OPENBUTTON	mono_string_candidate
Disabled	level1	242604	8	1646	UnityEngine.UI:UnityEngine.UI.Button	50	OPENBUTTON	mono_string_candidate
MenuController, Assembly-CSharp	level1	242648	31	1646	UnityEngine.UI:UnityEngine.UI.Button	50	OPENBUTTON	mono_string_candidate
ToggleMedalsMenu	level1	242684	16	1646	UnityEngine.UI:UnityEngine.UI.Button	50	OPENBUTTON	mono_string_candidate
UnityEngine.Object, UnityEngine	level1	242720	31	1646	UnityEngine.UI:UnityEngine.UI.Button	50	OPENBUTTON	mono_string_candidate
Normal	level1	243640	6	1652	UnityEngine.UI:UnityEngine.UI.Toggle	54	Toggle	mono_string_candidate
Highlighted	level1	243652	11	1652	UnityEngine.UI:UnityEngine.UI.Toggle	54	Toggle	mono_string_candidate
Pressed	level1	243668	7	1652	UnityEngine.UI:UnityEngine.UI.Toggle	54	Toggle	mono_string_candidate
Selected	level1	243680	8	1652	UnityEngine.UI:UnityEngine.UI.Toggle	54	Toggle	mono_string_candidate
Disabled	level1	243692	8	1652	UnityEngine.UI:UnityEngine.UI.Toggle	54	Toggle	mono_string_candidate
MenuController, Assembly-CSharp	level1	243764	31	1652	UnityEngine.UI:UnityEngine.UI.Toggle	54	Toggle	mono_string_candidate
DisableToggle	level1	243800	13	1652	UnityEngine.UI:UnityEngine.UI.Toggle	54	Toggle	mono_string_candidate
UnityEngine.Object, UnityEngine	level1	243836	31	1652	UnityEngine.UI:UnityEngine.UI.Toggle	54	Toggle	mono_string_candidate
Normal	level1	244376	6	1655	UnityEngine.UI:UnityEngine.UI.Button	58	Quit	mono_string_candidate
Highlighted	level1	244388	11	1655	UnityEngine.UI:UnityEngine.UI.Button	58	Quit	mono_string_candidate
Pressed	level1	244404	7	1655	UnityEngine.UI:UnityEngine.UI.Button	58	Quit	mono_string_candidate
Selected	level1	244416	8	1655	UnityEngine.UI:UnityEngine.UI.Button	58	Quit	mono_string_candidate
Disabled	level1	244428	8	1655	UnityEngine.UI:UnityEngine.UI.Button	58	Quit	mono_string_candidate
MenuController, Assembly-CSharp	level1	244472	31	1655	UnityEngine.UI:UnityEngine.UI.Button	58	Quit	mono_string_candidate
QuitGame	level1	244508	8	1655	UnityEngine.UI:UnityEngine.UI.Button	58	Quit	mono_string_candidate
UnityEngine.Object, UnityEngine	level1	244536	31	1655	UnityEngine.UI:UnityEngine.UI.Button	58	Quit	mono_string_candidate
Normal	level1	245512	6	1662	UnityEngine.UI:UnityEngine.UI.Button	63	PREV_button	mono_string_candidate
Highlighted	level1	245524	11	1662	UnityEngine.UI:UnityEngine.UI.Button	63	PREV_button	mono_string_candidate
Pressed	level1	245540	7	1662	UnityEngine.UI:UnityEngine.UI.Button	63	PREV_button	mono_string_candidate
Selected	level1	245552	8	1662	UnityEngine.UI:UnityEngine.UI.Button	63	PREV_button	mono_string_candidate
Disabled	level1	245564	8	1662	UnityEngine.UI:UnityEngine.UI.Button	63	PREV_button	mono_string_candidate
Tutorial_Screen, Assembly-CSharp	level1	245608	32	1662	UnityEngine.UI:UnityEngine.UI.Button	63	PREV_button	mono_string_candidate
UnityEngine.Object, UnityEngine	level1	245672	31	1662	UnityEngine.UI:UnityEngine.UI.Button	63	PREV_button	mono_string_candidate
Normal	level1	246648	6	1669	UnityEngine.UI:UnityEngine.UI.Button	69	Play	mono_string_candidate
Highlighted	level1	246660	11	1669	UnityEngine.UI:UnityEngine.UI.Button	69	Play	mono_string_candidate
Pressed	level1	246676	7	1669	UnityEngine.UI:UnityEngine.UI.Button	69	Play	mono_string_candidate
Selected	level1	246688	8	1669	UnityEngine.UI:UnityEngine.UI.Button	69	Play	mono_string_candidate
Disabled	level1	246700	8	1669	UnityEngine.UI:UnityEngine.UI.Button	69	Play	mono_string_candidate
MenuController, Assembly-CSharp	level1	246744	31	1669	UnityEngine.UI:UnityEngine.UI.Button	69	Play	mono_string_candidate
NewGame	level1	246780	7	1669	UnityEngine.UI:UnityEngine.UI.Button	69	Play	mono_string_candidate
UnityEngine.Object, UnityEngine	level1	246808	31	1669	UnityEngine.UI:UnityEngine.UI.Button	69	Play	mono_string_candidate
Make too many friends...	level1	247256	24	1672	Assembly-CSharp:MedalHolder	70	Medal_1 (3)	mono_string_candidate
Normal	level1	247656	6	1674	UnityEngine.UI:UnityEngine.UI.Button	74	NEXT_button	mono_string_candidate
Highlighted	level1	247668	11	1674	UnityEngine.UI:UnityEngine.UI.Button	74	NEXT_button	mono_string_candidate
Pressed	level1	247684	7	1674	UnityEngine.UI:UnityEngine.UI.Button	74	NEXT_button	mono_string_candidate
Selected	level1	247696	8	1674	UnityEngine.UI:UnityEngine.UI.Button	74	NEXT_button	mono_string_candidate
Disabled	level1	247708	8	1674	UnityEngine.UI:UnityEngine.UI.Button	74	NEXT_button	mono_string_candidate
Tutorial_Screen, Assembly-CSharp	level1	247752	32	1674	UnityEngine.UI:UnityEngine.UI.Button	74	NEXT_button	mono_string_candidate
UnityEngine.Object, UnityEngine	level1	247816	31	1674	UnityEngine.UI:UnityEngine.UI.Button	74	NEXT_button	mono_string_candidate
Wait for rescue...	level1	249136	18	1683	Assembly-CSharp:MedalHolder	85	Medal_1 (2)	mono_string_candidate
Normal	level1	249976	6	1688	UnityEngine.UI:UnityEngine.UI.Button	99	PREV_button	mono_string_candidate
Highlighted	level1	249988	11	1688	UnityEngine.UI:UnityEngine.UI.Button	99	PREV_button	mono_string_candidate
Pressed	level1	250004	7	1688	UnityEngine.UI:UnityEngine.UI.Button	99	PREV_button	mono_string_candidate
Selected	level1	250016	8	1688	UnityEngine.UI:UnityEngine.UI.Button	99	PREV_button	mono_string_candidate
Disabled	level1	250028	8	1688	UnityEngine.UI:UnityEngine.UI.Button	99	PREV_button	mono_string_candidate
Tutorial_Screen, Assembly-CSharp	level1	250072	32	1688	UnityEngine.UI:UnityEngine.UI.Button	99	PREV_button	mono_string_candidate
UnityEngine.Object, UnityEngine	level1	250136	31	1688	UnityEngine.UI:UnityEngine.UI.Button	99	PREV_button	mono_string_candidate
Horizontal	level1	250968	10	1694	UnityEngine.UI:UnityEngine.EventSystems.StandaloneInputModule	109	EventSystem	mono_string_candidate
