seed	found_string	file	encoding_method	byte_offset	nearby_strings	in_source_queue	in_generated_dictionary	recommended_action
Settings	SettingsPanel_Resolution	game_original/DontSleepWithTheFishes_Data/level1	ascii_strings	82464	Handle | txt | SettingName | palm_leaves | help | Slider | SettingsFade | pause_fade | Water | bg | no | Background | Handle Slide Area | Text (TMP) | FADE_QUICKBLACK | settings_items | DebugCanvas | Layer_Texture	no	no	add_or_update_exact_source_if_player_facing
Settings	SettingsPanel_Vol_Master	game_original/DontSleepWithTheFishes_Data/level1	ascii_strings	82544	txt | SettingName | palm_leaves | help | Slider | SettingsFade | pause_fade | Water | bg | no | Background | Handle Slide Area | Text (TMP) | FADE_QUICKBLACK | settings_items | DebugCanvas | Layer_Texture | SETTINGS_CANVAS	no	no	add_or_update_exact_source_if_player_facing
Settings	Settings	game_original/DontSleepWithTheFishes_Data/level1	ascii_strings	82716	help | Slider | SettingsFade | pause_fade | Water | bg | no | txt | Background | Handle Slide Area | Text (TMP) | FADE_QUICKBLACK | settings_items | DebugCanvas | Layer_Texture | SETTINGS_CANVAS | SettingsPanel_Click | Handle	yes	yes	already_covered
Settings	SettingsPanel_Brightness	game_original/DontSleepWithTheFishes_Data/level1	ascii_strings	82928	pause_fade | Water | bg | no | txt | Background | Handle Slide Area | Text (TMP) | FADE_QUICKBLACK | settings_items | DebugCanvas | Layer_Texture | SETTINGS_CANVAS | SettingsPanel_Click | Handle | SettingName | Layer_Bottom | RunButton	no	no	add_or_update_exact_source_if_player_facing
Settings	SettingsPanel_Title	game_original/DontSleepWithTheFishes_Data/level1	ascii_strings	83968	SettingsPanel_Click | Handle | SettingName | Layer_Bottom | RunButton | SaveSystem | versiontext | Layer_Texture | logo | Text Area | Confirm_Res_Panel | Placeholder | Fill | FADE | Content | Canvas | UniStorm URP System | UniStorm Volumetric Clouds	no	no	add_or_update_exact_source_if_player_facing
Settings	SettingsPanel_Reset	game_original/DontSleepWithTheFishes_Data/level1	ascii_strings	85020	Canvas | UniStorm URP System | UniStorm Volumetric Clouds | Clouds Shadows | Celestial Axis | UniStorm Stars | UniStorm Moon | UniStorm Windzone | UniStorm Sun | Sun Transform | SettingName | Item Background | DayGameMusic | SettingsPanel_Vol_Music | Text | SettingDesc | Item Label | txt	no	no	add_or_update_exact_source_if_player_facing
Settings	SettingsPanel_MouseSens	game_original/DontSleepWithTheFishes_Data/level1	ascii_strings	85280	Clouds Shadows | Celestial Axis | UniStorm Stars | UniStorm Moon | UniStorm Windzone | UniStorm Sun | Sun Transform | SettingName | Item Background | DayGameMusic | SettingsPanel_Vol_Music | Text | SettingDesc | Item Label | txt | Fill Area | cheaterwindow | Slider	no	no	add_or_update_exact_source_if_player_facing
Settings	Settings	game_original/DontSleepWithTheFishes_Data/level1	ascii_strings	197500	True Ending | Pu | 8B | nrek | Taken aboard. | >? | ff | Bff | Extra Difficulties | (? | HB | Don't Sleep With the Fishes | (B | B! | Select? | 33 | B33 | By your own means.	yes	yes	already_covered
Left	Alternative to 'E': Left-Click or Right-Shift	game_original/DontSleepWithTheFishes_Data/level1	ascii_strings	202780	nrek | .~? | &X? | Pu | B | Lore | Close | NB | Calm | (? | ^B | Badges | Previous | tB | You died of starvation. | >? | ff | Bff	yes	yes	already_covered
Right	Alternative to 'E': Left-Click or Right-Shift	game_original/DontSleepWithTheFishes_Data/level1	ascii_strings	202780	nrek | .~? | &X? | Pu | B | Lore | Close | NB | Calm | (? | ^B | Badges | Previous | tB | You died of starvation. | >? | ff | Bff	yes	yes	already_covered
Settings	Settings	game_original/DontSleepWithTheFishes_Data/level1	ascii_strings	220268	| Created by: Taiki <i>(DopplerGhost)</i> | Special Thanks to: TakDor, Merlidan, Drael, and you! | | Pu | A= | nrek | Quit | 33}B33}B | Reverts automatically in: 10 | -? | BB | B! | ff | Volume SFX | 1920x1080 | 50% | Back to Menu | <BH | <B | Keep new resolution?	yes	yes	already_covered
Resume	Resume	game_original/DontSleepWithTheFishes_Data/level1	ascii_strings	231820	100% | Pu | nrek | Yes | Q`B | B! | ff | seed: 212832382 | q= | Aq= | Restore Default Settings | Accept | 33}B33}B | Forced Night Result | Enter text... | -? | Screen Resolution | Resume	yes	yes	already_covered
Instant Clicking	Instant Clicking	game_original/DontSleepWithTheFishes_Data/level1	ascii_strings	233932	Restore Default Settings | Pu | nrek | Accept | 33}B33}B | Forced Night Result | Enter text... | -? | q= | Aq= | Screen Resolution | Resume | 50% | Day 0 | Instant Clicking | Run | No | Q`B	yes	yes	already_covered
Settings	Settings	game_original/DontSleepWithTheFishes_Data/level1	ascii_strings	235516	Enter text... | -? | Pu | q= | Aq= | Screen Resolution | nrek | Resume | 50% | Day 0 | Instant Clicking | Run | No | Q`B | B! | ff | Settings | +?	yes	yes	already_covered
Resume	Resume	game_original/DontSleepWithTheFishes_Data/level1	ascii_strings	315912	;HH | Af>tn | >` | ?> | >4 | >pe | >N0 | 9HH | ?E | >oe | >D | >~ | >0 | (> | :> | R> | ?d | ?;o$?	yes	yes	already_covered
Left	leg_left	game_original/DontSleepWithTheFishes_Data/level2	ascii_strings	189184	! | $ | `% | & | `& | p) | + | P+ | 0, | . | p3 | 04 | 08 | P; | 0m | Pm | o | `o	no	no	add_or_update_exact_source_if_player_facing
Left	Whisker_Left	game_original/DontSleepWithTheFishes_Data/level2	ascii_strings	196832	food_fish (27) | N | mixamorig:LeftHandThumb3 | DEF_spine.005 | DEF_ear.R | mixamorig:LeftHandThumb4 | Tie | mixamorig:LeftForeArm | Plane | HookGuns | bait (10) | mixamorig:LeftUpLeg | mixamorig:LeftToeBase | DEF_belly.C_end_end | Bag_Torus.003 | time_num | PickupCursor | mixamorig:RightHandIndex3	no	no	add_or_update_exact_source_if_player_facing
Right	leg_right	game_original/DontSleepWithTheFishes_Data/level2	ascii_strings	198448	mixamorig:LeftArm | mixamorig:RightHandThumb4 | Pants_HumanoidBase_Overlapping.008 | Plane | food_fish (22) | N | DEF_toe.R | DEF_hand.R_end | mixamorig:RightHandIndex1 | Pants.002 | scuba_set (1) | DEF_ear.L | mixamorig:LeftHandThumb4 | DEF_foot.R | mixamorig:LeftHandThumb1 | Woman1 (2) | tooheavy_text | mixamorig:RightFoot	no	no	add_or_update_exact_source_if_player_facing
Left	wing_left	game_original/DontSleepWithTheFishes_Data/level2	ascii_strings	215568	DEF_ear.R_end_end | mixamorig:Spine | mixamorig:Hips | mixamorig:RightToeBase | Beard | Plane | bait (1) N | DEF_ear.R | mixamorig:RightLeg | flaregun N | mixamorig:LeftHandThumb3 | DEF_tail.004 | swimming_belt | N | InventoryCanvas | particle_leak | Pants_HumanoidBase_Overlapping.008 | red_circle_c	no	no	add_or_update_exact_source_if_player_facing
Right	Whisker_Right	game_original/DontSleepWithTheFishes_Data/level2	ascii_strings	217520	mixamorig:LeftHandIndex1 | compass (1) | N | Plane | DEF_shin.R | anchor | DEF_spine.005 | Lights | leakingwater (4) | Character_Cat | mixamorig:Neck | DEF_shoulder.R | DEF_tail.006 | DEF_tail.004 | mixamorig:LeftHandIndex3 | mixamorig:RightHandThumb1 | mixamorig:LeftHandThumb1 | DEF_hand.L_end	no	no	add_or_update_exact_source_if_player_facing
Right	wing_right	game_original/DontSleepWithTheFishes_Data/level2	ascii_strings	220608	mixamorig:RightToe_End | Plane | InventoryManager | ducttape (1) N | mixamorig:Head | mainship_banner | mixamorig:RightLeg | food_fish (2) | N | mixamorig:RightHandThumb2 | mixamorig:Spine1 | DEF_tail.003 | DEF_ear.L_end_end | mixamorig:HeadTop_End | mixamorig:RightArm | Tie.001_Torus.002 | telescope (2) | mixamorig:LeftToe_End	no	no	add_or_update_exact_source_if_player_facing
Right	Whisker_Right	game_original/DontSleepWithTheFishes_Data/level2	ascii_strings	242016	swimming_belt (1) | N | SCREW_HANDLE | Plane | mixamorig:LeftLeg | DEF_spine.004 | mixamorig:LeftFoot | HAMMER | DEF_tail.002 | ScubaSets | DEF_hand.R_end_end | mixamorig:RightHandIndex1 | DEF_ear.L_end | clockholder | Character_Man | sidea | mixamorig:LeftHandIndex4 | DEF_face	no	no	add_or_update_exact_source_if_player_facing
Right	leg_right	game_original/DontSleepWithTheFishes_Data/level2	ascii_strings	242608	mixamorig:RightHandIndex1 | DEF_ear.L_end | clockholder | Character_Man | sidea | mixamorig:LeftHandIndex4 | DEF_face | Cat | telescope (3) | N | food_fish (3) | Jacket_HumanoidBase_Overlapping.011 | Plane | Who1 (4) | FPSCamera | Hat_Cylinder.002 | mixamorig:RightHandThumb3 | mixamorig:RightHandIndex2	no	no	add_or_update_exact_source_if_player_facing
Right	wing_right	game_original/DontSleepWithTheFishes_Data/level2	ascii_strings	253424	DEF_toe.L_end | mixamorig:RightLeg | net (2) | N | Pipe | Foods | map | mixamorig:Spine | mixamorig:LeftHandIndex3 | DEF_pelvis.L | mixamorig:RightToe_End | Plane | UICAM | DEF_toe.L | px2 | PickupCursor | DEF_thigh.L | umbrella (3) N	no	no	add_or_update_exact_source_if_player_facing
Left	Whisker_Left	game_original/DontSleepWithTheFishes_Data/level2	ascii_strings	255632	DEF_pelvis.C | DEF_toe.L_end_end | mixamorig:RightHandThumb3 | mixamorig:RightHandIndex3 | Plane | mixamorig:Hips | mixamorig:RightHandIndex4 | mixamorig:Neck | mixamorig:LeftHandIndex4 | mixamorig:LeftHand | DEF_hand.L_end_end | area | mixamorig:LeftHandIndex3 | DEF_hand.R_end_end | mixamorig:LeftToeBase | mixamorig:LeftLeg | Shirt | leakingwater (7)	no	no	add_or_update_exact_source_if_player_facing
Left	Whisker_Left	game_original/DontSleepWithTheFishes_Data/level2	ascii_strings	259264	Cat1 (1) | leakingwater (1) | scuba_set | N | mixamorig:Spine | food_fish (28) | DEF_spine.005 | Plane | DEF_toe.R_end | DEF_toe.R_end_end | floor (1) | DEF_eye.R_end_end | DEF_spine | Character_Mystery | cube_off | mixamorig:RightToe_End | mixamorig:RightUpLeg | mixamorig:LeftShoulder	no	no	add_or_update_exact_source_if_player_facing
Right	Hand_Right	game_original/DontSleepWithTheFishes_Data/level2	ascii_strings	265168	mixamorig:LeftHandThumb1 | DEF_Breast.C | flashlight | N | food_fish (1) | mixamorig:LeftHandIndex1 | DEF_ear.L_end_end | mixamorig:RightHandThumb3 | timerleft | particle_dropletwave | mixamorig:Spine | PipeSmoke | Shirt.001_HumanoidBase_Overlapping.007 | DEF_belly.C_end | Plane | mixamorig:LeftForeArm | DEF_eye.R_end | mixamorig:LeftToeBase	no	no	add_or_update_exact_source_if_player_facing
Left	leg_left	game_original/DontSleepWithTheFishes_Data/level2	ascii_strings	267008	mixamorig:LeftToeBase | DEF_foot.L | Sailor_Mystery_HumanoidBase_Overlapping.009 | cat | mixamorig:LeftArm | swimming_belt (2) | N | Plane | Sailor_Woman | mixamorig:Head | mixamorig:LeftToe_End | Mainship | FlashLights | food_fish (26) | Sunglasses | door_box!N | Character_Woman | DEF_belly.C_end	no	no	add_or_update_exact_source_if_player_facing
Right	Whisker_Right	game_original/DontSleepWithTheFishes_Data/level2	ascii_strings	271328	Cursors | FlareGuns | DEF_spine.004 | mixamorig:RightArm | mixamorig:LeftHandThumb3 | mixamorig:RightToe_End | mixamorig:LeftHandIndex4 | mixamorig:RightHand | ModelStuff | ParticleParent | mixamorig:LeftForeArm | leg_left | mixamorig:LeftHand | DEF_hand.R | DEF_upper_arm.R | DEF_tail.005 | mixamorig:RightFoot | border	no	no	add_or_update_exact_source_if_player_facing
Left	wing_left	game_original/DontSleepWithTheFishes_Data/level2	ascii_strings	272480	px_water (1) | Man1 (3) | MovementPlayer | Plane | Mask | CameraAnimator | top_black | DEF_eye.R | DEF_eye.L_end | Maps | swimming_belt (3) | N | mixamorig:Spine2 | net (3) | mixamorig:Spine1 | SailorHat | mixamorig:LeftHandThumb3 | GirlGlasses	no	no	add_or_update_exact_source_if_player_facing
Right	Whisker_Right	game_original/DontSleepWithTheFishes_Data/level2	ascii_strings	273648	GirlGlasses | Plane | Shirt.001_HumanoidBase_Overlapping.007 | firstaidkit (4) | N | hsd_logo | itemImage | DEF_center | DEF_pelvis.C_end_end | PointerCursor | circle | mixamorig:LeftHandIndex3 | mixamorig:RightUpLeg | mixamorig:RightHandThumb2 | DEF_tail.004 | Bench (1) | mixamorig:LeftFoot | mixamorig:Head	no	no	add_or_update_exact_source_if_player_facing
Left	Hand_Left	game_original/DontSleepWithTheFishes_Data/level2	ascii_strings	274544	circle | mixamorig:LeftHandIndex3 | Plane | mixamorig:RightUpLeg | mixamorig:RightHandThumb2 | DEF_tail.004 | Bench (1) | mixamorig:LeftFoot | mixamorig:Head | ParticleSplashes | mixamorig:LeftHandThumb4 | mixamorig:HeadTop_End | DEF_Breast.C_end | mixamorig:Spine2 | mixamorig:RightToe_End | px_bigsplash_Start | Cat1 (3) | mixamorig:LeftToe_End	no	no	add_or_update_exact_source_if_player_facing
Left	Whisker_Left	game_original/DontSleepWithTheFishes_Data/level2	ascii_strings	277408	DEF_eye.R | wing_left | mixamorig:LeftUpLeg | mixamorig:RightHandIndex2 | DEF_tail.005 | Foods | mixamorig:RightForeArm | bait (6) N | Jacket_HumanoidBase_Overlapping.011 | DEF_pelvis.R | mixamorig:RightHandIndex1 | food_fish (7) | N | Plane | mixamorig:LeftHandIndex2 | mixamorig:Spine2 | mixamorig:HeadTop_End | mixamorig:RightHand	no	no	add_or_update_exact_source_if_player_facing
Right	wing_right	game_original/DontSleepWithTheFishes_Data/level2	ascii_strings	288832	mixamorig:LeftHandThumb4 | DEF_ear.R | bg | mixamorig:LeftArm | SettingsFade | mixamorig:LeftUpLeg | mixamorig:HeadTop_End | DEF_ear.L_end | mixamorig:LeftHand | mixamorig:LeftHandThumb3 | pause_fade | DEF_shoulder.L | mixamorig:RightToe_End | mixamorig:LeftFoot | txt | DEF_spine | DEF_foot.L | mixamorig:LeftHandIndex1	no	no	add_or_update_exact_source_if_player_facing
Left	Whisker_Left	game_original/DontSleepWithTheFishes_Data/level2	ascii_strings	298960	shelf_rope_to_hang (1) | barrel (8) | barrel (9) | PROP_BOOK_INSIDE | pipe_smallroom | desk_middle | PROP_FISHINGROD | ship_pole | desk_corner (1) | crate (13) | barrel | crate (4) | barrel (16) | doorway_big | skeletonhat | hangers | shelf_rope_to_hang | PROP_MAP	no	no	add_or_update_exact_source_if_player_facing
Left	leg_left	game_original/DontSleepWithTheFishes_Data/level2	ascii_strings	300320	PROP_MAP | small_boat | barrel (9) | barrel (5) | rug_on_rooftop | square_shelf (1) | barrel | crate (5) | desk_long_side | barrel (3) | small_stool (1) | crate (2) | PROP_MOP_BACK | PROP_BOOK_OUTSIDE | painting_2 | crate (15) | crate (9) | barrel (10)	no	no	add_or_update_exact_source_if_player_facing
Settings	SettingsPanel_Click	game_original/DontSleepWithTheFishes_Data/level2	ascii_strings	302016	PROP_BEER_BOTTLE | small_stool (3) | plant_01 | shelf_plank (1) | broom | PROP_KNIFE_SMALL | painting_1 | barrel (7) | small_stool (2) | window_small | plant_02 | mixamorig:RightHandIndex4 | Handle | AudioManager | mixamorig:LeftLeg | mixamorig:RightToe_End | mixamorig:RightHand | DEF_eye.R_end	no	no	add_or_update_exact_source_if_player_facing
Right	leg_right	game_original/DontSleepWithTheFishes_Data/level2	ascii_strings	304544	mixamorig:LeftLeg | mixamorig:RightToeBase | Shirt.002 | Sailor_Man | DEF_ear.L | DEF_shin.L | mixamorig:LeftToe_End | Layer_Texture | versiontext | DEF_hand.R | RunButton | leg_left | mixamorig:LeftHandThumb1 | DEF_spine.004 | mixamorig:RightUpLeg | mixamorig:HeadTop_End | Text Area | mixamorig:RightHandThumb4	no	no	add_or_update_exact_source_if_player_facing
Settings	SettingsPanel_Credits	game_original/DontSleepWithTheFishes_Data/level2	ascii_strings	308384	mixamorig:Spine1 | DEF_eye.L_end_end | DEF_tail.003 | mixamorig:Spine2 | DEF_toe.R_end_end | Text (TMP) | cat | DEF_toe.L_end_end | mixamorig:LeftForeArm | DebugCanvas | Layer_Texture | Bracelet | mixamorig:Spine | SETTINGS_CANVAS | DEF_pelvis.C_end_end | mixamorig:RightHandIndex3 | Shirt.001_HumanoidBase_Overlapping.007 | leg_right	no	no	add_or_update_exact_source_if_player_facing
Left	Whisker_Left	game_original/DontSleepWithTheFishes_Data/level2	ascii_strings	313520	txt | mixamorig:RightHandThumb3 | ParticleParent | mixamorig:RightHandThumb4 | FadeToHappenController | mixamorig:LeftUpLeg | DEF_ear.R | Slider | SettingName | mixamorig:LeftHand | mixamorig:HeadTop_End | DEF_thigh.R | Handle Slide Area | Sailor_Mystery_HumanoidBase_Overlapping.009 | DEF_toe.L | CursorCanvas | mixamorig:RightHandThumb1 | mixamorig:RightHandIndex4	no	no	add_or_update_exact_source_if_player_facing
Settings	SettingsPanel_Vol_Sfx	game_original/DontSleepWithTheFishes_Data/level2	ascii_strings	315408	mixamorig:RightHandIndex1 | mixamorig:LeftHandThumb3 | save_tip | mixamorig:RightHand | mixamorig:RightHandThumb4 | mixamorig:RightHandIndex3 | ParticleParent | mixamorig:LeftHandIndex4 | mixamorig:RightHandIndex2 | mixamorig:RightUpLeg | mixamorig:Neck | Character_Cat | Character_Woman | GirlGlasses | DEF_foot.R | Slider | Text Area | mixamorig:LeftHandThumb2	no	no	add_or_update_exact_source_if_player_facing
Right	Whisker_Right	game_original/DontSleepWithTheFishes_Data/level2	ascii_strings	315552	save_tip | mixamorig:RightHand | mixamorig:RightHandThumb4 | mixamorig:RightHandIndex3 | ParticleParent | mixamorig:LeftHandIndex4 | mixamorig:RightHandIndex2 | mixamorig:RightUpLeg | mixamorig:Neck | Character_Cat | Character_Woman | GirlGlasses | DEF_foot.R | mixamorig:LeftHandThumb3 | Slider | Text Area | mixamorig:LeftHandThumb2 | DEF_eye.L_end	no	no	add_or_update_exact_source_if_player_facing
Right	Whisker_Right	game_original/DontSleepWithTheFishes_Data/level2	ascii_strings	315632	mixamorig:RightHand | mixamorig:RightHandThumb4 | mixamorig:RightHandIndex3 | ParticleParent | mixamorig:LeftHandIndex4 | mixamorig:RightHandIndex2 | mixamorig:RightUpLeg | mixamorig:Neck | Character_Cat | Character_Woman | GirlGlasses | DEF_foot.R | mixamorig:LeftHandThumb3 | Slider | Text Area | mixamorig:LeftHandThumb2 | DEF_eye.L_end | Tie.002	no	no	add_or_update_exact_source_if_player_facing
Resume	Resume	game_original/DontSleepWithTheFishes_Data/level2	ascii_strings	316508	Slider | Text Area | mixamorig:LeftHandThumb2 | DEF_eye.L_end | Tie.002 | DEF_hand.R_end_end | mixamorig:LeftHandIndex4 | mixamorig:RightHandIndex3 | Pants.002 | mixamorig:LeftHandThumb4 | ForcedNightResult | DEF_shin.R | Shirt.002 | Shirt.001_HumanoidBase_Overlapping.007 | mixamorig:RightShoulder | Fill | SettingPercent | mixamorig:Head	yes	yes	already_covered
Settings	SettingsPanel_Title	game_original/DontSleepWithTheFishes_Data/level2	ascii_strings	323104	keep_res_title | mixamorig:LeftShoulder | mixamorig:Spine2 | Character_Man | mixamorig:LeftToe_End | mixamorig:LeftUpLeg | mixamorig:RightForeArm | DEF_eye.L | button_txt | DEF_toe.R | mixamorig:LeftHandIndex2 | mixamorig:RightHandThumb2 | Pipe | DEF_spine.001 | mixamorig:LeftFoot | DEF_belly.C_end_end | mixamorig:Spine1 | DEF_upper_arm.R	no	no	add_or_update_exact_source_if_player_facing
Left	wing_left	game_original/DontSleepWithTheFishes_Data/level2	ascii_strings	328880	mixamorig:RightUpLeg | DEF_Breast.C | mixamorig:RightHandThumb4 | mixamorig:LeftLeg | mixamorig:LeftShoulder | DEF_forearm.L | Background | Character_Woman | GirlGlasses | mixamorig:Spine1 | mixamorig:Spine | Sunglasses | mixamorig:RightLeg | mixamorig:LeftHandIndex3 | SettingPercent | mixamorig:LeftHandThumb3 | mixamorig:RightHandIndex3 | mixamorig:Neck	no	no	add_or_update_exact_source_if_player_facing
Right	Whisker_Right	game_original/DontSleepWithTheFishes_Data/level2	ascii_strings	329040	mixamorig:LeftLeg | mixamorig:LeftShoulder | DEF_forearm.L | Background | Character_Woman | GirlGlasses | mixamorig:Spine1 | mixamorig:Spine | Sunglasses | mixamorig:RightLeg | mixamorig:LeftHandIndex3 | SettingPercent | mixamorig:LeftHandThumb3 | mixamorig:RightHandIndex3 | mixamorig:Neck | mixamorig:Hips | mixamorig:Head | DEF_upper_arm.R	no	no	add_or_update_exact_source_if_player_facing
Settings	SettingsPanel_Brightness	game_original/DontSleepWithTheFishes_Data/level2	ascii_strings	329280	Character_Woman | GirlGlasses | mixamorig:Spine1 | mixamorig:Spine | Sunglasses | mixamorig:RightLeg | mixamorig:LeftHandIndex3 | SettingPercent | mixamorig:LeftHandThumb3 | mixamorig:RightHandIndex3 | mixamorig:Neck | mixamorig:Hips | mixamorig:Head | DEF_upper_arm.R | mixamorig:RightHandIndex2 | mixamorig:RightShoulder | mixamorig:RightHandThumb3 | DEF_pelvis.C_end_end	no	no	add_or_update_exact_source_if_player_facing
Settings	SettingsPanel_MouseSens	game_original/DontSleepWithTheFishes_Data/level2	ascii_strings	332240	Slider | DEF_Breast.C_end | DEF_tail.003 | mixamorig:LeftShoulder | mixamorig:RightHandThumb2 | mixamorig:RightHandIndex2 | mixamorig:RightHandIndex3 | Item | mixamorig:RightHand | Quit | DEF_eye.R | mixamorig:RightHandIndex4 | Item Checkmark | mixamorig:LeftHandThumb2 | mixamorig:RightForeArm | mixamorig:RightHandThumb3 | mixamorig:LeftToe_End | mixamorig:LeftToeBase	no	no	add_or_update_exact_source_if_player_facing
Settings	SettingsPanel_Reset	game_original/DontSleepWithTheFishes_Data/level2	ascii_strings	332940	Item Checkmark | mixamorig:LeftHandThumb2 | mixamorig:RightForeArm | mixamorig:RightHandThumb3 | mixamorig:LeftToe_End | mixamorig:RightHand | mixamorig:LeftToeBase | mixamorig:Head | mixamorig:Hips | mixamorig:RightHandThumb1 | DEF_belly.C_end_end | mixamorig:RightShoulder | mixamorig:LeftFoot | DEF_ear.L_end_end | Beard | save_tip | wing_left | Sailor_Mystery_HumanoidBase_Overlapping.009	no	no	add_or_update_exact_source_if_player_facing
Settings	SettingsPanel_Vol_Music	game_original/DontSleepWithTheFishes_Data/level2	ascii_strings	342416	mixamorig:LeftHandIndex4 | DEF_ear.L_end | mixamorig:RightForeArm | DEF_shoulder.L | mixamorig:RightHandIndex2 | mixamorig:RightToe_End | mixamorig:Spine2 | Character_Man | mixamorig:HeadTop_End | Layer_Bottom | big_ropes | help | DEF_ear.R | mixamorig:LeftUpLeg | DEF_pelvis.C_end | door_top_cloth (1) | mixamorig:LeftArm | mixamorig:LeftHandIndex2	no	no	add_or_update_exact_source_if_player_facing
Right	Whisker_Right	game_original/DontSleepWithTheFishes_Data/level2	ascii_strings	346208	mixamorig:LeftUpLeg | SettingName | DEF_center | DEF_toe.R_end_end | mixamorig:HeadTop_End | mixamorig:LeftFoot | mixamorig:RightHandIndex3 | mixamorig:Neck | mixamorig:RightHandThumb2 | mixamorig:LeftHandIndex3 | mixamorig:Spine | Tie.001_Torus.002 | mixamorig:Spine2 | SailorHat | mixamorig:LeftHand | Text | mixamorig:RightHand | attic_door_angled	no	no	add_or_update_exact_source_if_player_facing
Settings	SettingsPanel_Resolution	game_original/DontSleepWithTheFishes_Data/level2	ascii_strings	346896	mixamorig:Spine | Tie.001_Torus.002 | mixamorig:Spine2 | SailorHat | mixamorig:LeftHand | Text | mixamorig:RightHand | attic_door_angled | SettingsPanel_Vol_Music | mixamorig:Head | DayGameMusic | Content | mixamorig:HeadTop_End | Jacket_HumanoidBase_Overlapping.011 | mixamorig:RightHandIndex4 | DEF_ear.L_end_end | DEF_spine.001 | mixamorig:LeftUpLeg	no	no	add_or_update_exact_source_if_player_facing
