source	current_ru	location	kind	context	category	severity	proposed_fix	action	notes
Afcu?fcu?fcu?		game_original/DontSleepWithTheFishes_Data/level2	raw_byte_string	byte_offset=386887; method=raw_ascii	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=raw_ascii
allergic? If so, I didn		game_original/DontSleepWithTheFishes_Data/resources.assets	raw_byte_string	byte_offset=13676991; method=raw_ascii	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=raw_ascii
Anticipated outcomes.		level5	mono_string_candidate	object_path_id=1781; script=Assembly-CSharp:EndingController; gameobject=EndingController; offset=302360	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=extracted_visible_strings
Appearances Database		resources.assets	mono_string_candidate	object_path_id=1905; script=Febucci.TextAnimator.Runtime:Febucci.UI.Effects.AnimationsDatabase; gameobject=; offset=15974768	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=extracted_visible_strings
b?9w0>ewE>O		game_original/DontSleepWithTheFishes_Data/sharedassets4.assets	raw_byte_string	byte_offset=1431186; method=raw_ascii	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=raw_ascii
Be a bad fisherman...		game_original/DontSleepWithTheFishes_Data/level1	raw_byte_string	byte_offset=268396; method=raw_ascii	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=raw_ascii
Became chest loot.		sharedassets1.assets	mono_string_candidate	object_path_id=513; script=Assembly-CSharp:NightEventScript; gameobject=; offset=7327516	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=extracted_visible_strings
Behaviors Database		resources.assets	mono_string_candidate	object_path_id=1914; script=Febucci.TextAnimator.Runtime:Febucci.UI.Effects.AnimationsDatabase; gameobject=; offset=15975536	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=extracted_visible_strings
Blowing Leaves		resources.assets	mono_string_candidate	object_path_id=1940; script=Assembly-CSharp:UniStorm.WeatherType; gameobject=; offset=16023856	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=extracted_visible_strings
Blowing Pine Needles		resources.assets	mono_string_candidate	object_path_id=1941; script=Assembly-CSharp:UniStorm.WeatherType; gameobject=; offset=16024512	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=extracted_visible_strings
Blowing Pollen		resources.assets	mono_string_candidate	object_path_id=1942; script=Assembly-CSharp:UniStorm.WeatherType; gameobject=; offset=16025168	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=extracted_visible_strings
Blowing Snow		resources.assets	mono_string_candidate	object_path_id=1943; script=Assembly-CSharp:UniStorm.WeatherType; gameobject=; offset=16025824	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=extracted_visible_strings
Blue Aroras		resources.assets	mono_string_candidate	object_path_id=1938; script=Assembly-CSharp:UniStorm.WeatherType; gameobject=; offset=16022576	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=extracted_visible_strings
Blue Auroras		resources.assets	mono_string_candidate	object_path_id=1938; script=Assembly-CSharp:UniStorm.WeatherType; gameobject=; offset=16022592	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=extracted_visible_strings
Bring exploration tools...		game_original/DontSleepWithTheFishes_Data/level1	raw_byte_string	byte_offset=285952; method=raw_ascii	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=raw_ascii
but look! It		game_original/DontSleepWithTheFishes_Data/resources.assets	raw_byte_string	byte_offset=13691174; method=raw_ascii	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=raw_ascii
C0A?Yal		game_original/DontSleepWithTheFishes_Data/resources.resource	raw_byte_string	byte_offset=4895465; method=raw_ascii	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=raw_ascii
Calculated risk.		level5	mono_string_candidate	object_path_id=1781; script=Assembly-CSharp:EndingController; gameobject=EndingController; offset=302264	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=extracted_visible_strings
Change Weather		resources.assets	mono_string_candidate	object_path_id=1991; script=UnityEngine.UI:UnityEngine.UI.Text; gameobject=Text; offset=16045012	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=extracted_visible_strings
Color Gradient Presets/		resources.assets	mono_string_candidate	object_path_id=1933; script=Unity.TextMeshPro:TMPro.TMP_Settings; gameobject=; offset=16016648	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=extracted_visible_strings
Critical financial hit.		level5	mono_string_candidate	object_path_id=1781; script=Assembly-CSharp:EndingController; gameobject=EndingController; offset=302392	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=extracted_visible_strings
d>exl?J		game_original/DontSleepWithTheFishes_Data/sharedassets4.assets	raw_byte_string	byte_offset=1089854; method=raw_ascii	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=raw_ascii
d>mUy?x		game_original/DontSleepWithTheFishes_Data/sharedassets4.assets	raw_byte_string	byte_offset=1615862; method=raw_ascii	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=raw_ascii
Dead by the Sea.		level1	mono_string_candidate	object_path_id=2021; script=Assembly-CSharp:game_controller; gameobject=GameController; offset=325372	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=extracted_visible_strings
Debt Overdue.		sharedassets1.assets	mono_string_candidate	object_path_id=536; script=Assembly-CSharp:NightEventScript; gameobject=; offset=7342976	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=extracted_visible_strings
Default (Linear Color Space Recommended)		resources.assets	mono_string_candidate	object_path_id=1934; script=Assembly-CSharp:UniStorm.CloudProfile; gameobject=; offset=16016752	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=extracted_visible_strings
Default Precipitation (Linear Color Space Recommended)		resources.assets	mono_string_candidate	object_path_id=1935; script=Assembly-CSharp:UniStorm.CloudProfile; gameobject=; offset=16016880	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=extracted_visible_strings
Default Style Sheet		resources.assets	mono_string_candidate	object_path_id=1932; script=Unity.TextMeshPro:TMPro.TMP_StyleSheet; gameobject=; offset=16014048	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=extracted_visible_strings
Delusions became too strong.		sharedassets1.assets	mono_string_candidate	object_path_id=534; script=Assembly-CSharp:NightEventScript; gameobject=; offset=7341556	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=extracted_visible_strings
Dragged to the seafloor.		sharedassets1.assets	mono_string_candidate	object_path_id=525; script=Assembly-CSharp:NightEventScript; gameobject=; offset=7337200	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=extracted_visible_strings
Dust Storm		resources.assets	mono_string_candidate	object_path_id=1946; script=Assembly-CSharp:UniStorm.WeatherType; gameobject=; offset=16027744	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=extracted_visible_strings
e<SZy?kH		game_original/DontSleepWithTheFishes_Data/sharedassets2.assets	raw_byte_string	byte_offset=1228262; method=raw_ascii	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=raw_ascii
Eaten alive.		sharedassets1.assets	mono_string_candidate	object_path_id=512; script=Assembly-CSharp:NightEventScript; gameobject=; offset=7327020	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=extracted_visible_strings
eCO?eCO?o		game_original/DontSleepWithTheFishes_Data/sharedassets2.assets	raw_byte_string	byte_offset=1618856; method=raw_ascii	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=raw_ascii
eerie? A fishing rod won		game_original/DontSleepWithTheFishes_Data/resources.assets	raw_byte_string	byte_offset=13647237; method=raw_ascii	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=raw_ascii
EnableTextPathLogging=True		game_runtime_test/BepInEx/config/AutoTranslatorConfig.ini	runtime_config	line=45	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=runtime_config
Essays1743 SDF		sharedassets5.assets	mono_string_candidate	object_path_id=77; script=Unity.TextMeshPro:TMPro.TMP_FontAsset; gameobject=; offset=511408	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=extracted_visible_strings
Everything under control.		level5	mono_string_candidate	object_path_id=1781; script=Assembly-CSharp:EndingController; gameobject=EndingController; offset=302284	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=extracted_visible_strings
Expected results.		level5	mono_string_candidate	object_path_id=1781; script=Assembly-CSharp:EndingController; gameobject=EndingController; offset=302336	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=extracted_visible_strings
Extensive layoffs executed.		level5	mono_string_candidate	object_path_id=1781; script=Assembly-CSharp:EndingController; gameobject=EndingController; offset=302504	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=extracted_visible_strings
f1F?OJT		game_original/DontSleepWithTheFishes_Data/resources.resource	raw_byte_string	byte_offset=12690321; method=raw_ascii	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=raw_ascii
Face with tears of joy		resources.assets	mono_string_candidate	object_path_id=1931; script=Unity.TextMeshPro:TMPro.TMP_SpriteAsset; gameobject=; offset=16011456	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=extracted_visible_strings
fcu?fcu?fcu?		game_original/DontSleepWithTheFishes_Data/level2	raw_byte_string	byte_offset=363528; method=raw_ascii	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=raw_ascii
Fire Rain		resources.assets	mono_string_candidate	object_path_id=1965; script=Assembly-CSharp:UniStorm.WeatherType; gameobject=; offset=16039920	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=extracted_visible_strings
Fire Storm		resources.assets	mono_string_candidate	object_path_id=1966; script=Assembly-CSharp:UniStorm.WeatherType; gameobject=; offset=16040560	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=extracted_visible_strings
Fishing Net		level2	mono_string_candidate	object_path_id=7485; script=Assembly-CSharp:ItemPickupable; gameobject=net; offset=1160308	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=extracted_visible_strings
Found by cargo ship.		sharedassets1.assets	mono_string_candidate	object_path_id=508; script=Assembly-CSharp:NightEventScript; gameobject=; offset=7323616	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=extracted_visible_strings
Found by the company.		sharedassets1.assets	mono_string_candidate	object_path_id=521; script=Assembly-CSharp:NightEventScript; gameobject=; offset=7333524	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=extracted_visible_strings
Get kidnapped...		level1	mono_string_candidate	object_path_id=1797; script=Assembly-CSharp:MedalHolder; gameobject=Medal_1 (4); offset=268956	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=extracted_visible_strings
Gf7?eLkV9z		game_original/DontSleepWithTheFishes_Data/resources.resource	raw_byte_string	byte_offset=14876305; method=raw_ascii	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=raw_ascii
Give fishnet?		sharedassets1.assets	mono_string_candidate	object_path_id=411; script=Assembly-CSharp:dialogue_object; gameobject=; offset=7292620	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=extracted_visible_strings
Grabbed into stomatch.		sharedassets1.assets	mono_string_candidate	object_path_id=522; script=Assembly-CSharp:NightEventScript; gameobject=; offset=7334812	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=extracted_visible_strings
Grinning face		resources.assets	mono_string_candidate	object_path_id=1931; script=Unity.TextMeshPro:TMPro.TMP_SpriteAsset; gameobject=; offset=16011392	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=extracted_visible_strings
gScy?s!D		game_original/DontSleepWithTheFishes_Data/resources.resource	raw_byte_string	byte_offset=9473646; method=raw_ascii	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=raw_ascii
H?QoJ>n		game_original/DontSleepWithTheFishes_Data/sharedassets4.assets	raw_byte_string	byte_offset=1967270; method=raw_ascii	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=raw_ascii
Hand over diving gear?		game_original/DontSleepWithTheFishes_Data/sharedassets1.assets	raw_byte_string	byte_offset=7280036; method=raw_ascii	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=raw_ascii
Have bad time management...		game_original/DontSleepWithTheFishes_Data/level1	raw_byte_string	byte_offset=266912; method=raw_ascii	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=raw_ascii
Heavy financial setback.		level5	mono_string_candidate	object_path_id=1781; script=Assembly-CSharp:EndingController; gameobject=EndingController; offset=302420	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=extracted_visible_strings
Heavy Rain		resources.assets	mono_string_candidate	object_path_id=1956; script=Assembly-CSharp:UniStorm.WeatherType; gameobject=; offset=16034192	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=extracted_visible_strings
Heavy Snow		resources.assets	mono_string_candidate	object_path_id=1957; script=Assembly-CSharp:UniStorm.WeatherType; gameobject=; offset=16034832	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=extracted_visible_strings
Help may be on the way...		game_original/DontSleepWithTheFishes_Data/level1	raw_byte_string	byte_offset=326112; method=raw_ascii	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=raw_ascii
Hfi5Dr8,!G		game_original/DontSleepWithTheFishes_Data/resources.resource	raw_byte_string	byte_offset=8232941; method=raw_ascii	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=raw_ascii
High-impact failure.		level5	mono_string_candidate	object_path_id=1781; script=Assembly-CSharp:EndingController; gameobject=EndingController; offset=302480	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=extracted_visible_strings
How.. peaceful...		game_runtime_test/BepInEx/Translation/ru/Text/_AutoGeneratedTranslations.txt	runtime_xunity_text	target=Как.. спокойно...	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=runtime_xunity_dictionary
hVUCEIVE0V?OFF		game_original/DontSleepWithTheFishes_Data/resources.assets	raw_byte_string	byte_offset=8761896; method=raw_ascii	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=raw_ascii
hWUCEIVE0W?OFF		game_original/DontSleepWithTheFishes_Data/resources.assets	raw_byte_string	byte_offset=8520727; method=raw_ascii	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=raw_ascii
I need to keep my eyes closed   I need to keep my eyes closed   I need to keep my eyes closed   I need to keep my eyes closed   I need to keep my eyes closed   I need to keep my eyes closed   I need to keep my eyes closed   I need to keep my eyes closed   I need to keep my eyes closed   I need to keep my eyes closed		resources.assets	TextAsset	object_name=journals; path_id=158; field=m_Script[themoon_sleep_fail].text; location=csv row 137	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=extracted_resources_dialogue_strings
I think I feel sick...		game_original/DontSleepWithTheFishes_Data/level4	raw_byte_string	byte_offset=2134260; method=raw_ascii	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=raw_ascii
i1VmvYt1d!g.Z		game_original/DontSleepWithTheFishes_Data/resources.resource	raw_byte_string	byte_offset=7512757; method=raw_ascii	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=raw_ascii
IgnoreVirtualTextSetterCallingRules=False		game_runtime_test/BepInEx/config/AutoTranslatorConfig.ini	runtime_config	line=44	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=runtime_config
Iux(h?s		game_original/DontSleepWithTheFishes_Data/resources.resource	raw_byte_string	byte_offset=15591928; method=raw_ascii	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=raw_ascii
jbi?jbi?L		game_original/DontSleepWithTheFishes_Data/sharedassets2.assets	raw_byte_string	byte_offset=1661372; method=raw_ascii	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=raw_ascii
know what? I feel helpful today! I can guard you tonight so you have a restful night		game_original/DontSleepWithTheFishes_Data/resources.assets	raw_byte_string	byte_offset=13688084; method=raw_ascii	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=raw_ascii
know? My sailor		game_original/DontSleepWithTheFishes_Data/resources.assets	raw_byte_string	byte_offset=13674104; method=raw_ascii	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=raw_ascii
L DUU?B		game_original/DontSleepWithTheFishes_Data/sharedassets5.assets	raw_byte_string	byte_offset=269957; method=raw_ascii	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=raw_ascii
l?KyX?Sk		game_original/DontSleepWithTheFishes_Data/sharedassets1.assets	raw_byte_string	byte_offset=5319714; method=raw_ascii	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=raw_ascii
Liberation Sans		resources.assets	mono_string_candidate	object_path_id=1929; script=Unity.TextMeshPro:TMPro.TMP_FontAsset; gameobject=; offset=15976900	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=extracted_visible_strings
Light Rain		resources.assets	mono_string_candidate	object_path_id=1958; script=Assembly-CSharp:UniStorm.WeatherType; gameobject=; offset=16035472	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=extracted_visible_strings
Light Snow		resources.assets	mono_string_candidate	object_path_id=1959; script=Assembly-CSharp:UniStorm.WeatherType; gameobject=; offset=16036112	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=extracted_visible_strings
Lightning Bugs		resources.assets	mono_string_candidate	object_path_id=1948; script=Assembly-CSharp:UniStorm.WeatherType; gameobject=; offset=16029008	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=extracted_visible_strings
ll get you one, too! What ya		game_original/DontSleepWithTheFishes_Data/resources.assets	raw_byte_string	byte_offset=13676500; method=raw_ascii	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=raw_ascii
lUUCEIVE4U?OFF		game_original/DontSleepWithTheFishes_Data/resources.assets	raw_byte_string	byte_offset=8869961; method=raw_ascii	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=raw_ascii
m alive? Maybe seeing them means I		game_original/DontSleepWithTheFishes_Data/resources.assets	raw_byte_string	byte_offset=13660925; method=raw_ascii	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=raw_ascii
m bald? Under this hat is the most magnificent hair you		game_original/DontSleepWithTheFishes_Data/resources.assets	raw_byte_string	byte_offset=13682759; method=raw_ascii	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=raw_ascii
m?bNO>,6s		game_original/DontSleepWithTheFishes_Data/sharedassets2.assets	raw_byte_string	byte_offset=725218; method=raw_ascii	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=raw_ascii
Main Camera		resources.assets	mono_string_candidate	object_path_id=2083; script=Assembly-CSharp:UniStorm.UniStormSystem; gameobject=UniStorm System; offset=16057860	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=extracted_visible_strings
Make bad choices...		game_original/DontSleepWithTheFishes_Data/level1	raw_byte_string	byte_offset=253764; method=raw_ascii	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=raw_ascii
Make too many friends...		game_original/DontSleepWithTheFishes_Data/level1	raw_byte_string	byte_offset=247256; method=raw_ascii	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=raw_ascii
Make yourself visible...		game_original/DontSleepWithTheFishes_Data/level1	raw_byte_string	byte_offset=241460; method=raw_ascii	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=raw_ascii
Mauled to death.		sharedassets1.assets	mono_string_candidate	object_path_id=514; script=Assembly-CSharp:NightEventScript; gameobject=; offset=7328388	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=extracted_visible_strings
Message text		resources.assets	mono_string_candidate	object_path_id=2045; script=UnityEngine.UI:UnityEngine.UI.Text; gameobject=Text; offset=16052020	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=extracted_visible_strings
Mistook for a coconut.		sharedassets1.assets	mono_string_candidate	object_path_id=511; script=Assembly-CSharp:NightEventScript; gameobject=; offset=7325652	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=extracted_visible_strings
Mostly Clear		resources.assets	mono_string_candidate	object_path_id=1949; script=Assembly-CSharp:UniStorm.WeatherType; gameobject=; offset=16029664	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=extracted_visible_strings
Mostly Cloudy		resources.assets	mono_string_candidate	object_path_id=1951; script=Assembly-CSharp:UniStorm.WeatherType; gameobject=; offset=16030976	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=extracted_visible_strings
Mostly Cloudy with Rain		resources.assets	mono_string_candidate	object_path_id=1950; script=Assembly-CSharp:UniStorm.WeatherType; gameobject=; offset=16030304	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=extracted_visible_strings
My head hurts...		game_original/DontSleepWithTheFishes_Data/level4	raw_byte_string	byte_offset=2134288; method=raw_ascii	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=raw_ascii
N?,4DNA(D		game_original/DontSleepWithTheFishes_Data/sharedassets2.assets	raw_byte_string	byte_offset=459421; method=raw_ascii	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=raw_ascii
N?yOU>GD		game_original/DontSleepWithTheFishes_Data/sharedassets4.assets	raw_byte_string	byte_offset=656294; method=raw_ascii	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=raw_ascii
New Cloud Profile Name		resources.assets	mono_string_candidate	object_path_id=1934; script=Assembly-CSharp:UniStorm.CloudProfile; gameobject=; offset=16016796	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=extracted_visible_strings
New Text		resources.assets	mono_string_candidate	object_path_id=2101; script=UnityEngine.UI:UnityEngine.UI.Text; gameobject=Text; offset=16089140	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=extracted_visible_strings
nN?EhK>s		game_original/DontSleepWithTheFishes_Data/sharedassets4.assets	raw_byte_string	byte_offset=1061661; method=raw_ascii	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=raw_ascii
No impact noted.		level5	mono_string_candidate	object_path_id=1781; script=Assembly-CSharp:EndingController; gameobject=EndingController; offset=302316	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=extracted_visible_strings
O>LWIP?Q u		game_original/DontSleepWithTheFishes_Data/resources.assets	raw_byte_string	byte_offset=15570389; method=raw_ascii	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=raw_ascii
oA?euB<j		game_original/DontSleepWithTheFishes_Data/sharedassets4.assets	raw_byte_string	byte_offset=1592349; method=raw_ascii	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=raw_ascii
Option A		resources.assets	mono_string_candidate	object_path_id=2056; script=UnityEngine.UI:UnityEngine.UI.Text; gameobject=Item Label; offset=16053460	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=extracted_visible_strings
OutputUntranslatableText=True		game_runtime_test/BepInEx/config/AutoTranslatorConfig.ini	runtime_config	line=43	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=runtime_config
p3?oUi+I		game_original/DontSleepWithTheFishes_Data/resources.resource	raw_byte_string	byte_offset=1047095; method=raw_ascii	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=raw_ascii
Panel Title		resources.assets	mono_string_candidate	object_path_id=2535; script=UnityEngine.UI:UnityEngine.UI.Text; gameobject=Title; offset=16191828	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=extracted_visible_strings
