source	asset_file	object_type	object_name	path_id	field_path	offset_or_location	confidence	notes
…	resources.assets	TextAsset	dialogues	160	m_Script[bait_from_food_02].WHO	csv row 130	high	player-facing TextAsset CSV payload
Would that be.. useful?	resources.assets	TextAsset	dialogues	160	m_Script[bait_from_food_02].WOMAN	csv row 130	high	player-facing TextAsset CSV payload
Here you go, friend! Have fun fishing! Catch one bigger than my hat, will ya?	resources.assets	TextAsset	dialogues	160	m_Script[bait_from_food_03].MAN	csv row 131	high	player-facing TextAsset CSV payload
…	resources.assets	TextAsset	dialogues	160	m_Script[bait_from_food_03].WHO	csv row 131	high	player-facing TextAsset CSV payload
Here, I- I think this will do.. We hopefully get a return on this..	resources.assets	TextAsset	dialogues	160	m_Script[bait_from_food_03].WOMAN	csv row 131	high	player-facing TextAsset CSV payload
More food for us, right? Hah, all right then!	resources.assets	TextAsset	dialogues	160	m_Script[bait_from_food_04].MAN	csv row 132	high	player-facing TextAsset CSV payload
…	resources.assets	TextAsset	dialogues	160	m_Script[bait_from_food_04].WHO	csv row 132	high	player-facing TextAsset CSV payload
It’s okay. We might get hungrier later..  I- It’s better to save every bite we can for ourselves.	resources.assets	TextAsset	dialogues	160	m_Script[bait_from_food_04].WOMAN	csv row 132	high	player-facing TextAsset CSV payload
Cap’ Whiskers is just adorable. Watching the fish swim around the boat all day..	resources.assets	TextAsset	dialogues	160	m_Script[cat_01_01].MAN	csv row 175	high	player-facing TextAsset CSV payload
.. The cat tried to eat my hat..	resources.assets	TextAsset	dialogues	160	m_Script[cat_01_01].WHO	csv row 175	high	player-facing TextAsset CSV payload
Whiskers is really cute today.. He sat on my lap for hours, purring away..	resources.assets	TextAsset	dialogues	160	m_Script[cat_01_01].WOMAN	csv row 175	high	player-facing TextAsset CSV payload
Maybe I should teach him how to fish..	resources.assets	TextAsset	dialogues	160	m_Script[cat_01_02].MAN	csv row 176	high	player-facing TextAsset CSV payload
.. Again.	resources.assets	TextAsset	dialogues	160	m_Script[cat_01_02].WHO	csv row 176	high	player-facing TextAsset CSV payload
How.. peaceful... 	resources.assets	TextAsset	dialogues	160	m_Script[cat_01_02].WOMAN	csv row 176	high	player-facing TextAsset CSV payload
Y’know.. I’m really bummed about the ship and the crew.. They were family to me, you get me?	resources.assets	TextAsset	dialogues	160	m_Script[day_one_01_01].MAN	csv row 18	high	player-facing TextAsset CSV payload
There is no chance that the others have survived.	resources.assets	TextAsset	dialogues	160	m_Script[day_one_01_01].WHO	csv row 18	high	player-facing TextAsset CSV payload
I-… I can’t see the others.. This is bad. Did they actually…? No, it can’t be..	resources.assets	TextAsset	dialogues	160	m_Script[day_one_01_01].WOMAN	csv row 18	high	player-facing TextAsset CSV payload
I’m sure they would want us to keep going though, let’s not lose hope so quickly..!	resources.assets	TextAsset	dialogues	160	m_Script[day_one_01_02].MAN	csv row 19	high	player-facing TextAsset CSV payload
… Let’s not be survivors for no reason. We have to keep going now.	resources.assets	TextAsset	dialogues	160	m_Script[day_one_01_02].WHO	csv row 19	high	player-facing TextAsset CSV payload
.. T- the thought of only the two of us surviving.. Terrifying. But it’s a relief that w- we made it..	resources.assets	TextAsset	dialogues	160	m_Script[day_one_01_02].WOMAN	csv row 19	high	player-facing TextAsset CSV payload
Darn! If I’d seen whatever hit our ship a lot earlier, we wouldn’t be stuck here now, would we?	resources.assets	TextAsset	dialogues	160	m_Script[day_one_02_01].MAN	csv row 20	high	player-facing TextAsset CSV payload
Hmm... No icebergs in these waters. Whatever hit us wasn’t natural, that much’s clear.	resources.assets	TextAsset	dialogues	160	m_Script[day_one_02_01].WHO	csv row 20	high	player-facing TextAsset CSV payload
What.. what even hit our ship? I- I didn’t see anything, it all happened so fast…	resources.assets	TextAsset	dialogues	160	m_Script[day_one_02_01].WOMAN	csv row 20	high	player-facing TextAsset CSV payload
This old bucket’s indestructible though… You can bet on that!	resources.assets	TextAsset	dialogues	160	m_Script[day_one_02_02].MAN	csv row 21	high	player-facing TextAsset CSV payload
.. Let’s just hope it doesn’t like small wooden boats.	resources.assets	TextAsset	dialogues	160	m_Script[day_one_02_02].WHO	csv row 21	high	player-facing TextAsset CSV payload
But the sound… I -it's still making me uneasy. What made that sound..?	resources.assets	TextAsset	dialogues	160	m_Script[day_one_02_02].WOMAN	csv row 21	high	player-facing TextAsset CSV payload
So many memories with Dorothy… And now it’s under the ocean..	resources.assets	TextAsset	dialogues	160	m_Script[day_one_03_01].MAN	csv row 22	high	player-facing TextAsset CSV payload
.. I’m not sold on the idea that all this was a coincidence.	resources.assets	TextAsset	dialogues	160	m_Script[day_one_03_01].WHO	csv row 22	high	player-facing TextAsset CSV payload
I- I miss my crew already.. And I really miss my plants. They were everything to me..	resources.assets	TextAsset	dialogues	160	m_Script[day_one_03_01].WOMAN	csv row 22	high	player-facing TextAsset CSV payload
.. With all its shiny, metallic glory. It and the crew meant everything to me, buddy. Ya’ get me?	resources.assets	TextAsset	dialogues	160	m_Script[day_one_03_02].MAN	csv row 23	high	player-facing TextAsset CSV payload
Stay cautious. They might still be onto us.	resources.assets	TextAsset	dialogues	160	m_Script[day_one_03_02].WHO	csv row 23	high	player-facing TextAsset CSV payload
I- I’m sure this much salty water isn’t doing my small seedlings any good, oh dear...	resources.assets	TextAsset	dialogues	160	m_Script[day_one_03_02].WOMAN	csv row 23	high	player-facing TextAsset CSV payload
We’ve got tons of stuff here, by the way! Great job getting it all on the boat, pal!	resources.assets	TextAsset	dialogues	160	m_Script[day_one_04_01].MAN	csv row 24	high	player-facing TextAsset CSV payload
The boat is pretty well-packed. We can manage for a while with what we’ve got.	resources.assets	TextAsset	dialogues	160	m_Script[day_one_04_01].WHO	csv row 24	high	player-facing TextAsset CSV payload
I- I’m glad we have all this stuff on the boat. I can see us going for days with it...	resources.assets	TextAsset	dialogues	160	m_Script[day_one_04_01].WOMAN	csv row 24	high	player-facing TextAsset CSV payload
This boat looks pretty empty, bud. We should’ve brought more stuff with us, shouldn’t we?	resources.assets	TextAsset	dialogues	160	m_Script[day_one_05_01].MAN	csv row 25	high	player-facing TextAsset CSV payload
Not many resources on the boat. We are in for some rough days ahead.	resources.assets	TextAsset	dialogues	160	m_Script[day_one_05_01].WHO	csv row 25	high	player-facing TextAsset CSV payload
I’m worried about the lack of.. stuff.. on the boat. W- We’re going to have a tough time...	resources.assets	TextAsset	dialogues	160	m_Script[day_one_05_01].WOMAN	csv row 25	high	player-facing TextAsset CSV payload
Say what ya’ will, but nothing beats the taste of sea air in the morning. Clears the mind..	resources.assets	TextAsset	dialogues	160	m_Script[early_days_01_01].MAN	csv row 27	high	player-facing TextAsset CSV payload
We are far from shore. The silence is louder than a loaded gun. No one will hear us here, most likely.	resources.assets	TextAsset	dialogues	160	m_Script[early_days_01_01].WHO	csv row 27	high	player-facing TextAsset CSV payload
At least t- the sea has a calming sound.. It clears my mind.. Makes it easier to sleep, too..	resources.assets	TextAsset	dialogues	160	m_Script[early_days_01_01].WOMAN	csv row 27	high	player-facing TextAsset CSV payload
The sea’s probably just testing us. Or messing with us for fun. Let’s see who gets the last laugh!	resources.assets	TextAsset	dialogues	160	m_Script[early_days_02_01].MAN	csv row 28	high	player-facing TextAsset CSV payload
If there is someone behind this with intent..	resources.assets	TextAsset	dialogues	160	m_Script[early_days_02_01].WHO	csv row 28	high	player-facing TextAsset CSV payload
L-Lots of plants are actually pretty used to harsh environments…	resources.assets	TextAsset	dialogues	160	m_Script[early_days_02_01].WOMAN	csv row 28	high	player-facing TextAsset CSV payload
Ha! Ha! Ha! …It’s me.	resources.assets	TextAsset	dialogues	160	m_Script[early_days_02_02].MAN	csv row 29	high	player-facing TextAsset CSV payload
I will make sure this is the last ship they ever sink.	resources.assets	TextAsset	dialogues	160	m_Script[early_days_02_02].WHO	csv row 29	high	player-facing TextAsset CSV payload
Well, let’s try to be like some really, really sturdy plants.. okay?	resources.assets	TextAsset	dialogues	160	m_Script[early_days_02_02].WOMAN	csv row 29	high	player-facing TextAsset CSV payload
This place is way too quiet, y’know? My sailor’s gut’s telling me we’re drifting toward danger…	resources.assets	TextAsset	dialogues	160	m_Script[early_days_03_01].MAN	csv row 30	high	player-facing TextAsset CSV payload
The ocean… Do not mistake calm for safety. That’s how people disappear.	resources.assets	TextAsset	dialogues	160	m_Script[early_days_03_01].WHO	csv row 30	high	player-facing TextAsset CSV payload
I- I don’t like how empty the ocean is.. It feels wrong. Not even any plants, or just.. kelp.	resources.assets	TextAsset	dialogues	160	m_Script[early_days_03_01].WOMAN	csv row 30	high	player-facing TextAsset CSV payload
Lau’ would’ve already started a small garden on this boat, haha!	resources.assets	TextAsset	dialogues	160	m_Script[early_days_04_01].MAN	csv row 31	high	player-facing TextAsset CSV payload
Frederik was great at giving directions. He would have definitely sped up getting us home.	resources.assets	TextAsset	dialogues	160	m_Script[early_days_04_01].WHO	csv row 31	high	player-facing TextAsset CSV payload
I miss Fred… H- he would have already started singing some dumb sailor’s song for us..	resources.assets	TextAsset	dialogues	160	m_Script[early_days_04_01].WOMAN	csv row 31	high	player-facing TextAsset CSV payload
It’s pretty windy here.. I should’ve brought a spare jacket from.. his wardrobe. Hah!	resources.assets	TextAsset	dialogues	160	m_Script[early_days_05_01].MAN	csv row 32	high	player-facing TextAsset CSV payload
I feel deep grief for Laurel. She didn’t deserve this. Neither of us did. But especially her..	resources.assets	TextAsset	dialogues	160	m_Script[early_days_05_01].WHO	csv row 32	high	player-facing TextAsset CSV payload
I felt safer when.. He.. was there. H- he had a lot of weapons and tools, for any situation..	resources.assets	TextAsset	dialogues	160	m_Script[early_days_05_01].WOMAN	csv row 32	high	player-facing TextAsset CSV payload
Hoping I made a good impression on my crew, what ya’ think?	resources.assets	TextAsset	dialogues	160	m_Script[early_days_06_01].MAN	csv row 33	high	player-facing TextAsset CSV payload
I made a promise to protect them. I failed.	resources.assets	TextAsset	dialogues	160	m_Script[early_days_06_01].WHO	csv row 33	high	player-facing TextAsset CSV payload
I hope that they didn’t think I.. or my hobbies were weird..	resources.assets	TextAsset	dialogues	160	m_Script[early_days_06_01].WOMAN	csv row 33	high	player-facing TextAsset CSV payload
They’re probably laughing at us this moment, watching from the skies..	resources.assets	TextAsset	dialogues	160	m_Script[early_days_06_02].MAN	csv row 34	high	player-facing TextAsset CSV payload
The least I can do now is not give up on them.	resources.assets	TextAsset	dialogues	160	m_Script[early_days_06_02].WHO	csv row 34	high	player-facing TextAsset CSV payload
But I’m sure they’d be proud of us, right now.. We’re managing. We’re s- surviving..	resources.assets	TextAsset	dialogues	160	m_Script[early_days_06_02].WOMAN	csv row 34	high	player-facing TextAsset CSV payload
Sorry if the smoke’s bothering you, pal. I need my pipe wherever I go.. Hope you get me!	resources.assets	TextAsset	dialogues	160	m_Script[early_days_07_01].MAN	csv row 35	high	player-facing TextAsset CSV payload
.. I would rather perish by my own gun than by the sea. What about you..?	resources.assets	TextAsset	dialogues	160	m_Script[early_days_07_01].WHO	csv row 35	high	player-facing TextAsset CSV payload
I- I brought some dried lavender in my bag... I- it helps when I feel anxious.	resources.assets	TextAsset	dialogues	160	m_Script[early_days_07_01].WOMAN	csv row 35	high	player-facing TextAsset CSV payload
Ya’ think you could win an arm wrestle against me?	resources.assets	TextAsset	dialogues	160	m_Script[early_days_08_01].MAN	csv row 36	high	player-facing TextAsset CSV payload
Are you easily startled?	resources.assets	TextAsset	dialogues	160	m_Script[early_days_08_01].WHO	csv row 36	high	player-facing TextAsset CSV payload
Do.. do you have a favorite plant?	resources.assets	TextAsset	dialogues	160	m_Script[early_days_08_01].WOMAN	csv row 36	high	player-facing TextAsset CSV payload
Gutsy! I see why you’re the one doing the fishing, haha!	resources.assets	TextAsset	dialogues	160	m_Script[early_days_08_02].MAN	csv row 37	high	player-facing TextAsset CSV payload
Good. That means you are still paying attention.	resources.assets	TextAsset	dialogues	160	m_Script[early_days_08_02].WHO	csv row 37	high	player-facing TextAsset CSV payload
T- That’s great! Mine are bay leaf trees. I used to collect a lot of bay leaves as a child…	resources.assets	TextAsset	dialogues	160	m_Script[early_days_08_02].WOMAN	csv row 37	high	player-facing TextAsset CSV payload
You’re just being nice. I know I’m the strongest. And humble, of course.	resources.assets	TextAsset	dialogues	160	m_Script[early_days_08_03].MAN	csv row 38	high	player-facing TextAsset CSV payload
Well then, gunshots at night won’t faze you if the sea forces me to act.	resources.assets	TextAsset	dialogues	160	m_Script[early_days_08_03].WHO	csv row 38	high	player-facing TextAsset CSV payload
Oh.. Well, you remind me of sunflowers..	resources.assets	TextAsset	dialogues	160	m_Script[early_days_08_03].WOMAN	csv row 38	high	player-facing TextAsset CSV payload
After all this, I think I’ll be getting a new tattoo. To remember that we made it.	resources.assets	TextAsset	dialogues	160	m_Script[early_days_09_01].MAN	csv row 39	high	player-facing TextAsset CSV payload
Somebody must have seen us by now, stranded out here on this boat.	resources.assets	TextAsset	dialogues	160	m_Script[early_days_09_01].WHO	csv row 39	high	player-facing TextAsset CSV payload
W- when we get home, I’m thinking about opening a flower shop..	resources.assets	TextAsset	dialogues	160	m_Script[early_days_09_01].WOMAN	csv row 39	high	player-facing TextAsset CSV payload
We’ll get you one, too! What ya’ think?	resources.assets	TextAsset	dialogues	160	m_Script[early_days_09_02].MAN	csv row 40	high	player-facing TextAsset CSV payload
Don’t you think?	resources.assets	TextAsset	dialogues	160	m_Script[early_days_09_02].WHO	csv row 40	high	player-facing TextAsset CSV payload
Would you come to visit once?	resources.assets	TextAsset	dialogues	160	m_Script[early_days_09_02].WOMAN	csv row 40	high	player-facing TextAsset CSV payload
Haha, that’s the spirit! I’m thinking about getting one that looks just like this ol’ rack we’re stranded on.	resources.assets	TextAsset	dialogues	160	m_Script[early_days_09_03].MAN	csv row 41	high	player-facing TextAsset CSV payload
Right.. a few planes must have flown over and spotted us already…	resources.assets	TextAsset	dialogues	160	m_Script[early_days_09_03].WHO	csv row 41	high	player-facing TextAsset CSV payload
T- Thanks.. I’d give you a discount on my poppies.	resources.assets	TextAsset	dialogues	160	m_Script[early_days_09_03].WOMAN	csv row 41	high	player-facing TextAsset CSV payload
Come on! It’s gonna make a great story one day! Just let me know if you change your mind, ‘kay?	resources.assets	TextAsset	dialogues	160	m_Script[early_days_09_04].MAN	csv row 42	high	player-facing TextAsset CSV payload
.. Let’s just hope you’re being overly pessimistic.	resources.assets	TextAsset	dialogues	160	m_Script[early_days_09_04].WHO	csv row 42	high	player-facing TextAsset CSV payload
Are you… allergic? If so, I didn’t know, sorry…	resources.assets	TextAsset	dialogues	160	m_Script[early_days_09_04].WOMAN	csv row 42	high	player-facing TextAsset CSV payload
Every time I light this pipe, I think of her…	resources.assets	TextAsset	dialogues	160	m_Script[early_days_10_01].MAN	csv row 43	high	player-facing TextAsset CSV payload
This gun is not for threats, by the way.. It is for warnings.	resources.assets	TextAsset	dialogues	160	m_Script[early_days_10_01].WHO	csv row 43	high	player-facing TextAsset CSV payload
I- I think the sea has moods. She was sad yesterday. I could feel it.	resources.assets	TextAsset	dialogues	160	m_Script[early_days_10_01].WOMAN	csv row 43	high	player-facing TextAsset CSV payload
Tired as a barnacle, my friend..	resources.assets	TextAsset	dialogues	160	m_Script[feels_out_of_energy_01].MAN	csv row 159	high	player-facing TextAsset CSV payload
…	resources.assets	TextAsset	dialogues	160	m_Script[feels_out_of_energy_01].WHO	csv row 159	high	player-facing TextAsset CSV payload
My head feels heavy, I- I’m really tired..	resources.assets	TextAsset	dialogues	160	m_Script[feels_out_of_energy_01].WOMAN	csv row 159	high	player-facing TextAsset CSV payload
I think I’ll just gaze at the clouds for the rest of the day, ‘kay?	resources.assets	TextAsset	dialogues	160	m_Script[feels_out_of_energy_02].MAN	csv row 160	high	player-facing TextAsset CSV payload
…	resources.assets	TextAsset	dialogues	160	m_Script[feels_out_of_energy_02].WHO	csv row 160	high	player-facing TextAsset CSV payload
S- Sorry, I won’t be much of a help today..	resources.assets	TextAsset	dialogues	160	m_Script[feels_out_of_energy_02].WOMAN	csv row 160	high	player-facing TextAsset CSV payload
Buddy, I’ll be honest.. I don’t feel so well… I’m on the verge of throwing up, actually.	resources.assets	TextAsset	dialogues	160	m_Script[feels_sick_01_01].MAN	csv row 155	high	player-facing TextAsset CSV payload
…	resources.assets	TextAsset	dialogues	160	m_Script[feels_sick_01_01].WHO	csv row 155	high	player-facing TextAsset CSV payload
I- I don’t feel so well… I think I am getting seasick. But I’ll manage, don’t worry..	resources.assets	TextAsset	dialogues	160	m_Script[feels_sick_01_01].WOMAN	csv row 155	high	player-facing TextAsset CSV payload
Don’t think I’m giving up that easy, though!	resources.assets	TextAsset	dialogues	160	m_Script[feels_sick_01_02].MAN	csv row 156	high	player-facing TextAsset CSV payload
…	resources.assets	TextAsset	dialogues	160	m_Script[feels_sick_01_02].WHO	csv row 156	high	player-facing TextAsset CSV payload
As long as only one of us feels sick, i- it’s fine. Right?	resources.assets	TextAsset	dialogues	160	m_Script[feels_sick_01_02].WOMAN	csv row 156	high	player-facing TextAsset CSV payload
Eugh… My stomach hurts. Might have been too much seafood, yeah?	resources.assets	TextAsset	dialogues	160	m_Script[feels_sick_02_01].MAN	csv row 157	high	player-facing TextAsset CSV payload
…	resources.assets	TextAsset	dialogues	160	m_Script[feels_sick_02_01].WHO	csv row 157	high	player-facing TextAsset CSV payload
I think.. I feel dizzy and – my h- head hurts… Might be from too much sun exposure..	resources.assets	TextAsset	dialogues	160	m_Script[feels_sick_02_01].WOMAN	csv row 157	high	player-facing TextAsset CSV payload
I can handle a lot.. except stale fish, I suppose.. You better double-check what you eat, ‘kay?	resources.assets	TextAsset	dialogues	160	m_Script[feels_sick_02_02].MAN	csv row 158	high	player-facing TextAsset CSV payload
…	resources.assets	TextAsset	dialogues	160	m_Script[feels_sick_02_02].WHO	csv row 158	high	player-facing TextAsset CSV payload
Anyway… At least you can handle it, as it seems.. One’s better than none. Right?	resources.assets	TextAsset	dialogues	160	m_Script[feels_sick_02_02].WOMAN	csv row 158	high	player-facing TextAsset CSV payload
Morning! I had a weird dream last night.. There was a guy in a gondola, tryin’ to sell me stuff..	resources.assets	TextAsset	dialogues	160	m_Script[flashback_01_01].MAN	csv row 177	high	player-facing TextAsset CSV payload
Once I had a nightmare… I was surrounded by sharks. But they had limbs. Human limbs.	resources.assets	TextAsset	dialogues	160	m_Script[flashback_01_01].WHO	csv row 177	high	player-facing TextAsset CSV payload
I had the weirdest dream of my life.. W- we were surrounded by lily pads. Hundreds of them..	resources.assets	TextAsset	dialogues	160	m_Script[flashback_01_01].WOMAN	csv row 177	high	player-facing TextAsset CSV payload
Mornin’! I had a weird dream last night.. more like a nightmare.. The sea was blood-red..	resources.assets	TextAsset	dialogues	160	m_Script[flashback_02_01].MAN	csv row 178	high	player-facing TextAsset CSV payload
